inchi,OPERA-ionization,OPERA-pKa_a_pred,OPERA-pKa_a_predRange,OPERA-pKa_b_pred,OPERA-pKa_b_predRange,OPERA-AD_pKa,OPERA-AD_index_pKa,OPERA-Conf_index_pKa,RDKIT-FormalCharge,MORDRED-nHeavyAtom,MORDRED-nC,MORDRED-nN,MORDRED-nO,MORDRED-nS,MORDRED-nP,MORDRED-fragCpx,MORDRED-nHBAcc,MORDRED-nHBDon,MORDRED-nRing,MORDRED-nRot,MORDRED-SLogP,MORDRED-TopoPSA
"InChI=1S/C8H16O2/c1-2-3-4-5-6-7-8(9)10/h2-7H2,1H3,(H,9,10)",1,5.06,[5.04:5.08],,,1,0.921,0.865,0,10,8,0,2,0,0,9.02,1,1,0,6,2.4314999999999998,37.3
"InChI=1S/C12H24O2/c1-2-3-4-5-6-7-8-9-10-11-12(13)14/h2-11H2,1H3,(H,13,14)",1,5.19,[5.19:5.19],,,1,0.999,0.969,0,14,12,0,2,0,0,13.02,1,1,0,10,3.991900000000002,37.3
"InChI=1S/C18H36O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h2-17H2,1H3,(H,19,20)",1,5.19,[5.19:5.19],,,1,0.999,0.993,0,20,18,0,2,0,0,19.02,1,1,0,16,6.332500000000007,37.3
"InChI=1S/C18H34O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h9-10H,2-8,11-17H2,1H3,(H,19,20)/b10-9-",1,5.26,[5.26:5.26],,,1,0.999,0.969,0,20,18,0,2,0,0,19.02,1,1,0,15,6.1085000000000065,37.3
"InChI=1S/C8H19N/c1-2-3-4-5-6-7-8-9/h2-9H2,1H3",1,,,10.66,[10.62:10.7],1,0.999,0.963,0,9,8,1,0,0,0,8.01,1,1,0,6,2.3056,26.02
"InChI=1S/C12H27N/c1-2-3-4-5-6-7-8-9-10-11-12-13/h2-13H2,1H3",1,,,10.57,[10.57:10.57],1,0.999,0.981,0,13,12,1,0,0,0,12.01,1,1,0,10,3.8660000000000023,26.02
"InChI=1S/C18H39N/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19/h2-19H2,1H3",1,,,10.51,[10.51:10.51],1,0.999,0.972,0,19,18,1,0,0,0,18.01,1,1,0,16,6.206600000000005,26.02
"InChI=1S/C18H37N/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19/h9-10H,2-8,11-19H2,1H3/b10-9-",1,,,11.54,[11.54:11.54],1,0.852,0.924,0,19,18,1,0,0,0,18.01,1,1,0,15,5.982600000000005,26.02
"InChI=1S/C18H38S/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19/h19H,2-18H2,1H3",2,9.73,[8.3:11.16],6.19,[4.76:7.62],1,0.392,0.618,0,19,18,0,0,1,0,18.01,1,1,0,16,7.177700000000008,38.8
"InChI=1S/C8H19O3P/c1-2-3-4-5-6-7-8-12(9,10)11/h2-8H2,1H3,(H2,9,10,11)",1,1.4,[-1.81:4.61],,,1,0.279,0.209,0,12,8,0,3,0,1,11.04,1,2,0,7,2.5246000000000013,67.34
