feature,r
ASA+,-0.2220160892286743
ASA-,-0.2280880888230053
ASA_H,-0.0632998781236716
ASA_P,-0.2165934803768488
SLogP,0.022908622999345294
acceptorcount,-0.157159099969924
accsitecount,-0.16254873724366128
asa,0.03104136552233205
avgpol,-0.2571020838239372
axxpol,-0.19339586139692275
ayypol,-0.18743643257350343
azzpol,-0.1800413834152991
balabanindex,0.017146913211352983
chainatomcount,-0.1446259036550158
chainbondcount,-0.17119809187166135
dipole,-0.002612765795921341
donorcount,0.053196928788395464
donsitecount,0.07502036084160055
fragCpx,-0.13619820465630939
fsp3,-0.11674846138467217
fusedringcount,0.034887651668294085
hararyindex,-0.2530605424043878
hyperwienerindex,-0.10414504399494108
ligand_amount,-0.11520214428967405
mass,-0.22906704943088455
maximalprojectionarea,-0.2264747225948455
maximalprojectionradius,-0.16084473966956545
minimalprojectionarea,-0.25221351053712643
minimalprojectionradius,-0.1779066013682369
molpol,-0.25209764447385974
nC,-0.22444325812279087
nHeavyAtom,-0.2680795876434461
nN,-0.07558548810689164
nO,-0.18800094246382948
nP,-0.009441259170427067
nRing,-0.06610331510299972
nS,-0.006869239208848936
psa,-0.13578949457861514
rotatablebondcount,-0.13955641666910026
vdwsa,-0.2639285900445611
volume,-0.26980254486852756
wienerindex,-0.16385913972781913
wienerpolarity,-0.23961000419653905
