avgpol,axxpol,ayypol,azzpol,molpol,ASA+,ASA-,ASA_H,ASA_P,asa,maximalprojectionarea,maximalprojectionradius,minimalprojectionarea,minimalprojectionradius,psa,vdwsa,volume,chainatomcount,chainbondcount,fsp3,fusedringcount,rotatablebondcount,acceptorcount,accsitecount,donorcount,donsitecount,mass,hararyindex,balabanindex,hyperwienerindex,wienerindex,wienerpolarity,dipole,nHeavyAtom,nC,nN,nO,nS,nP,fragCpx,nRing,SLogP
17.39,13.91,14.29,23.98,15.98,392.38,268.3,124.08,308.45,83.93,56.01,6.86,26.48,3.4,37.3,283.25,157.68,10.0,9.0,0.88,0.0,6.0,2.0,4.0,1.0,1.0,144.214,19.68,2.77,453.0,158.0,7.0,1.69,10,8,0,2,0,0,9.02,0,2.4314999999999998
25.83,20.19,20.01,37.28,23.34,525.53,371.96,153.57,441.51,84.02,79.07,9.36,27.67,3.56,37.3,405.75,225.71,14.0,13.0,0.92,0.0,10.0,2.0,4.0,1.0,1.0,200.322,31.94,2.85,1732.0,444.0,11.0,1.68,14,12,0,2,0,0,13.02,0,3.991900000000002
38.63,29.3,28.79,57.79,34.4,716.44,520.98,195.46,632.55,83.89,113.64,13.17,45.69,5.08,37.3,588.1,327.76,20.0,19.0,0.94,0.0,16.0,2.0,4.0,1.0,1.0,284.484,52.4,2.92,7128.0,1313.0,17.0,1.68,20,18,0,2,0,0,19.02,0,6.332500000000007
37.07,37.87,45.72,27.63,34.17,680.01,497.69,182.32,595.73,84.27,108.13,10.59,55.3,6.94,37.3,560.14,320.05,20.0,19.0,0.83,0.0,15.0,2.0,4.0,1.0,1.0,282.468,52.4,2.92,7128.0,1313.0,17.0,1.61,20,18,0,2,0,0,19.02,0,6.1085000000000065
17.88,14.8,13.89,24.95,17.04,395.04,292.61,102.43,382.62,12.43,57.45,7.13,24.62,3.14,26.02,291.47,159.01,9.0,8.0,1.0,0.0,6.0,1.0,1.0,1.0,2.0,129.247,16.46,2.6,330.0,120.0,6.0,0.81,9,8,1,0,0,0,8.01,0,2.3056
26.33,19.75,20.87,38.36,24.42,526.87,395.51,131.36,514.45,12.42,81.08,9.74,22.41,2.74,26.02,413.78,226.98,13.0,12.0,1.0,0.0,10.0,1.0,1.0,1.0,2.0,185.355,28.34,2.76,1365.0,364.0,10.0,0.81,13,12,1,0,0,0,12.01,0,3.8660000000000023
39.13,28.51,29.93,58.94,35.51,721.74,546.56,175.17,709.4,12.34,114.83,13.59,39.23,4.33,26.02,596.79,328.88,19.0,18.0,1.0,0.0,16.0,1.0,1.0,1.0,2.0,269.517,48.41,2.88,5985.0,1140.0,16.0,0.82,19,18,1,0,0,0,18.01,0,6.206600000000005
37.56,38.66,28.17,45.85,35.28,682.04,521.71,160.33,669.65,12.39,107.09,10.3,57.48,6.44,26.02,568.54,321.28,19.0,18.0,0.89,0.0,15.0,1.0,1.0,1.0,2.0,267.501,48.41,2.88,5985.0,1140.0,16.0,0.67,19,18,1,0,0,0,18.01,0,5.982600000000005
40.86,29.43,31.23,61.92,37.02,744.32,550.73,193.59,718.09,26.23,117.72,13.76,31.55,3.66,0.0,601.69,335.46,19.0,18.0,1.0,0.0,16.0,0.0,0.0,1.0,1.0,286.56,48.41,2.88,5985.0,1140.0,16.0,1.06,19,18,0,0,1,0,18.01,0,7.177700000000008
21.17,16.79,17.8,28.93,19.68,456.36,308.76,147.59,349.8,106.56,65.39,7.63,26.16,3.26,57.53,345.66,191.52,12.0,11.0,1.0,0.0,7.0,3.0,6.0,2.0,2.0,194.211,26.45,3.01,834.0,261.0,9.0,1.33,12,8,0,3,0,1,11.04,0,2.5246000000000013
