,DIMRED_FEAT_nn=50;md=0[dot]3_x,DIMRED_FEAT_nn=50;md=0[dot]3_y,DIMRED_FEAT_nn=50;md=0[dot]7_x,DIMRED_FEAT_nn=50;md=0[dot]7_y,DIMRED_CHEM_nn=50;md=0[dot]3_x,DIMRED_CHEM_nn=50;md=0[dot]3_y,DIMRED_CHEM_nn=50;md=0[dot]7_x,DIMRED_CHEM_nn=50;md=0[dot]7_y,ligand_label
0,-2.2463944,11.814926,-2.2346945,11.986992,3.390946,8.146534,2.0561862,0.072742075,POOL-00005150
1,8.664082,4.876032,7.7019653,3.982011,7.445011,9.440541,2.5201535,-0.9250034,POOL-00020798
2,-1.8693047,11.827432,-2.8212237,12.494057,4.362658,6.542454,2.0217705,1.7527003,POOL-00004506
3,-0.9583143,6.928922,-0.50041777,5.8882766,8.088912,7.7806377,1.8212979,0.47651538,POOL-00037744
4,-3.8173602,1.8805798,-5.4913907,2.5373,5.290783,8.272037,4.6200595,2.5804183,POOL-00030022
5,2.1913047,8.213645,3.2295365,8.131678,2.5333421,7.6235394,2.3300037,-0.5077013,POOL-00025636
6,13.70847,8.154684,7.703563,10.793193,4.5917473,6.932065,5.437449,4.7370276,POOL-00025706
7,-2.6834464,4.138584,-2.290976,4.681692,5.060895,5.839564,5.695329,2.1873014,POOL-00039607
8,-2.513881,3.3784466,-2.9560235,4.0927787,5.554551,8.670841,4.905082,2.483788,POOL-00024958
9,-0.6234913,11.182745,-0.57443947,11.591071,4.2012777,7.380593,2.2145317,0.30549008,POOL-00029983
10,-0.0047991555,1.916037,-0.009261882,0.4782503,6.243586,7.9156055,5.9692693,3.41436,POOL-00039794
11,-0.13551332,2.2908704,0.0066935676,1.2341125,5.990308,8.457659,6.4018188,3.1299577,POOL-00037903
12,9.399531,11.603313,9.317039,13.353445,5.061027,9.093051,3.6769428,3.8477254,POOL-00042366
13,1.3662083,12.916712,0.75515205,14.207391,5.2103724,6.0686626,3.7029796,0.5905255,POOL-00040244
14,-1.2422549,1.5883358,-2.0344267,0.8160422,5.2463746,8.557501,4.767602,3.1402335,POOL-00033890
15,11.854329,7.967819,11.828086,8.539314,3.5729322,7.053806,6.0814915,-0.20876281,POOL-00036234
16,9.039423,6.1350117,8.826689,5.354828,5.7459316,10.337151,2.4646997,-0.75451416,POOL-00032324
17,10.047266,4.2957816,9.816739,2.8634222,3.0885086,8.002026,2.267809,-0.6545706,POOL-00015038
18,-0.5779226,6.825719,0.035838015,5.6703577,8.199259,8.003784,2.4327924,-0.7210101,POOL-00035030
19,-0.5565232,1.8656586,-0.8281773,0.59098345,6.3682714,8.763099,6.7751184,3.6162567,POOL-00030514
20,0.47169575,6.8749146,1.7419035,6.2222543,6.1218953,7.297528,5.267126,3.5216992,POOL-00032759
21,10.120495,5.1529503,10.820663,3.6071675,4.1502857,9.918452,2.507128,2.5416915,POOL-00041354
22,2.4586265,12.324755,2.4012184,13.740381,7.303312,6.702245,2.5040505,0.23574828,POOL-00041910
23,0.6729546,6.951139,1.7342987,6.1502256,5.0308347,9.358223,3.151459,2.2320588,POOL-00030331
24,10.025711,4.4192963,10.18119,2.866995,4.4069066,6.999196,3.1937613,0.1559977,POOL-00037857
25,3.1725357,12.4670105,3.3382573,14.157639,5.5094957,5.605838,2.3536851,0.665096,POOL-00036239
26,9.942225,12.400745,9.8319,14.411687,6.2320285,4.5267043,2.0725098,1.3180436,POOL-00042723
27,-0.43732905,6.929248,0.2990247,5.8636427,3.2372634,8.534664,2.250406,-0.16515455,POOL-00006995
28,9.963295,9.114305,11.023585,9.593636,4.015712,9.740722,4.156241,5.0383115,POOL-00033293
29,7.322781,9.630533,6.4789515,10.251233,2.7464876,7.2494984,5.3033915,-0.35533023,POOL-00036305
30,11.513187,9.970192,12.36734,10.940849,8.381968,5.744516,2.0849516,-0.014236652,POOL-00042490
31,-1.1231548,2.7620463,-1.2047374,2.5111537,6.4312387,9.368262,6.449345,3.0896776,POOL-00038117
32,8.030374,6.8161798,7.587814,6.623457,7.0114594,5.107145,4.1253643,0.28405493,POOL-00013491
33,1.4279703,5.815257,3.1291406,4.735067,8.404081,7.365411,2.2522979,-0.67721874,POOL-00038217
34,10.92627,8.85538,12.533359,9.139013,5.4615765,4.3426766,3.0701568,4.43524,POOL-00011838
35,-0.7262387,11.101359,-0.76757383,11.504025,7.720303,7.0633974,3.3039293,-0.12623611,POOL-00036519
