ligand_label,ligand_identifier,ligand_smiles,complexity_BertzCT,is_taught,cas_number,rank_average_pred_std
POOL-00021103,"InChI=1S/C11H8N2O2/c14-11(15)9-3-1-2-8(4-9)10-5-12-7-13-6-10/h1-7H,(H,14,15)",O=C(O)c1cccc(-c2cncnc2)c1,482.9564117634864,False,['852180-74-6'],0.3541910102
POOL-00034712,"InChI=1S/C11H9NO3/c1-7-9(11(13)14)12-10(15-7)8-5-3-2-4-6-8/h2-6H,1H3,(H,13,14)",Cc1oc(-c2ccccc2)nc1C(=O)O,487.7890706468072,False,['18735-74-5'],0.3443124204
POOL-00014948,"InChI=1S/C11H10N2O2/c1-13-10(7-9(12-13)11(14)15)8-5-3-2-4-6-8/h2-7H,1H3,(H,14,15)",Cn1nc(C(=O)O)cc1-c1ccccc1,488.54395814897066,False,['10199-53-8'],0.3092136563
POOL-00025937,"InChI=1S/C11H10N2O2/c14-8-9-3-1-4-10(7-9)15-11-12-5-2-6-13-11/h1-7,14H,8H2",OCc1cccc(Oc2ncccn2)c1,431.6128719021441,False,['82440-25-3'],0.3054479099
POOL-00037366,"InChI=1S/C11H10N2O2/c1-8-10(11(14)15)7-12-13(8)9-5-3-2-4-6-9/h2-7H,1H3,(H,14,15)",Cc1c(C(=O)O)cnn1-c1ccccc1,488.54395814897066,False,['91138-00-0'],0.3107434683
POOL-00007623,"InChI=1S/C11H9FN2O2/c1-7-6-10(11(15)16)13-14(7)9-4-2-8(12)3-5-9/h2-6H,1H3,(H,15,16)",Cc1cc(C(=O)O)nn1-c1ccc(F)cc1,531.4176329711794,False,['288251-66-1'],0.3098055157
POOL-00020983,"InChI=1S/C11H9NO3/c1-7-9(11(13)14)15-10(12-7)8-5-3-2-4-6-8/h2-6H,1H3,(H,13,14)",Cc1nc(-c2ccccc2)oc1C(=O)O,487.7890706468072,False,['91137-55-2'],0.3635271181
POOL-00025907,"InChI=1S/C12H9NO2/c14-12(15)11-8-4-7-10(13-11)9-5-2-1-3-6-9/h1-8H,(H,14,15)",O=C(O)c1cccc(-c2ccccc2)n1,479.9906095598428,False,['39774-28-2'],0.3065062789
POOL-00025904,"InChI=1S/C12H9NO2/c14-12(15)10-6-7-13-11(8-10)9-4-2-1-3-5-9/h1-8H,(H,14,15)",O=C(O)c1ccnc(-c2ccccc2)c1,479.9906095598428,False,['55240-51-2'],0.3017461873
POOL-00013074,"InChI=1S/C12H10N2O2/c15-12(16)9-2-1-3-11(8-9)14-10-4-6-13-7-5-10/h1-8H,(H,13,14)(H,15,16)",O=C(O)c1cccc(N=c2cc[nH]cc2)c1,555.4863730454475,False,['89990-32-9'],0.2919985427
POOL-00013993,"InChI=1S/C11H10N2O2/c14-11(15)10-3-1-2-9(6-10)7-13-5-4-12-8-13/h1-6,8H,7H2,(H,14,15)",O=C(O)c1cccc(Cn2ccnc2)c1,463.199977557074,False,['135611-31-3'],0.3020216115
POOL-00011881,"InChI=1S/C10H7FN2O2/c11-7-3-1-2-6(4-7)9-8(10(14)15)5-12-13-9/h1-5H,(H,12,13)(H,14,15)",O=C(O)c1c[nH]nc1-c1cccc(F)c1,507.62842500510726,False,['879996-69-7'],0.3021826166
POOL-00025196,"InChI=1S/C11H8F2N2O/c12-7-3-4-10(8(13)6-7)16-11-9(14)2-1-5-15-11/h1-6H,14H2",Nc1cccnc1Oc1ccc(F)cc1F,517.0877911834248,False,['175135-63-4'],0.2962232867
POOL-00026903,"InChI=1S/C10H8N2O2/c13-10(14)8-3-1-4-9(7-8)12-6-2-5-11-12/h1-7H,(H,13,14)",O=C(O)c1cccc(-n2cccn2)c1,448.9053749339957,False,['264264-33-7'],0.3450670326
POOL-00031239,"InChI=1S/C10H8N2O2/c13-10(14)9-8(11-6-12-9)7-4-2-1-3-5-7/h1-6H,(H,11,12)(H,13,14)",O=C(O)c1[nH]cnc1-c1ccccc1,448.1553749339957,False,['802052-58-0'],0.2888171488
POOL-00026657,"InChI=1S/C10H6F2N2O/c11-8-1-6(2-9(12)3-8)10-7(5-15)4-13-14-10/h1-5H,(H,13,14)",O=Cc1c[nH]nc1-c1cc(F)cc(F)c1,487.6235375029438,False,['875664-59-8'],0.3450655765
POOL-00029530,"InChI=1S/C12H11NO3/c1-8-5-6-11(16-8)12(15)13-9-3-2-4-10(14)7-9/h2-7,14H,1H3,(H,13,15)",Cc1ccc(C(=O)Nc2cccc(O)c2)o1,516.4873540986714,False,['423730-64-7'],0.3237827402
POOL-00013021,"InChI=1S/C10H7NO3/c12-10(13)8-6-11-9(14-8)7-4-2-1-3-5-7/h1-6H,(H,12,13)",O=C(O)c1cnc(-c2ccccc2)o1,447.4004874318322,False,['106833-79-8'],0.3547776023
POOL-00007968,"InChI=1S/C10H8N2O3/c1-6-11-9(15-12-6)7-4-2-3-5-8(7)10(13)14/h2-5H,1H3,(H,13,14)",Cc1noc(-c2ccccc2C(=O)O)n1,504.87353750294375,False,['475105-77-2'],0.3167545735
POOL-00026345,"InChI=1S/C10H7NO3/c12-10(13)8-9(14-6-11-8)7-4-2-1-3-5-7/h1-6H,(H,12,13)",O=C(O)c1ncoc1-c1ccccc1,447.4004874318322,False,['99924-18-2'],0.337241988
POOL-00021649,"InChI=1S/C13H11NO2/c15-12-8-4-5-10(9-12)13(16)14-11-6-2-1-3-7-11/h1-9,15H,(H,14,16)",OC(=Nc1ccccc1)c1cccc(O)c1,506.3508605576391,False,['27559-45-1'],0.3006764121
POOL-00028633,"InChI=1S/C12H10N2O3/c15-11-7-6-10(9-4-2-1-3-5-9)13-14(11)8-12(16)17/h1-7H,8H2,(H,16,17)",O=C(O)Cn1nc(-c2ccccc2)ccc1=O,590.1997783881186,False,['91973-93-2'],0.3146046487
POOL-00036858,"InChI=1S/C12H9NO3/c14-12(15)10-7-4-8-13-11(10)16-9-5-2-1-3-6-9/h1-8H,(H,14,15)",O=C(O)c1cccnc1Oc1ccccc1,496.6268764819446,False,['35620-71-4'],0.3130911935
POOL-00038197,"InChI=1S/C11H9NO2/c13-11(14)10-7-6-9(12-10)8-4-2-1-3-5-8/h1-7,12H,(H,13,14)",O=C(O)c1ccc(-c2ccccc2)[nH]1,445.32090807785903,False,['6636-06-2'],0.2945705747
POOL-00005442,"InChI=1S/C10H8N2O3/c1-6-2-4-7(5-3-6)8-11-12-9(15-8)10(13)14/h2-5H,1H3,(H,13,14)",Cc1ccc(-c2nnc(C(=O)O)o2)cc1,487.6235375029438,False,['944898-10-6'],0.3021914358
POOL-00027310,"InChI=1S/C11H9NO2S/c13-11(14)9-7-15-10(12-9)6-8-4-2-1-3-5-8/h1-5,7H,6H2,(H,13,14)",O=C(O)c1csc(Cc2ccccc2)n1,464.4499775570739,False,['36916-44-6'],0.3081675236
POOL-00009293,"InChI=1S/C11H9NO2/c13-9-4-6-10(7-5-9)14-11-3-1-2-8-12-11/h1-8,13H",Oc1ccc(Oc2ccccn2)cc1,397.3925251069128,False,['68464-71-1'],0.2959903763
POOL-00014027,"InChI=1S/C13H12FNO/c14-13-7-2-1-4-10(13)9-16-12-6-3-5-11(15)8-12/h1-8H,9,15H2",Nc1cccc(OCc2ccccc2F)c1,484.8637396214058,False,['686342-64-3'],0.3871429922
POOL-00026901,"InChI=1S/C10H8N2O2/c13-10(14)8-2-1-3-9(6-8)12-5-4-11-7-12/h1-7H,(H,13,14)",O=C(O)c1cccc(-n2ccnc2)c1,448.9053749339957,False,['108035-47-8'],0.3438882563
POOL-00037153,"InChI=1S/C10H7NO2S/c12-10(13)8-6-14-9(11-8)7-4-2-1-3-5-7/h1-6H,(H,12,13)",O=C(O)c1csc(-c2ccccc2)n1,450.1553749339957,False,['7113-10-2'],0.3433614648
POOL-00032441,"InChI=1S/C9H6N2O2S/c12-9(13)7-5-14-8(11-7)6-1-3-10-4-2-6/h1-5H,(H,12,13)",O=C(O)c1csc(-c2ccncc2)n1,452.84533086988847,False,['21278-86-4'],0.3453748446
POOL-00008593,"InChI=1S/C12H10N2O3/c1-8-6-13-7-11(14-8)17-10-4-2-3-9(5-10)12(15)16/h2-7H,1H3,(H,15,16)",Cc1cncc(Oc2cccc(C(=O)O)c2)n1,554.9519342475284,False,['906352-96-3'],0.3202849333
POOL-00014791,"InChI=1S/C11H9NO2S/c1-7-12-9(10(15-7)11(13)14)8-5-3-2-4-6-8/h2-6H,1H3,(H,13,14)",Cc1nc(-c2ccccc2)c(C(=O)O)s1,490.54395814897066,False,['32002-72-5'],0.297664535
POOL-00016118,"InChI=1S/C12H9NO3/c14-8-9-4-3-7-13(9)11-6-2-1-5-10(11)12(15)16/h1-8H,(H,15,16)",O=Cc1cccn1-c1ccccc1C(=O)O,542.7018307675357,False,['55540-44-8'],0.2982453513
POOL-00031246,"InChI=1S/C10H7FN2O/c11-9-3-1-7(2-4-9)10-8(6-14)5-12-13-10/h1-6H,(H,12,13)",O=Cc1c[nH]nc1-c1ccc(F)cc1,447.4004874318322,False,['306936-57-2'],0.3073405893
POOL-00008596,"InChI=1S/C12H10N2O3/c1-8-6-13-7-11(14-8)17-10-4-2-9(3-5-10)12(15)16/h2-7H,1H3,(H,15,16)",Cc1cncc(Oc2ccc(C(=O)O)cc2)n1,537.7019342475284,False,['906353-00-2'],0.2942042085
