ligand_label,ligand_identifier,ligand_smiles,complexity_BertzCT,is_taught,cas_number,rank_average_pred_mu_top2%mu
POOL-00026185,"InChI=1S/C5H4BrNO2S/c1-9-4(8)3-2-7-5(6)10-3/h2H,1H3",COC(=O)c1cnc(Br)s1,247.55091916625787,False,['54045-74-8'],0.9852030658
POOL-00005544,"InChI=1S/C5H4BrNO2S/c1-9-5(8)3-4(6)10-2-7-3/h2H,1H3",COC(=O)c1ncsc1Br,247.55091916625787,False,['913836-22-3'],0.9879201717
POOL-00025923,"InChI=1S/C5H4BrNO2S/c1-9-4(8)3-2-10-5(6)7-3/h2H,1H3",COC(=O)c1csc(Br)n1,247.55091916625787,False,['170235-26-4'],0.9841919144
POOL-00003576,"InChI=1S/C5H4BrNO2S/c1-9-5(8)4-7-3(6)2-10-4/h2H,1H3",COC(=O)c1nc(Br)cs1,247.55091916625787,False,['1025468-06-7'],0.9855629581
POOL-00033178,InChI=1S/C5H6N2O3/c1-3-5(7(8)9)4(2)10-6-3/h1-2H3,Cc1noc(C)c1[N+](=O)[O-],246.3568215166632,False,['1123-49-5'],0.9950904011
POOL-00034720,"InChI=1S/C5H5BrN2O2S/c1-11(9,10)5-7-2-4(6)3-8-5/h2-3H,1H3",CS(=O)(=O)c1ncc(Br)cn1,345.2500965256255,False,['38275-48-8'],0.9865616491
POOL-00043574,"InChI=1S/C5H7NO2S/c1-2-8-5(7)3-9-4-6/h2-3H2,1H3",CCOC(=O)CSC#N,129.40990953421706,False,['5349-28-0'],0.9837898846
POOL-00011598,"InChI=1S/C5H4FNO2S/c6-10(8,9)5-3-1-2-4-7-5/h1-4H",O=S(=O)(F)c1ccccn1,307.6796526271106,False,['878376-35-3'],0.9908277606
POOL-00032629,InChI=1S/C5H3BrN2O2/c6-5-3-4(8(9)10)1-2-7-5/h1-3H,O=[N+]([O-])c1ccnc(Br)c1,263.579792906447,False,['6945-67-1'],0.9947176659
POOL-00034960,InChI=1S/C5H2BrFN2O2/c6-4-1-3(9(10)11)2-8-5(4)7/h1-2H,O=[N+]([O-])c1cnc(F)c(Br)c1,304.53393375635244,False,['1868-58-2'],0.9887374505
POOL-00027208,"InChI=1S/C5H5BrN2O2/c1-3-5(4(9)2-6)8-10-7-3/h2H2,1H3",Cc1nonc1C(=O)CBr,245.55091916625787,False,['165066-97-7'],0.9982670722
POOL-00014797,"InChI=1S/C5H7NO2S/c1-4(6-3-9)5(7)8-2/h4H,1-2H3",COC(=O)C(C)N=C=S,151.03698459046726,False,['21055-39-0'],0.9886365421
POOL-00028963,InChI=1S/C5H3BrN2O2/c6-4-1-2-5(7-3-4)8(9)10/h1-3H,O=[N+]([O-])c1ccc(Br)cn1,246.32979290644693,False,['39856-50-3'],0.993229391
POOL-00038793,"InChI=1S/C5H7NO2S/c1-2-8-5(7)3-6-4-9/h2-3H2,1H3",CCOC(=O)CN=C=S,139.89342114105554,False,['24066-82-8'],0.9831818107
POOL-00025909,InChI=1S/C5H3BrN2O2/c6-4-1-5(8(9)10)3-7-2-4/h1-3H,O=[N+]([O-])c1cncc(Br)c1,263.579792906447,False,['15862-30-3'],0.989180338
POOL-00040736,InChI=1S/C5H3BrN2O2/c6-5-2-1-4(3-7-5)8(9)10/h1-3H,O=[N+]([O-])c1ccc(Br)nc1,246.32979290644693,False,['4487-59-6'],0.9893200967
POOL-00010283,InChI=1S/C5H3FN2O2/c6-4-1-2-5(7-3-4)8(9)10/h1-3H,O=[N+]([O-])c1ccc(F)cn1,246.32979290644693,False,['779345-37-8'],0.9927470316
POOL-00030519,InChI=1S/C5H3BrN2O2/c6-5-4(8(9)10)2-1-3-7-5/h1-3H,O=[N+]([O-])c1cccnc1Br,263.579792906447,False,['19755-53-4'],0.9983421733
POOL-00000686,"InChI=1S/C5H3BrF2N2/c6-3-1-9-5(4(7)8)10-2-3/h1-2,4H",FC(F)c1ncc(Br)cn1,211.3928650179568,False,['1780834-92-5'],0.9904432629
POOL-00001383,"InChI=1S/C5H3BrFNO3S/c6-5-4(2-1-3-8-5)11-12(7,9)10/h1-3H",O=S(=O)(F)Oc1cccnc1Br,380.03465170067625,False,['1888393-43-8'],0.987063616
POOL-00005543,InChI=1S/C5H3Br2NO2S/c1-10-4(9)2-3(6)11-5(7)8-2/h1H3,COC(=O)c1nc(Br)sc1Br,286.0098267951167,False,['914347-25-4'],0.9847739962
POOL-00030021,"InChI=1S/C5H5F3N2O/c1-10-4(11)2-3(9-10)5(6,7)8/h2H2,1H3",CN1N=C(C(F)(F)F)CC1=O,220.25764485869857,False,['1481-02-3'],0.9847481423
POOL-00031088,InChI=1S/C5H3BrN2O2/c6-4-2-1-3-7-5(4)8(9)10/h1-3H,O=[N+]([O-])c1ncccc1Br,263.579792906447,False,['54231-33-3'],0.9967870248
POOL-00005361,InChI=1S/C5H2BrFN2O2/c6-3-1-4(9(10)11)5(7)8-2-3/h1-2H,O=[N+]([O-])c1cc(Br)cnc1F,304.53393375635244,False,['886372-98-1'],0.991264849
POOL-00041921,InChI=1S/C5H6Br2N2O2/c1-5(2)3(10)8(6)4(11)9(5)7/h1-2H3,CC1(C)C(=O)N(Br)C(=O)N1Br,228.52230736518896,False,['77-48-5'],0.997310652
POOL-00025912,InChI=1S/C5H3FN2O2/c6-4-3-7-2-1-5(4)8(9)10/h1-3H,O=[N+]([O-])c1ccncc1F,263.579792906447,False,['13505-01-6'],0.9959018996
POOL-00018012,"InChI=1S/C5H9NO3/c1-5(7)3-2-4-6(8)9/h2-4H2,1H3",CC(=O)CCC[N+](=O)[O-],107.3715149046361,False,['22020-87-7'],0.9867918013
POOL-00005316,"InChI=1S/C5H6N2OS2/c1-4(8)2-9-5-7-6-3-10-5/h3H,2H2,1H3",CC(=O)CSc1nncs1,209.43234406538005,False,['1000932-13-7'],0.9861628571
POOL-00003709,"InChI=1S/C5H5BrF2N2/c1-3-4(6)2-9-10(3)5(7)8/h2,5H,1H3",Cc1c(Br)cnn1C(F)F,233.55186449460936,False,['1243250-04-5'],0.9960933572
POOL-00036360,"InChI=1S/C5H5NO2S2/c6-4-9-5-1-2-10(7,8)3-5/h1-2,5H,3H2",N#CSC1C=CS(=O)(=O)C1,285.26003671409615,False,['73909-05-4'],0.9863693135
POOL-00019904,"InChI=1S/C6H4F3NO3S/c7-6(8,9)14(11,12)13-5-3-1-2-4-10-5/h1-4H",O=S(=O)(Oc1ccccn1)C(F)(F)F,400.0799478174012,False,['65007-00-3'],0.9967980473
POOL-00030318,"InChI=1S/C5H11NO3/c1-4-9-5(7)6(2)8-3/h4H2,1-3H3",CCOC(=O)N(C)OC,94.2038970536883,False,['6919-62-6'],0.9884527529
POOL-00037195,"InChI=1S/C5H9NOS/c1-7-4-2-3-6-5-8/h2-4H2,1H3",COCCCN=C=S,88.42945954287094,False,['17702-11-3'],0.9859197796
POOL-00040489,"InChI=1S/C5H10NO3P/c1-3-8-10(7,5-6)9-4-2/h3-4H2,1-2H3",CCOP(=O)(C#N)OCC,164.2221017634409,False,['2942-58-7'],0.9863310693
POOL-00001381,"InChI=1S/C7H5FO4S/c8-13(10,11)12-7-4-2-1-3-6(7)5-9/h1-5H",O=Cc1ccccc1OS(=O)(=O)F,412.2556483008431,False,['1692870-16-8'],0.9900435476
POOL-00009409,"InChI=1S/C7H7FO4S/c1-11-6-2-4-7(5-3-6)12-13(8,9)10/h2-5H,1H3",COc1ccc(OS(=O)(=O)F)cc1,369.9839451397637,False,['775-27-9'],0.9898024491
POOL-00007250,"InChI=1S/C8H7FO3S/c1-13(11,12)8-3-2-6(5-10)4-7(8)9/h2-5H,1H3",CS(=O)(=O)c1ccc(C=O)cc1F,436.7024032038308,False,['254878-95-0'],0.9948637662
POOL-00043185,InChI=1S/C7H4BrNS/c8-6-1-3-7(4-2-6)9-5-10/h1-4H,S=C=Nc1ccc(Br)cc1,261.43952526087224,False,['1985-12-2'],1.0028570581
POOL-00030860,"InChI=1S/C5H10NO4P/c1-3-9-11(8,6-5-7)10-4-2/h3-4H2,1-2H3",CCOP(=O)(N=C=O)OCC,188.65909855061452,False,['20039-33-2'],0.9829326574
POOL-00042528,"InChI=1S/C5H11NO2/c1-2-3-4-5-8-6-7/h2-5H2,1H3",CCCCCON=O,56.39035952556319,False,['463-04-7'],0.9857655659
POOL-00003870,"InChI=1S/C5H9N2O4P/c1-4(8)5(7-6)12(9,10-2)11-3/h1-3H3",COP([O-])(OC)=C([N+]#N)C(C)=O,271.6630322472893,False,['90965-06-3'],0.9938570705
