ligand_label,ligand_identifier,ligand_smiles,complexity_BertzCT,is_taught,cas_number,rank_average_pred_mu_top2%mu
POOL-00010722,"InChI=1S/C8H5FN2O2/c9-4-1-2-5-6(3-4)10-11-7(5)8(12)13/h1-3H,(H,10,11)(H,12,13)",O=C(O)c1n[nH]c2cc(F)ccc12,477.94880433128606,False,['129295-30-3'],1.87467252
POOL-00040738,"InChI=1S/C8H6N2O2/c11-8(12)7-5-3-1-2-4-6(5)9-10-7/h1-4H,(H,9,10)(H,11,12)",O=C(O)c1n[nH]c2ccccc12,433.3054103500143,False,"['4498-67-3', '877309-58-5']",1.8606062407
POOL-00035558,"InChI=1S/C9H6N2O2/c12-9(13)7-5-10-11-8-4-2-1-3-6(7)8/h1-5H,(H,12,13)",O=C(O)c1cnnc2ccccc12,462.6262845243794,False,['21905-86-2'],1.8508401992
POOL-00009473,"InChI=1S/C8H5FN2O2/c9-4-1-2-6-5(3-4)7(8(12)13)11-10-6/h1-3H,(H,10,11)(H,12,13)",O=C(O)c1n[nH]c2ccc(F)cc12,477.94880433128606,False,['1077-96-9'],1.8801257463
POOL-00005088,"InChI=1S/C8H5BrN2O2/c9-4-1-5-6(8(12)13)3-11-7(5)10-2-4/h1-3H,(H,10,11)(H,12,13)",O=C(O)c1c[nH]c2ncc(Br)cc12,477.94880433128606,False,['849068-61-7'],1.8769372032
POOL-00007548,"InChI=1S/C8H5BrN2O2/c9-5-1-2-7-10-3-6(8(12)13)11(7)4-5/h1-4H,(H,12,13)",O=C(O)c1cnc2ccc(Br)cn12,477.94880433128606,False,['944896-42-8'],1.8530548272
POOL-00000138,"InChI=1S/C8H5BrN2O/c9-5-1-2-7-6(3-5)8(12)11-4-10-7/h1-4H,(H,10,11,12)",Oc1ncnc2ccc(Br)cc12,430.327416202102,False,['32084-59-6'],1.826341056
POOL-00039724,"InChI=1S/C8H6N2O2/c11-8-7(10-12)5-3-1-2-4-6(5)9-8/h1-4,9,11H",O=Nc1c(O)[nH]c2ccccc12,433.5505228478508,False,"['607-28-3', '73859-64-0', '73859-66-2']",1.8706715252
POOL-00010156,"InChI=1S/C8H5BrN2O2/c9-6-3-10-7-2-1-5(8(12)13)4-11(6)7/h1-4H,(H,12,13)",O=C(O)c1ccc2ncc(Br)n2c1,477.94880433128606,False,['886362-00-1'],1.8448106285
POOL-00008776,"InChI=1S/C8H5BrN2O2/c9-6-1-4(8(12)13)2-7-5(6)3-10-11-7/h1-3H,(H,10,11)(H,12,13)",O=C(O)c1cc(Br)c2cn[nH]c2c1,477.94880433128606,False,['885523-43-3'],1.8767179236
POOL-00028208,"InChI=1S/C9H6N2O2/c12-9(13)7-4-3-6-2-1-5-10-8(6)11-7/h1-5H,(H,12,13)",O=C(O)c1ccc2cccnc2n1,467.8762845243794,False,['215523-34-5'],1.8477344959
POOL-00008774,"InChI=1S/C8H5BrN2O2/c9-7-5-3-4(8(12)13)1-2-6(5)10-11-7/h1-3H,(H,10,11)(H,12,13)",O=C(O)c1ccc2[nH]nc(Br)c2c1,477.94880433128606,False,['885521-49-3'],1.8792004582
