ligand_label,ligand_identifier,ligand_smiles,complexity_BertzCT,is_taught,cas_number,rank_average_pred_std
POOL-00000914,"InChI=1S/C11H19NO3/c1-4-5-11(7-14-9(12)13)6-10(2,3)15-8-11/h4H,1,5-8H2,2-3H3,(H2,12,13)",C=CCC1(COC(=N)O)COC(C)(C)C1,262.55864874378136,False,['91333-46-9'],0.1347518916
POOL-00010553,"InChI=1S/C11H19NO3/c1-8-5-6-12(7-9(8)13)10(14)15-11(2,3)4/h9,13H,1,5-7H2,2-4H3",C=C1CCN(C(=O)OC(C)(C)C)CC1O,267.496824257853,False,['159635-22-0'],0.148070955
POOL-00025974,"InChI=1S/C11H21NO3/c1-11(2,3)15-10(14)12-7-5-4-6-9(12)8-13/h9,13H,4-8H2,1-3H3",CC(C)(C)OC(=O)N1CCCCC1CO,222.36314865724265,False,['157634-00-9'],0.1399287977
POOL-00004554,"InChI=1S/C11H20FNO3/c1-11(2,3)16-10(15)13-5-4-8(7-14)9(12)6-13/h8-9,14H,4-7H2,1-3H3",CC(C)(C)OC(=O)N1CCC(CO)C(F)C1,252.10445503183615,False,"['1303973-77-4', '882033-94-5', '882033-93-4']",0.1451555695
POOL-00025973,"InChI=1S/C11H21NO3/c1-11(2,3)15-10(14)12-6-4-5-9(7-12)8-13/h9,13H,4-8H2,1-3H3",CC(C)(C)OC(=O)N1CCCC(CO)C1,222.36314865724265,False,['116574-71-1'],0.1431795288
POOL-00007505,"InChI=1S/C13H23NO3/c1-5-6-13(16)7-9-14(10-8-13)11(15)17-12(2,3)4/h5,16H,1,6-10H2,2-4H3",C=CCC1(O)CCN(C(=O)OC(C)(C)C)CC1,285.5299251954424,False,['203662-51-5'],0.1375205434
POOL-00002096,"InChI=1S/C11H21NO4/c1-8-7-15-9(6-13)5-12(8)10(14)16-11(2,3)4/h8-9,13H,5-7H2,1-4H3",CC1COC(CO)CN1C(=O)OC(C)(C)C,248.85934253399964,False,['1505872-97-8'],0.1311079955
POOL-00002036,"InChI=1S/C13H23NO3/c1-5-7-13(16)8-6-9-14(10-13)11(15)17-12(2,3)4/h5,16H,1,6-10H2,2-4H3",C=CCC1(O)CCCN(C(=O)OC(C)(C)C)C1,295.5299251954423,False,['1331825-48-9'],0.1379020207
POOL-00025987,"InChI=1S/C11H21NO3/c1-11(2,3)15-10(14)12-6-4-9(8-13)5-7-12/h9,13H,4-8H2,1-3H3",CC(C)(C)OC(=O)N1CCC(CO)CC1,214.36314865724265,False,['123855-51-6'],0.1488797563
POOL-00029410,"InChI=1S/C12H23NO3/c1-12(2,3)16-11(15)13-7-4-10(5-8-13)6-9-14/h10,14H,4-9H2,1-3H3",CC(C)(C)OC(=O)N1CCC(CCO)CC1,226.90859697359195,False,['89151-44-0'],0.14188745
POOL-00027334,"InChI=1S/C11H19NO3/c1-11(2,3)15-10(14)12-8-4-6-9(13)7-5-8/h8H,4-7H2,1-3H3,(H,12,14)",CC(C)(C)OC(O)=NC1CCC(=O)CC1,255.4968242578529,False,['179321-49-4'],0.1385680034
POOL-00001680,"InChI=1S/C11H19NO5/c1-11(2,3)17-10(14)12-8(9(13)15-4)7-5-16-6-7/h7-8H,5-6H2,1-4H3,(H,12,14)",COC(=O)C(N=C(O)OC(C)(C)C)C1COC1,303.47387626146804,False,['1416323-08-4'],0.1341912267
POOL-00016782,"InChI=1S/C12H23NO3/c1-12(2,3)16-11(15)13-8-5-4-6-10(13)7-9-14/h10,14H,4-9H2,1-3H3",CC(C)(C)OC(=O)N1CCCCC1CCO,232.90859697359195,False,['118811-03-3'],0.1369145585
POOL-00041761,"InChI=1S/C11H17NO3/c1-13-9-6-8(4-5-12)7-10(14-2)11(9)15-3/h6-7H,4-5,12H2,1-3H3",COc1cc(CCN)cc(OC)c1OC,300.60422707290934,False,['54-04-6'],0.1414959651
POOL-00036148,"InChI=1S/C12H15NO3/c1-9(14)13-11(12(15)16-2)8-10-6-4-3-5-7-10/h3-7,11H,8H2,1-2H3,(H,13,14)",COC(=O)C(Cc1ccccc1)N=C(C)O,369.1100796599688,False,['62436-70-8'],0.1353391879
POOL-00003862,"InChI=1S/C12H23NO3/c1-11(2,3)16-10(15)13-7-6-9(14)12(4,5)8-13/h9,14H,6-8H2,1-5H3",CC(C)(C)OC(=O)N1CCC(O)C(C)(C)C1,267.92766312008155,False,['143306-65-4'],0.1438939833
POOL-00007884,"InChI=1S/C11H21NO3/c1-11(2,3)15-10(14)12-7-4-5-9(13)6-8-12/h9,13H,4-8H2,1-3H3",CC(C)(C)OC(=O)N1CCCC(O)CC1,222.36314865724265,False,['478832-21-2'],0.145759301
POOL-00013631,"InChI=1S/C11H17NO3/c1-9-10(8-13)12-5-4-11(9)15-7-3-6-14-2/h4-5,13H,3,6-8H2,1-2H3",COCCCOc1ccnc(CO)c1C,301.8845500527331,False,['118175-10-3'],0.1434728831
POOL-00014695,"InChI=1S/C13H19NO2/c1-13(2,3)16-12(15)9-11(14)10-7-5-4-6-8-10/h4-8,11H,9,14H2,1-3H3",CC(C)(C)OC(=O)CC(N)c1ccccc1,340.70026859123647,False,['149193-92-0'],0.1344941593
POOL-00006119,"InChI=1S/C12H17NO2/c1-3-15-12(14)11(8-13)10-6-4-9(2)5-7-10/h4-7,11H,3,8,13H2,1-2H3",CCOC(=O)C(CN)c1ccc(C)cc1,318.8989335759842,False,['805180-81-8'],0.1354433804
POOL-00028223,"InChI=1S/C11H22N2O3/c1-11(2,3)16-10(15)13-6-4-12(5-7-13)8-9-14/h14H,4-9H2,1-3H3",CC(C)(C)OC(=O)N1CCN(CCO)CC1,229.87439917723557,False,"['77279-24-4', '867359-85-1']",0.1413772329
POOL-00023188,"InChI=1S/C12H17NO4/c1-6-9(11(14)16-4)7(2)13-8(3)10(6)12(15)17-5/h6,13H,1-5H3",COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1C,382.2215658835909,False,['55536-69-1'],0.1331373415
POOL-00004172,"InChI=1S/C11H19F2NO3/c1-10(2,3)17-9(16)14-5-8(6-15)4-11(12,13)7-14/h8,15H,4-7H2,1-3H3",CC(C)(C)OC(=O)N1CC(CO)CC(F)(F)C1,288.93135570715424,False,['1262412-64-5'],0.1346090479
POOL-00041475,"InChI=1S/C11H15NO4/c1-6-8(10(13)15-3)5-9(7(2)12-6)11(14)16-4/h12H,5H2,1-4H3",COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1,356.78874321670224,False,['17438-14-1'],0.1359018705
POOL-00033600,"InChI=1S/C11H15NO4/c1-14-8-4-7(6-10(12)13)5-9(15-2)11(8)16-3/h4-5H,6H2,1-3H3,(H2,12,13)",COc1cc(CC(=N)O)cc(OC)c1OC,364.5661068592855,False,['91248-14-5'],0.134154871
POOL-00005066,"InChI=1S/C11H19NO5/c1-11(2,3)17-10(15)12-4-5-16-7-8(12)6-9(13)14/h8H,4-7H2,1-3H3,(H,13,14)",CC(C)(C)OC(=O)N1CCOCC1CC(=O)O,296.72714075399284,False,['859155-89-8'],0.1316416798
POOL-00024789,"InChI=1S/C11H19NO3/c1-11(2,3)10(15)12-6-4-8(5-7-12)9(13)14/h8H,4-7H2,1-3H3,(H,13,14)",CC(C)(C)C(=O)N1CCC(C(=O)O)CC1,259.4968242578529,False,['147958-90-5'],0.1354344634
POOL-00028310,"InChI=1S/C11H22N2O2/c1-11(2,3)15-10(14)13-6-4-9(8-12)5-7-13/h9H,4-8,12H2,1-3H3",CC(C)(C)OC(=O)N1CCC(CN)CC1,215.11803615940613,False,['144222-22-0'],0.1316174783
POOL-00010683,"InChI=1S/C11H19NO5/c1-11(2,3)17-10(15)12-6-7(13)5-8(12)9(14)16-4/h7-8,13H,5-6H2,1-4H3",COC(=O)C1CC(O)CN1C(=O)OC(C)(C)C,309.47387626146804,False,['897046-42-3'],0.1426470031
POOL-00010611,"InChI=1S/C11H21NO2/c1-11(2,3)14-10(13)8-6-4-5-7-9(8)12/h8-9H,4-7,12H2,1-3H3",CC(C)(C)OC(=O)C1CCCCC1N,207.82329607809183,False,['1341984-06-2'],0.1368673091
POOL-00006846,"InChI=1S/C12H17NO2/c1-2-15-12(14)11(9-13)8-10-6-4-3-5-7-10/h3-7,11H,2,8-9,13H2,1H3",CCOC(=O)C(CN)Cc1ccccc1,297.7502458872492,False,['91564-21-5'],0.1381287364
POOL-00006335,"InChI=1S/C12H21NO5/c1-11(2,3)18-10(16)13-7-5-12(17-4,6-8-13)9(14)15/h5-8H2,1-4H3,(H,14,15)",COC1(C(=O)O)CCN(C(=O)OC(C)(C)C)CC1,325.84969641620194,False,['1082042-29-2'],0.1319747794
POOL-00014487,"InChI=1S/C11H20N2O4/c1-11(2,3)17-10(15)13-6-7(12)5-8(13)9(14)16-4/h7-8H,5-6,12H2,1-4H3",COC(=O)C1CC(N)CN1C(=O)OC(C)(C)C,311.0835167359049,False,['1219158-46-9'],0.1391648512
