ligand_label,ligand_identifier,ligand_smiles,complexity_BertzCT,is_taught,cas_number,rank_average_pred_mu_top2%mu,cluster,fisher-price,fisher-avail,fisher-url
POOL-00036342,"InChI=1S/C20H25NO4/c1-5-24-19(22)17-13(3)21-14(4)18(20(23)25-6-2)16(17)12-15-10-8-7-9-11-15/h7-11,16,21H,5-6,12H2,1-4H3",CCOC(=O)C1=C(C)NC(C)=C(C(=O)OCC)C1Cc1ccccc1,663.6661552990712,False,['1539-57-7'],0.9870223621,0,,,
POOL-00042487,"InChI=1S/C20H25NO3/c1-3-21(4-2)15-16-24-19(22)20(23,17-11-7-5-8-12-17)18-13-9-6-10-14-18/h5-14,23H,3-4,15-16H2,1-2H3",CCN(CC)CCOC(=O)C(O)(c1ccccc1)c1ccccc1,584.3469251794857,False,['302-40-9'],0.9851714136,0,,,
POOL-00014633,"InChI=1S/C20H23NO4/c1-20(2,3)25-19(24)21-17(18(22)23)16(14-10-6-4-7-11-14)15-12-8-5-9-13-15/h4-13,16-17H,1-3H3,(H,21,24)(H,22,23)",CC(C)(C)OC(O)=NC(C(=O)O)C(c1ccccc1)c1ccccc1,680.8663024953792,False,['119363-63-2'],0.9599579784,0,,,
POOL-00013261,"InChI=1S/C19H22N2O3/c1-13-9-10-14(2)17(11-13)24-12-15-7-5-6-8-16(15)18(21-23-4)19(22)20-3/h5-11H,12H2,1-4H3,(H,20,22)",CNC(=O)C(=NOC)c1ccccc1COc1cc(C)ccc1C,754.0271619063108,False,['145451-07-6'],0.990239037,0,,,
POOL-00015004,"InChI=1S/C20H24N2O3/c1-14-7-5-10-17(11-14)25-13-19(24)22(4)12-18(23)21-20-15(2)8-6-9-16(20)3/h5-11H,12-13H2,1-4H3,(H,21,23)",Cc1cccc(OCC(=O)N(C)CC(O)=Nc2c(C)cccc2C)c1,764.0107754631106,False,['1097497-12-5'],0.9632757462,0,,,
POOL-00025471,"InChI=1S/C19H29NO4/c1-5-23-18(21)15-12(3)20-13(4)16(19(22)24-6-2)17(15)14-10-8-7-9-11-14/h14,17,20H,5-11H2,1-4H3",CCOC(=O)C1=C(C)NC(C)=C(C(=O)OCC)C1C1CCCCC1,515.714096239352,False,['1539-59-9'],0.9857043172,0,,,
POOL-00017502,"InChI=1S/C19H27NO3/c1-13(2)15-8-10-16(11-9-15)18(21)20-17(19(22)23)12-14-6-4-3-5-7-14/h3-7,13,15-17H,8-12H2,1-2H3,(H,20,21)(H,22,23)",CC(C)C1CCC(C(O)=NC(Cc2ccccc2)C(=O)O)CC1,530.8055238275556,False,['1227666-13-8'],0.9654156378,0,,,
POOL-00000121,"InChI=1S/C20H27NO3/c1-13(2)9-16(21-15-7-5-14(12-22)6-8-15)19-17(23)10-20(3,4)11-18(19)24/h5-8,13,22-23H,9-12H2,1-4H3",CC(C)CC(=Nc1ccc(CO)cc1)C1=C(O)CC(C)(C)CC1=O,666.6293060206759,False,['172611-73-3'],0.9674684815,0,,,
POOL-00043032,"InChI=1S/C19H23NO4/c1-5-23-18(21)15-12(3)20-13(4)16(19(22)24-6-2)17(15)14-10-8-7-9-11-14/h7-11,17,20H,5-6H2,1-4H3",CCOC(=O)C1=C(C)NC(C)=C(C(=O)OCC)C1c1ccccc1,648.5781558017245,False,['1165-06-6'],0.9919338968,0,,,
POOL-00035213,"InChI=1S/C20H25NO4/c1-6-24-19(22)16-13(4)21-14(5)17(20(23)25-7-2)18(16)15-10-8-12(3)9-11-15/h8-11,18,21H,6-7H2,1-5H3",CCOC(=O)C1=C(C)NC(C)=C(C(=O)OCC)C1c1ccc(C)cc1,688.5679778957045,False,['36422-59-0'],0.9845288598,0,,,
