ligand_label,ligand_identifier,ligand_smiles,complexity_BertzCT,is_taught,cas_number,rank_average_pred_std_top2%mu,cluster,fisher-price,fisher-avail,fisher-url
POOL-00027907,"InChI=1S/C16H17NO2/c1-12-3-7-14(8-4-12)16(18)17-11-13-5-9-15(19-2)10-6-13/h3-10H,11H2,1-2H3,(H,17,18)",COc1ccc(CNC(=O)c2ccc(C)cc2)cc1,543.9665458095296,False,['288154-96-1'],0.1785975809,0,,,
POOL-00023424,"InChI=1S/C14H13NO3/c1-9(16)11-3-5-12(6-4-11)15-14(17)13-7-8-18-10(13)2/h3-8H,1-2H3,(H,15,17)",CC(=O)c1ccc(NC(=O)c2ccoc2C)cc1,581.3415018720161,False,['424807-56-7'],0.165822936,0,,,
POOL-00035937,"InChI=1S/C15H15NO2/c1-11-7-3-4-8-12(11)15(17)16-13-9-5-6-10-14(13)18-2/h3-10H,1-2H3,(H,16,17)",COc1ccccc1N=C(O)c1ccccc1C,576.2112141459352,False,['55814-34-1'],0.1610839715,0,,,
POOL-00034428,"InChI=1S/C15H12FNO2/c1-10(18)11-6-3-5-9-14(11)17-15(19)12-7-2-4-8-13(12)16/h2-9H,1H3,(H,17,19)",CC(=O)c1ccccc1N=C(O)c1ccccc1F,650.0987633790619,False,['194783-80-7'],0.1871030293,0,,,
POOL-00005373,"InChI=1S/C15H18N2O2/c1-9(2)12-5-7-13(8-6-12)17-11(4)14(15(18)19)10(3)16-17/h5-9H,1-4H3,(H,18,19)",Cc1nn(-c2ccc(C(C)C)cc2)c(C)c1C(=O)O,609.8209663243832,False,['1171764-30-9'],0.1855589429,0,,,
POOL-00019912,"InChI=1S/C15H15NO2/c1-18-14-9-7-12(8-10-14)11-16-15(17)13-5-3-2-4-6-13/h2-10H,11H2,1H3,(H,16,17)",COc1ccc(CN=C(O)c2ccccc2)cc1,517.949682051087,False,['41882-10-4'],0.1821337183,0,,,
POOL-00038222,"InChI=1S/C15H15NO2/c1-2-18-14-11-7-6-10-13(14)16-15(17)12-8-4-3-5-9-12/h3-11H,2H2,1H3,(H,16,17)",CCOc1ccccc1N=C(O)c1ccccc1,535.199682051087,False,['21118-80-9'],0.1973917005,0,,,
POOL-00021052,"InChI=1S/C14H15NO2/c1-10-8-11(2)15-13(10)14(16)17-9-12-6-4-3-5-7-12/h3-8,15H,9H2,1-2H3",Cc1cc(C)c(C(=O)OCc2ccccc2)[nH]1,514.2734092194171,False,['40236-19-9'],0.1493513955,0,,,
POOL-00034031,"InChI=1S/C14H15NO2S/c1-11-8-9-14(12(2)10-11)15-18(16,17)13-6-4-3-5-7-13/h3-10,15H,1-2H3",Cc1ccc(NS(=O)(=O)c2ccccc2)c(C)c1,648.7491386499589,False,['25116-90-9'],0.1724915745,0,,,
POOL-00029488,"InChI=1S/C15H17NOS/c1-11-5-6-13(10-12(11)2)16-8-7-14(17)15-4-3-9-18-15/h3-6,9-10,16H,7-8H2,1-2H3",Cc1ccc(NCCC(=O)c2cccs2)cc1C,531.431559370187,False,['338988-74-2'],0.1975594659,0,,,
