ligand_label,ligand_identifier,ligand_smiles,complexity_BertzCT,is_taught,cas_number,rank_average_pred_mu_top2%mu,cluster,sigma-price,sigma-avail,sigma-url,fisher-price,fisher-avail,fisher-url
POOL-00007939,"InChI=1S/C10H13BrO/c1-8-4-3-5-10(9(8)2)12-7-6-11/h3-5H,6-7H2,1-2H3",Cc1cccc(OCCBr)c1C,258.01553398962693,False,['37136-95-1'],0.9865286345,0,$134.00/250 MG,We apologize but fulfillment and delivery of this product is delayed. We are working to minimize these delays as quickly as possible.,https://www.sigmaaldrich.com/US/en/product/aldrich/ph010193,,,
POOL-00037917,"InChI=1S/C12H16O/c1-10(2)8-12(13)9-11-6-4-3-5-7-11/h3-7,10H,8-9H2,1-2H3",CC(C)CC(=O)Cc1ccccc1,261.71278259574564,False,['5349-62-2'],0.9918863951,0,$59.80/nan,"Estimated to ship on April 21, 2023
From SHEBOYGAN FALLS",https://www.sigmaaldrich.com/US/en/product/aldrich/w274003,,,
POOL-00027561,"InChI=1S/C10H13BrO/c1-9-5-2-3-6-10(9)12-8-4-7-11/h2-3,5-6H,4,7-8H2,1H3",Cc1ccccc1OCCCBr,235.03511805929529,False,['50912-60-2'],0.9857811659,0,$134.00/150 MG,We apologize but fulfillment and delivery of this product is delayed. We are working to minimize these delays as quickly as possible.,https://www.sigmaaldrich.com/US/en/product/aldrich/ph000372,,,
POOL-00037571,"InChI=1S/C12H16O/c1-10(2)12(13)9-8-11-6-4-3-5-7-11/h3-7,10H,8-9H2,1-2H3",CC(C)C(=O)CCc1ccccc1,261.7127825957457,False,['40463-09-0'],0.9898681439,0,$134.00/5 MG,We apologize but fulfillment and delivery of this product is delayed. We are working to minimize these delays as quickly as possible.,https://www.sigmaaldrich.com/US/en/product/aldrich/ph000319,,,
POOL-00013941,"InChI=1S/C11H15BrO/c1-9-5-3-6-11(10(9)2)13-8-4-7-12/h3,5-6H,4,7-8H2,1-2H3",Cc1cccc(OCCCBr)c1C,270.7928308075413,False,['864389-77-5'],0.9855153428,0,$134.00/1 MG,We apologize but fulfillment and delivery of this product is delayed. We are working to minimize these delays as quickly as possible.,https://www.sigmaaldrich.com/US/en/product/aldrich/ph000251,,,
POOL-00004421,"InChI=1S/C9H11BrO/c1-11-7-9-4-2-3-8(5-9)6-10/h2-5H,6-7H2,1H3",COCc1cccc(CBr)c1,222.5576473355494,False,['125604-03-7'],0.9832109235,0,$348.40/100 mg,Ships in 7 days - from Aldrich Partner.,https://www.sigmaaldrich.com/US/en/product/enamine/ena375227547?context=bbe,,,
POOL-00038295,"InChI=1S/C12H16O/c1-3-7-12(10(2)13)11-8-5-4-6-9-11/h4-6,8-9,12H,3,7H2,1-2H3",CCCC(C(C)=O)c1ccccc1,263.7127825957457,False,['6306-30-5'],0.9913079168,0,$81.60/nan,We apologize but fulfillment and delivery of this product is delayed. We are working to minimize these delays as quickly as possible.,https://www.sigmaaldrich.com/US/en/product/aldrich/ph001357,,,
POOL-00033189,"InChI=1S/C13H18O/c1-11(2)10-13(14)9-8-12-6-4-3-5-7-12/h3-7,11H,8-10H2,1-2H3",CC(C)CC(=O)CCc1ccccc1,274.54685400307824,False,['78987-82-3'],0.9909145985,0,$134.00/nan,We apologize but fulfillment and delivery of this product is delayed. We are working to minimize these delays as quickly as possible.,https://www.sigmaaldrich.com/US/en/product/aldrich/s411000,,,
POOL-00016990,"InChI=1S/C9H11BrO/c1-11-7-6-8-4-2-3-5-9(8)10/h2-5H,6-7H2,1H3",COCCc1ccccc1Br,222.5576473355494,False,['39767-89-0'],0.98316643,0,$28.60/nan,We apologize but fulfillment and delivery of this product is delayed. We are working to minimize these delays as quickly as possible.,https://www.sigmaaldrich.com/US/en/product/aldrich/s809608,,,
POOL-00030691,"InChI=1S/C12H16O2/c1-3-7-12(13)14-10(2)11-8-5-4-6-9-11/h4-6,8-10H,3,7H2,1-2H3",CCCC(=O)OC(C)c1ccccc1,279.6330203302586,False,['3460-44-4'],0.9791411928,0,,,,,,
POOL-00007482,"InChI=1S/C9H11BrO/c1-7(2)11-9-6-4-3-5-8(9)10/h3-7H,1-2H3",CC(C)Oc1ccccc1Br,232.75927179154445,False,['701-07-5'],0.9845729554,0,$16.50/1 g,Ships in 10 days - from Aldrich Partner.,https://www.sigmaaldrich.com/US/en/product/synthonixcorporation/sy3h3d677e71?context=bbe,"$65.40
Each/5 g",Check Availability,https://www.fishersci.com/shop/products/1-bromo-2-isopropoxybenzene-97-thermo-scientific/AAB2568806#701-07-5
POOL-00016035,"InChI=1S/C13H20O/c1-5-6-12(14)11-7-8-13(3,4)9-10(11)2/h5-6,9,11H,7-8H2,1-4H3",CC=CC(=O)C1CCC(C)(C)C=C1C,281.6106883094834,False,['33673-71-1'],0.9891978985,0,,,,,,
POOL-00042178,"InChI=1S/C12H16O2/c1-10(2)8-12(13)14-9-11-6-4-3-5-7-11/h3-7,10H,8-9H2,1-2H3",CC(C)CC(=O)OCc1ccccc1,277.63302033025855,False,['103-38-8'],0.9811754892,0,,,,,,
POOL-00016690,"InChI=1S/C12H16O2/c1-4-12(3,14-10(2)13)11-8-6-5-7-9-11/h5-9H,4H2,1-3H3",CCC(C)(OC(C)=O)c1ccccc1,305.3575848525983,False,['10042-36-1'],0.9848559781,0,$28.60/50MG,We apologize but fulfillment and delivery of this product is delayed. We are working to minimize these delays as quickly as possible.,https://www.sigmaaldrich.com/US/en/product/aldrich/s877069,,,
POOL-00012531,"InChI=1S/C11H15BrO/c1-7(2)9-6-10(12)8(3)5-11(9)13-4/h5-7H,1-4H3",COc1cc(C)c(Br)cc1C(C)C,305.20374298610886,False,['26821-99-8'],0.9902024419,0,,,,,,
POOL-00001736,"InChI=1S/C10H11BrO/c11-6-10(7-12-8-10)9-4-2-1-3-5-9/h1-5H,6-8H2",BrCC1(c2ccccc2)COC1,248.29113133649764,False,['1416323-09-5'],0.9876547965,0,,,,,,
