ligand_label,ligand_identifier,ligand_smiles,complexity_BertzCT,is_taught,cas_number,rank_average_pred_mu_top2%mu,cluster,sigma-price,sigma-avail,sigma-url,fisher-price,fisher-avail,fisher-url
POOL-00036686,"InChI=1S/C15H12O4/c16-10-3-1-9(2-4-10)14-8-13(18)12-6-5-11(17)7-15(12)19-14/h1-7,14,16-17H,8H2",O=C1CC(c2ccc(O)cc2)Oc2cc(O)ccc21,631.0938758768983,False,"['69097-97-8', '41680-09-5']",1.8040676011,0,$416.00/20 MG,"Estimated to ship on May 04, 2023
From MILWAUKEE",https://www.sigmaaldrich.com/US/en/product/supelco/phl89543,,,
POOL-00018775,"InChI=1S/C15H13NO3/c17-14-12(15(18)19)8-9-16(14)13-7-3-5-10-4-1-2-6-11(10)13/h1-7,12H,8-9H2,(H,18,19)",O=C(O)C1CCN(c2cccc3ccccc23)C1=O,659.9932031484939,False,['618070-36-3'],1.8057113239,0,,,,,,
POOL-00025712,"InChI=1S/C15H13NO3/c17-14-8-11(15(18)19)9-16(14)13-7-3-5-10-4-1-2-6-12(10)13/h1-7,11H,8-9H2,(H,18,19)",O=C(O)C1CC(=O)N(c2cccc3ccccc23)C1,659.9932031484939,False,['340319-91-7'],1.8163792317,0,$93.60/1 g,Ships in 10 days - from Aldrich Partner.,https://www.sigmaaldrich.com/US/en/product/matrixscientific/mat047026715?context=bbe,,,
POOL-00039526,"InChI=1S/C15H8O4/c16-13-9-3-1-2-4-10(9)14(17)12-7-8(15(18)19)5-6-11(12)13/h1-7H,(H,18,19)",O=C(O)c1ccc2c(c1)C(=O)c1ccccc1C2=O,743.560835967895,False,['117-78-2'],1.8021837461,0,$80.90/1 G,"Available to ship on April 12, 2023
Details...",https://www.sigmaaldrich.com/US/en/product/aldrich/252727,"$56.20
Each/1 g",Check Availability,https://www.fishersci.com/shop/products/anthraquinone-2-carboxylic-acid-98-thermo-scientific/AAH6092903#117-78-2
POOL-00037542,"InChI=1S/C14H11NO4/c1-8(16)15-11-4-2-9(17)6-13(11)19-14-7-10(18)3-5-12(14)15/h2-7,17-18H,1H3",CC(=O)N1c2ccc(O)cc2Oc2cc(O)ccc21,629.6413363750984,False,['119171-73-2'],1.8090799137,0,,,,,,
POOL-00037675,"InChI=1S/C14H9NO3/c16-10-5-3-4-9(8-10)15-13(17)11-6-1-2-7-12(11)14(15)18/h1-8,16H",O=C1c2ccccc2C(=O)N1c1cccc(O)c1,628.5936095054087,False,['59479-66-2'],1.8084899287,0,$28.60/nan,We apologize but fulfillment and delivery of this product is delayed. We are working to minimize these delays as quickly as possible.,https://www.sigmaaldrich.com/US/en/product/aldrich/s50440,,,
POOL-00039637,"InChI=1S/C15H12O4/c16-10-6-11(17)15-12(18)8-13(19-14(15)7-10)9-4-2-1-3-5-9/h1-7,13,16-17H,8H2",O=C1CC(c2ccccc2)Oc2cc(O)cc(O)c21,634.0938758768984,False,['68745-38-0'],1.8173998259,0,$274.00/10 MG,"Only 4 left in stock 
Details...",https://www.sigmaaldrich.com/US/en/product/sial/phl80061,,,
POOL-00031566,"InChI=1S/C14H9NO3/c16-14(17)10-6-7-12-11(8-10)13(18-15-12)9-4-2-1-3-5-9/h1-8H,(H,16,17)",O=C(O)c1ccc2noc(-c3ccccc3)c2c1,716.2421254920201,False,['39695-71-1'],1.7853711746,0,$87.50/250 mg,Ships in 14 days - from Aldrich Partner.,https://www.sigmaaldrich.com/US/en/product/lifechemicalsinc/lif068170302?context=bbe,,,
POOL-00037528,"InChI=1S/C15H10O3/c1-8-6-11-13(12(16)7-8)15(18)10-5-3-2-4-9(10)14(11)17/h2-7,16H,1H3",Cc1cc(O)c2c(c1)C(=O)c1ccccc1C2=O,698.8800564412287,False,['2549-78-2'],1.8207865892,0,,,,,,
POOL-00002893,"InChI=1S/C12H8O5/c1-5-4-7(13)8-9(14)10(15)12-6(2-3-16-12)11(8)17-5/h2-4,14-15H,1H3",Cc1cc(=O)c2c(O)c(O)c3occc3c2o1,793.8527669783189,False,['4483-81-2'],1.757454368,0,$134.00/25 MG,We apologize but fulfillment and delivery of this product is delayed. We are working to minimize these delays as quickly as possible.,https://www.sigmaaldrich.com/US/en/product/aldrich/ph009355,,,
POOL-00042538,"InChI=1S/C15H10O4/c1-7-5-9-13(11(17)6-7)15(19)12-8(14(9)18)3-2-4-10(12)16/h2-6,16-17H,1H3",Cc1cc(O)c2c(c1)C(=O)c1cccc(O)c1C2=O,744.0510609635681,False,['481-74-3'],1.8086504813,0,,,,"$117.40
Each of 1/100 mg",Check Availability,
POOL-00037643,"InChI=1S/C15H13NO3/c17-14(10-4-2-1-3-5-10)13-7-6-12-11(15(18)19)8-9-16(12)13/h1-7,11H,8-9H2,(H,18,19)",O=C(c1ccccc1)c1ccc2n1CCC2C(=O)O,642.6652275716834,False,"['74103-06-3', '66635-83-4']",1.8113473445,0,,,,,,
POOL-00032939,"InChI=1S/C14H9NO3/c16-10-7-5-9(6-8-10)15-13(17)11-3-1-2-4-12(11)14(15)18/h1-8,16H",O=C1c2ccccc2C(=O)N1c1ccc(O)cc1,611.3436095054087,False,['7154-85-0'],1.8084750228,0,$106.00/5MG,We apologize but fulfillment and delivery of this product is delayed. We are working to minimize these delays as quickly as possible.,https://www.sigmaaldrich.com/US/en/product/aldrich/s551759,,,
POOL-00041949,"InChI=1S/C14H8O4/c15-9-5-6-10(16)12-11(9)13(17)7-3-1-2-4-8(7)14(12)18/h1-6,15-16H",O=C1c2ccccc2C(=O)c2c(O)ccc(O)c21,640.9353339687133,False,"['81-64-1', '103220-12-8']",1.796898038,0,,,,"$159.60
Each/1000 g",Check Availability,https://www.fishersci.com/shop/products/1-4-dihydroxyanthraquinone-95-thermo-scientific/AAA110100B#81-64-1
