ligand_label,ligand_identifier,ligand_smiles,complexity_BertzCT,is_taught,cas_number,rank_average_pred_mu_top2%mu,cluster,sigma-price,sigma-avail,sigma-url
POOL-00036229,"InChI=1S/C10H8N2O/c11-6-5-8-7-3-1-2-4-9(7)12-10(8)13/h1-4,8H,5H2,(H,12,13)",N#CCC1C(O)=Nc2ccccc21,403.6309271773191,False,['54744-66-0'],1.8567826137,0,,,
POOL-00007388,"InChI=1S/C9H8N2O2/c1-11-8-4-6(9(12)13)2-3-7(8)5-10-11/h2-5H,1H3,(H,12,13)",Cn1ncc2ccc(C(=O)O)cc21,473.4194793183052,False,['1031417-77-2'],1.8572154556,0,,,
POOL-00033711,"InChI=1S/C9H8N2O2/c1-13-9(12)6-2-3-7-5-10-11-8(7)4-6/h2-5H,1H3,(H,10,11)",COC(=O)c1ccc2c[nH]nc2c1,447.5663570551784,False,['170487-40-8'],1.8429570302,0,,,
POOL-00008782,"InChI=1S/C9H8N2O2/c1-13-9(12)7-4-2-3-6-5-10-11-8(6)7/h2-5H,1H3,(H,10,11)",COC(=O)c1cccc2c[nH]nc12,447.5663570551784,False,"['755752-82-0', '952479-65-1']",1.8568947654,0,$172.00/1 G,We apologize but fulfillment and delivery of this product is delayed. We are working to minimize these delays as quickly as possible.,https://www.sigmaaldrich.com/US/en/product/aldrich/syx00166
POOL-00007220,"InChI=1S/C9H8N2O2/c1-13-9(12)7-5-11-8-6(7)3-2-4-10-8/h2-5H,1H3,(H,10,11)",COC(=O)c1c[nH]c2ncccc12,447.5663570551784,False,['808137-94-2'],1.8470890889,0,,,
POOL-00031666,"InChI=1S/C9H8N2O2/c1-13-9(12)8-6-4-2-3-5-7(6)10-11-8/h2-5H,1H3,(H,10,11)",COC(=O)c1n[nH]c2ccccc12,447.5663570551784,False,"['43120-28-1', '863637-26-7']",1.852423879,0,,,
POOL-00032089,"InChI=1S/C9H8N2O2/c1-6(12)8-9(13)10-7-4-2-3-5-11(7)8/h2-5,13H,1H3",CC(=O)c1c(O)nc2ccccn12,473.41947931830526,False,['329228-22-0'],1.8409476825,0,,,
POOL-00014101,"InChI=1S/C9H8N2O2/c1-13-9(12)6-3-2-4-8-7(6)5-10-11-8/h2-5H,1H3,(H,10,11)",COC(=O)c1cccc2[nH]ncc12,447.5663570551784,False,['192945-49-6'],1.8569274305,0,"$97.50
$29.25/1 G","Available to ship on May 26, 2023
Details...",https://www.sigmaaldrich.com/US/en/product/aldrich/729744
POOL-00009757,"InChI=1S/C9H8N2O/c1-6(12)9-7-4-2-3-5-8(7)10-11-9/h2-5H,1H3,(H,10,11)",CC(=O)c1n[nH]c2ccccc12,430.7760853370335,False,['4498-72-0'],1.8234999523,0,,,
POOL-00013425,"InChI=1S/C9H8N2O2/c1-13-6-2-3-8-7(4-6)9(5-12)11-10-8/h2-5H,1H3,(H,10,11)",COc1ccc2[nH]nc(C=O)c2c1,447.8114695530149,False,['169789-37-1'],1.8648319236,0,,,
POOL-00032951,"InChI=1S/C10H8N2O/c11-7-12-9-4-2-1-3-8(9)5-6-10(12)13/h1-6,10,13H",N#CN1c2ccccc2C=CC1O,392.1563736409662,False,['941-87-7'],1.8315038806,0,,,
POOL-00035556,"InChI=1S/C9H8N2O2/c1-6-8(9(12)13)11-5-3-2-4-7(11)10-6/h2-5H,1H3,(H,12,13)",Cc1nc2ccccn2c1C(=O)O,473.4194793183052,False,['21801-79-6'],1.8437529191,0,,,
POOL-00003873,"InChI=1S/C9H10N2O/c1-6-5-8(12-2)11-7-3-4-10-9(6)7/h3-5,10H,1-2H3",COc1cc(C)c2[nH]ccc2n1,405.8207819124433,False,['171780-79-3'],1.8375879893,0,,,
POOL-00009573,"InChI=1S/C8H7BrN2O/c1-12-8-3-7-5(2-6(8)9)4-10-11-7/h2-4H,1H3,(H,10,11)",COc1cc2[nH]ncc2cc1Br,410.3501069254241,False,['152626-78-3'],1.8603480372,0,$512.00/1 G,We apologize but fulfillment and delivery of this product is delayed. We are working to minimize these delays as quickly as possible.,https://www.sigmaaldrich.com/US/en/product/aldrich/syx00190
POOL-00000274,"InChI=1S/C8H5BrN2O/c9-5-1-2-6-7(3-5)10-4-11-8(6)12/h1-4H,(H,10,11,12)",Oc1ncnc2cc(Br)ccc12,430.327416202102,False,['194851-16-6'],1.8303404618,0,,,
