ligand_label,ligand_identifier,ligand_smiles,complexity_BertzCT,is_taught,cas_number,rank_average_pred_std_top2%mu,cluster,sigma-price,sigma-avail,sigma-url
POOL-00022213,"InChI=1S/C19H22FNO/c1-3-14(2)15-6-10-18(11-7-15)21-13-12-19(22)16-4-8-17(20)9-5-16/h4-11,14,21H,3,12-13H2,1-2H3",CCC(C)c1ccc(NCCC(=O)c2ccc(F)cc2)cc1,604.3372393066671,False,['882748-27-8'],0.2996140362,0,$28.60/10MG,We apologize but fulfillment and delivery of this product is delayed. We are working to minimize these delays as quickly as possible.,https://www.sigmaaldrich.com/US/en/product/aldrich/l171050
POOL-00018663,"InChI=1S/C17H18BrNO2/c1-2-21-16-8-6-15(7-9-16)19-11-10-17(20)13-4-3-5-14(18)12-13/h3-9,12,19H,2,10-11H2,1H3",CCOc1ccc(NCCC(=O)c2cccc(Br)c2)cc1,595.9940326769417,False,['883794-18-1'],0.2761260377,0,,,
POOL-00033345,"InChI=1S/C17H19NO2S/c1-3-20-17(19)16(13-7-5-4-6-8-13)18-14-9-11-15(21-2)12-10-14/h4-12,16,18H,3H2,1-2H3",CCOC(=O)C(Nc1ccc(SC)cc1)c1ccccc1,569.1037963233429,False,['200404-08-6'],0.1957791419,0,,,
POOL-00021500,"InChI=1S/C20H25NO/c1-4-16(3)17-9-11-19(12-10-17)21-14-13-20(22)18-7-5-15(2)6-8-18/h5-12,16,21H,4,13-14H2,1-3H3",CCC(C)c1ccc(NCCC(=O)c2ccc(C)cc2)cc1,598.609300164348,False,['882748-29-0'],0.409513043,0,$28.60/10MG,We apologize but fulfillment and delivery of this product is delayed. We are working to minimize these delays as quickly as possible.,https://www.sigmaaldrich.com/US/en/product/aldrich/l171077
POOL-00018001,"InChI=1S/C17H21NOS/c1-3-13(2)14-6-8-15(9-7-14)18-11-10-16(19)17-5-4-12-20-17/h4-9,12-13,18H,3,10-11H2,1-2H3",CCC(C)c1ccc(NCCC(=O)c2cccs2)cc1,530.6274641379198,False,['892154-93-7'],0.325940452,0,$28.60/nan,We apologize but fulfillment and delivery of this product is delayed. We are working to minimize these delays as quickly as possible.,https://www.sigmaaldrich.com/US/en/product/aldrich/l171093
POOL-00013664,"InChI=1S/C19H25NO/c1-16(2)19(15-21)20(13-17-9-5-3-6-10-17)14-18-11-7-4-8-12-18/h3-12,16,19,21H,13-15H2,1-2H3",CC(C)C(CO)N(Cc1ccccc1)Cc1ccccc1,468.1042672142928,False,['123808-73-1'],0.2145166448,0,,,
POOL-00022693,"InChI=1S/C19H23NO2/c1-3-5-6-15-7-11-17(12-8-15)20-19(21)16-9-13-18(14-10-16)22-4-2/h7-14H,3-6H2,1-2H3,(H,20,21)",CCCCc1ccc(N=C(O)c2ccc(OCC)cc2)cc1,600.3372393066671,False,['62113-40-0'],0.3805017865,0,$28.60/50MG,We apologize but fulfillment and delivery of this product is delayed. We are working to minimize these delays as quickly as possible.,https://www.sigmaaldrich.com/US/en/product/aldrich/l447897
POOL-00022191,"InChI=1S/C19H22BrNO/c1-3-14(2)15-6-10-18(11-7-15)21-13-12-19(22)16-4-8-17(20)9-5-16/h4-11,14,21H,3,12-13H2,1-2H3",CCC(C)c1ccc(NCCC(=O)c2ccc(Br)cc2)cc1,604.3372393066671,False,['882748-25-6'],0.2986054731,0,$28.60/10MG,We apologize but fulfillment and delivery of this product is delayed. We are working to minimize these delays as quickly as possible.,https://www.sigmaaldrich.com/US/en/product/aldrich/l171034
POOL-00018073,"InChI=1S/C18H23NO2/c1-19(2)13-17(20)14-21-18(15-9-5-3-6-10-15)16-11-7-4-8-12-16/h3-12,17-18,20H,13-14H2,1-2H3",CN(C)CC(O)COC(c1ccccc1)c1ccccc1,473.7562399437592,False,['6668-74-2'],0.2793696082,0,,,
POOL-00028265,"InChI=1S/C17H19NO3/c19-12-16(11-14-7-3-1-4-8-14)18-17(20)21-13-15-9-5-2-6-10-15/h1-10,16,19H,11-13H2,(H,18,20)",OCC(Cc1ccccc1)N=C(O)OCc1ccccc1,554.7626081333631,False,['73747-40-7'],0.1837177753,0,,,
POOL-00043682,"InChI=1S/C17H23NO2/c1-5-17(4,12-8-9-13(2)3)20-16(19)14-10-6-7-11-15(14)18/h5-7,9-11H,1,8,12,18H2,2-4H3",C=CC(C)(CCC=C(C)C)OC(=O)c1ccccc1N,515.4762185234847,False,['7149-26-0'],0.2469842312,0,,,
POOL-00034502,"InChI=1S/C16H17NO2/c18-16(13-19-15-9-5-2-6-10-15)17-12-11-14-7-3-1-4-8-14/h1-10H,11-13H2,(H,17,18)",OC(COc1ccccc1)=NCCc1ccccc1,508.78684684679496,False,['18861-16-0'],0.2290467326,0,$28.60/25MG,We apologize but fulfillment and delivery of this product is delayed. We are working to minimize these delays as quickly as possible.,https://www.sigmaaldrich.com/US/en/product/aldrich/r344796
POOL-00023774,"InChI=1S/C19H24N2O/c1-3-13-21(14-4-2)18-12-8-11-17(15-18)20-19(22)16-9-6-5-7-10-16/h5-12,15H,3-4,13-14H2,1-2H3,(H,20,22)",CCCN(CCC)c1cccc(N=C(O)c2ccccc2)c1,601.842065220776,False,['71673-07-9'],0.3916817877,0,$28.60/nan,We apologize but fulfillment and delivery of this product is delayed. We are working to minimize these delays as quickly as possible.,https://www.sigmaaldrich.com/US/en/product/aldrich/s908886
POOL-00029528,"InChI=1S/C15H17NO2S/c1-2-18-13-7-5-12(6-8-13)16-10-9-14(17)15-4-3-11-19-15/h3-8,11,16H,2,9-10H2,1H3",CCOc1ccc(NCCC(=O)c2cccs2)cc1,505.4516611504316,False,['93523-19-4'],0.309860102,0,$28.60/nan,We apologize but fulfillment and delivery of this product is delayed. We are working to minimize these delays as quickly as possible.,https://www.sigmaaldrich.com/US/en/product/aldrich/l232467
