ligand_label,ligand_identifier,ligand_smiles,complexity_BertzCT,is_taught,cas_number,rank_average_pred_mu_top2%mu,cluster,fisher-price,fisher-avail,fisher-url,sigma-price,sigma-avail,sigma-url
POOL-00043193,"InChI=1S/C11H14O2/c1-2-13-11(12)9-8-10-6-4-3-5-7-10/h3-7H,2,8-9H2,1H3",CCOC(=O)CCc1ccccc1,254.05260581186823,False,['2021-28-5'],1.0494112981,0,"$723.00
Each/1000g",Check Availability,https://www.fishersci.com/shop/products/ethyl-3-phenylpropionate-98-thermo-scientific/AAA130550B#2021-28-5,$59.80/nan,"Estimated to ship on November 07, 2022
Details...",https://www.sigmaaldrich.com/US/en/product/aldrich/w245518
POOL-00038732,"InChI=1S/C12H16O2/c1-2-3-9-14-12(13)10-11-7-5-4-6-8-11/h4-8H,2-3,9-10H2,1H3",CCCCOC(=O)Cc1ccccc1,266.910035168718,False,['122-43-0'],1.0604081671,0,,,,$59.80/nan,"Only 1 left in stock 
Details...",https://www.sigmaaldrich.com/US/en/product/aldrich/w220906
POOL-00038466,"InChI=1S/C11H14O2/c1-10(12)7-8-13-9-11-5-3-2-4-6-11/h2-6H,7-9H2,1H3",CC(=O)CCOCc1ccccc1,254.05260581186823,False,['6278-91-7'],1.0531579819,0,,,,$81.40/2.5 g,Ships in 14 days - from Aldrich Partner.,https://www.sigmaaldrich.com/US/en/product/chemscenellc/ciah98abf6f0?context=bbe
POOL-00002082,"InChI=1S/C12H16O2/c1-10(9-14-11(2)13)8-12-6-4-3-5-7-12/h3-7,10H,8-9H2,1-2H3",CC(=O)OCC(C)Cc1ccccc1,279.6330203302586,False,['79211-56-6'],1.0479250403,0,,,,,,
POOL-00041054,"InChI=1S/C11H14O3/c1-11(2,3)14-10(12)13-9-7-5-4-6-8-9/h4-8H,1-3H3",CC(C)(C)OC(=O)Oc1ccccc1,298.05872454975145,False,['6627-89-0'],1.0420950692,0,"$62.75
Each/25g",Check Availability,https://www.fishersci.com/shop/products/tert-butyl-phenyl-carbonate-98-thermo-scientific/AC154390250#6627-89-0,$70.00/25 G,"Only 2 left in stock 
Details...",https://www.sigmaaldrich.com/US/en/product/aldrich/124303
POOL-00033590,"InChI=1S/C11H14O2/c1-13-11(12)9-5-8-10-6-3-2-4-7-10/h2-4,6-7H,5,8-9H2,1H3",COC(=O)CCCc1ccccc1,254.05260581186823,False,['2046-17-5'],1.0543543969,0,,,,$172.00/nan,Usually ships in 2 business days. ,https://www.sigmaaldrich.com/US/en/product/aldrich/ph010421
POOL-00036143,"InChI=1S/C10H11BrO2/c1-2-13-10(12)9(11)8-6-4-3-5-7-8/h3-7,9H,2H2,1H3",CCOC(=O)C(Br)c1ccccc1,271.51305165552594,False,"['2882-19-1', '2216-90-2']",1.0451397808,0,"$43.50
Each/5g",Check Availability,https://www.fishersci.com/shop/products/ethyl-alpha-bromophenylacetate-97-thermo-scientific/AC438060050#2882-19-1,$206.00/25 G,"Estimated to ship on November 07, 2022
Details...",https://www.sigmaaldrich.com/US/en/product/aldrich/554065
POOL-00042177,"InChI=1S/C11H14O2/c1-2-6-11(12)13-9-10-7-4-3-5-8-10/h3-5,7-8H,2,6,9H2,1H3",CCCC(=O)OCc1ccccc1,254.05260581186823,False,['103-37-7'],1.0533719281,0,"$23.25
Each/50g",Check Availability,https://www.fishersci.com/shop/products/benzyl-butyrate-98-thermo-scientific-2/AAB2424118#103-37-7,$54.60/nan,"Estimated to ship on November 07, 2022
Details...",https://www.sigmaaldrich.com/US/en/product/aldrich/w214000
POOL-00014670,"InChI=1S/C10H11BrO2/c1-2-13-10(12)7-8-3-5-9(11)6-4-8/h3-6H,2,7H2,1H3",CCOC(=O)Cc1ccc(Br)cc1,279.48114931490306,False,['14062-25-0'],1.0457442702,0,"$43.00
Each/5g",Check Availability,https://www.fishersci.com/shop/products/ethyl-4-bromophenylacetate-98-thermo-scientific/AAB2216506#14062-25-0,$63.50/5 G,"Estimated to ship on November 07, 2022
Details...",https://www.sigmaaldrich.com/US/en/product/aldrich/631353
POOL-00039230,"InChI=1S/C11H14O3/c1-3-11(12)14-8-9-4-6-10(13-2)7-5-9/h4-7H,3,8H2,1-2H3",CCC(=O)OCc1ccc(OC)cc1,289.90588306124454,False,['7549-33-9'],1.0518552533,0,,,,$59.80/nan,"Only 6 left in stock 
Details...",https://www.sigmaaldrich.com/US/en/product/aldrich/w210218
POOL-00039319,"InChI=1S/C11H14O2/c1-9(2)13-11(12)8-10-6-4-3-5-7-10/h3-7,9H,8H2,1-2H3",CC(C)OC(=O)Cc1ccccc1,264.6785847993893,False,['4861-85-2'],1.0548932785,0,,,,,,
POOL-00039248,"InChI=1S/C10H14O3/c1-8(2)6-10(11)13-7-9-4-3-5-12-9/h3-5,8H,6-7H2,1-2H3",CC(C)CC(=O)OCc1ccco1,249.14339143351376,False,['13678-60-9'],1.0462317667,0,,,,,,
POOL-00009377,"InChI=1S/C11H16O2/c1-9-5-4-6-10(7-9)8-11(12-2)13-3/h4-7,11H,8H2,1-3H3",COC(Cc1cccc(C)c1)OC,254.0221209628341,False,['134769-80-5'],1.0626736934,0,,,,,,
POOL-00032881,"InChI=1S/C12H14O2/c1-3-10(2)12(13)14-9-11-7-5-4-6-8-11/h3-8H,9H2,1-2H3",CC=C(C)C(=O)OCc1ccccc1,325.4347828061791,False,['67674-41-3'],1.057041497,0,,,,,,
POOL-00035924,"InChI=1S/C11H14O2/c1-3-9(2)13-11(12)10-7-5-4-6-8-10/h4-9H,3H2,1-2H3",CCC(C)OC(=O)c1ccccc1,266.67858479938934,False,['3306-36-3'],1.0625368816,0,,,,,,
POOL-00042175,"InChI=1S/C11H14O2/c1-9(2)11(12)13-8-10-6-4-3-5-7-10/h3-7,9H,8H2,1-2H3",CC(C)C(=O)OCc1ccccc1,264.67858479938934,False,['103-28-6'],1.0531529618,0,"$50.00
Each/50g",Check Availability,https://www.fishersci.com/shop/products/benzyl-isobutyrate-98-thermo-scientific/AAL0593018#103-28-6,$59.80/nan,"Estimated to ship on November 07, 2022
Details...",https://www.sigmaaldrich.com/US/en/product/aldrich/w214108
POOL-00038945,"InChI=1S/C12H14O3/c1-9(13)8-12(14)15-10(2)11-6-4-3-5-7-11/h3-7,10H,8H2,1-2H3",CC(=O)CC(=O)OC(C)c1ccccc1,343.144681354708,False,['40552-84-9'],1.0400181975,0,,,,$106.00/nan,Usually ships in 2 business days. ,https://www.sigmaaldrich.com/US/en/product/aldrich/s591718
POOL-00009376,"InChI=1S/C11H16O2/c1-9-6-4-5-7-10(9)8-11(12-2)13-3/h4-7,11H,8H2,1-3H3",COC(Cc1ccccc1C)OC,254.0221209628341,False,['134769-79-2'],1.0630455946,0,,,,$130.00/250 mg,Ships in 7 days - from Aldrich Partner.,https://www.sigmaaldrich.com/US/en/product/combiblocksinc/comh97e33e01?context=bbe
POOL-00038739,"InChI=1S/C11H14O2/c1-10(12)13-9-5-8-11-6-3-2-4-7-11/h2-4,6-7H,5,8-9H2,1H3",CC(=O)OCCCc1ccccc1,254.05260581186823,False,['122-72-5'],1.0532445079,0,"$26.00
Each/10g",Check Availability,https://www.fishersci.com/shop/products/3-phenyl-1-propyl-acetate-98-thermo-scientific/AAB2087809#122-72-5,$59.80/nan,"Estimated to ship on November 15, 2022",https://www.sigmaaldrich.com/US/en/product/aldrich/w289000
POOL-00021501,"InChI=1S/C10H13BrO2/c1-10(12-2,13-3)8-6-4-5-7-9(8)11/h4-7H,1-3H3",COC(C)(OC)c1ccccc1Br,282.00816415336243,False,['120254-80-0'],1.0435465495,0,,,,$85.40/5 G,"Estimated to ship on December 05, 2022",https://www.sigmaaldrich.com/US/en/product/aldrich/697974
POOL-00043307,"InChI=1S/C11H12O2/c1-9(2)11(12)13-8-10-6-4-3-5-7-10/h3-7H,1,8H2,2H3",C=C(C)C(=O)OCc1ccccc1,301.12613448326965,False,['2495-37-6'],1.0484481504,0,"$160.00
Each/1000g",Check Availability,https://www.fishersci.com/shop/products/benzyl-methacrylate-98-stab-ca-50-100ppm-4-methoxyphenol-thermo-scientific/AAL108400B#2495-37-6,$78.40/250 ML,"Estimated to ship on November 07, 2022
Details...",https://www.sigmaaldrich.com/US/en/product/aldrich/409448
POOL-00042730,"InChI=1S/C11H14O3/c1-11(2,3)14-13-10(12)9-7-5-4-6-8-9/h4-8H,1-3H3",CC(C)(C)OOC(=O)c1ccccc1,298.05872454975145,False,['614-45-9'],1.0518683402,0,"$148.00
Each/1kg",Check Availability,https://www.fishersci.com/shop/products/tert-butyl-peroxybenzoate-98-thermo-scientific-1/AC170140010#614-45-9,$24.10/5 G,"Estimated to ship on December 01, 2022",https://www.sigmaaldrich.com/US/en/product/aldrich/159042
POOL-00011314,"InChI=1S/C11H18O2/c1-4-13-11(12)10-6-5-9(7-10)8(2)3/h7-9H,4-6H2,1-3H3",CCOC(=O)C1=CC(C(C)C)CC1,216.13016856543945,False,['820236-11-1'],1.0611707201,0,,,,$28.60/5MG,Usually ships in 2 business days. ,https://www.sigmaaldrich.com/US/en/product/aldrich/t218332
POOL-00018634,"InChI=1S/C11H14O3/c1-4-13-11(12)14-10-6-8(2)5-9(3)7-10/h5-7H,4H2,1-3H3",CCOC(=O)Oc1cc(C)cc(C)c1,311.0545707499796,False,['26177-58-2'],1.0565917715,0,,,,,,
POOL-00039299,"InChI=1S/C10H12O2/c1-8(12-9(2)11)10-6-4-3-5-7-10/h3-8H,1-2H3",CC(=O)OC(C)c1ccccc1,253.80090634082453,False,"['93-92-5', '29759-11-3']",1.0446516525,0,"$74.75
Each of 1/nan",Check Availability,,$56.20/nan,We apologize but fulfillment and delivery of this product is delayed. We are working to minimize these delays as quickly as possible.,https://www.sigmaaldrich.com/US/en/product/aldrich/w268402
POOL-00039448,"InChI=1S/C12H14O3/c1-10(2)12(13)15-9-8-14-11-6-4-3-5-7-11/h3-7H,1,8-9H2,2H3",C=C(C)C(=O)OCCOc1ccccc1,329.98028532933694,False,['10595-06-9'],1.0431999585,0,"$77.79
Each/100g",Check Availability,,$81.10/100 ML,"Estimated to ship on November 07, 2022
Details...",https://www.sigmaaldrich.com/US/en/product/aldrich/458791
POOL-00034172,"InChI=1S/C10H11BrO2/c1-8(11)10(12)13-7-9-5-3-2-4-6-9/h2-6,8H,7H2,1H3",CC(Br)C(=O)OCc1ccccc1,269.51305165552594,False,['3017-53-6'],1.0357956519,0,,,,$134.00/25 MG,Usually ships in 2 business days. ,https://www.sigmaaldrich.com/US/en/product/aldrich/ph008809
POOL-00041090,"InChI=1S/C12H14O3/c1-10(13)7-8-12(14)15-9-11-5-3-2-4-6-11/h2-6H,7-9H2,1H3",CC(=O)CCC(=O)OCc1ccccc1,329.98028532933694,False,"['6939-75-9', '71484-87-2']",1.0526930998,0,,,,$172.00/nan,Usually ships in 2 business days. ,https://www.sigmaaldrich.com/US/en/product/aldrich/s643408
