ligand_label,ligand_identifier,ligand_smiles,complexity_BertzCT,is_taught,cas_number,rank_average_pred_mu_top2%mu,cluster,fisher-price,fisher-avail,fisher-url,sigma-price,sigma-avail,sigma-url
POOL-00026167,"InChI=1S/C6H3BrF2O/c7-3-1-4(8)6(9)5(10)2-3/h1-2,10H",Oc1cc(Br)cc(F)c1F,238.91988337222992,False,['186590-26-1'],1.7498874366,0,"$167.00
Each/25g",Check Availability,,$16.50/5 g,Ships in 10 days - from Aldrich Partner.,https://www.sigmaaldrich.com/US/en/product/synthonixcorporation/sy3h3d677285?context=bbe
POOL-00024965,InChI=1S/C6H2BrF3/c7-3-1-2-4(8)6(10)5(3)9/h1-2H,Fc1ccc(Br)c(F)c1F,232.4149958700664,False,['176317-02-5'],1.6308003451,0,"$24.00
Each/1g",Check Availability,https://www.fishersci.com/shop/products/1-bromo-2-3-4-trifluorobenzene-99-thermo-scientific/AAA1851403#176317-02-5,$16.50/5 g,Ships in 10 days - from Aldrich Partner.,https://www.sigmaaldrich.com/US/en/product/synthonixcorporation/sy3h3d6771f8?context=bbe
POOL-00025232,InChI=1S/C6H2BrF3/c7-5-3(8)1-2-4(9)6(5)10/h1-2H,Fc1ccc(F)c(Br)c1F,232.4149958700664,False,"['176793-04-7', '16793-04-7']",1.6307635049,0,"$180.00
Each of 1/10g",Check Availability,https://www.fishersci.com/shop/products/2-bromo-1-3-4-trifluorobenzene-97-thermo-scientific/AAB2020309#176793-04-7,$11.00/1 g,Ships in 7 days - from Aldrich Partner.,https://www.sigmaaldrich.com/US/en/product/ambeedinc/ambh3155fcc5?context=bbe
POOL-00025806,"InChI=1S/C7H5F3/c8-6-3-1-2-5(4-6)7(9)10/h1-4,7H",Fc1cccc(C(F)F)c1,219.84613353582685,False,['26029-52-7'],1.6353067187,0,,,,$68.10/1 G,Usually ships in 2 business days. ,https://www.sigmaaldrich.com/US/en/product/aldrich/mno000026
POOL-00025807,"InChI=1S/C7H5F3/c8-6-4-2-1-3-5(6)7(9)10/h1-4,7H",Fc1ccccc1C(F)F,219.84613353582685,False,['63878-70-6'],1.6331756626,0,"$59.75
Each/1g",Check Availability,https://www.fishersci.com/shop/products/2-difluoromethyl-1-fluorobenzene-97-thermo-scientific/AAH3368803#63878-70-6,$68.10/1 G,Usually ships in 2 business days. ,https://www.sigmaaldrich.com/US/en/product/aldrich/mno000027
POOL-00026082,"InChI=1S/C7H5BrF2/c8-6-3-1-2-5(4-6)7(9)10/h1-4,7H",FC(F)c1cccc(Br)c1,222.6010210379904,False,['29848-59-7'],1.615838153,0,,,,$16.50/1 g,Ships in 10 days - from Aldrich Partner.,https://www.sigmaaldrich.com/US/en/product/synthonixcorporation/sy3h3d6774e1?context=bbe
POOL-00037603,InChI=1S/C7H4BrFO/c8-6-3-5(4-10)1-2-7(6)9/h1-4H,O=Cc1ccc(F)c(Br)c1,259.78306142431705,False,['77771-02-9'],1.6307464157,0,"$44.50
Each/5g",Check Availability,https://www.fishersci.com/shop/products/3-bromo-4-fluorobenzaldehyde-98-thermo-scientific/AAA1519806#77771-02-9,$5.50/1 g,Ships in 7 days - from Aldrich Partner.,https://www.sigmaaldrich.com/US/en/product/ambeedinc/ambh2d6ec29d?context=bbe
POOL-00025802,"InChI=1S/C7H5BrF2/c8-6-4-2-1-3-5(6)7(9)10/h1-4,7H",FC(F)c1ccccc1Br,222.6010210379904,False,['845866-82-2'],1.615569088,0,,,,$32.80/1 G,"Estimated to ship on November 07, 2022
Details...",https://www.sigmaaldrich.com/US/en/product/aldrich/759341
POOL-00041993,"InChI=1S/C7H5BrO2/c8-6-4-2-1-3-5(6)7(9)10/h1-4H,(H,9,10)",O=C(O)c1ccccc1Br,257.53794892648057,False,"['88-65-3', '25638-04-4']",1.7687779175,0,"$38.25
Each/25g",Check Availability,https://www.fishersci.com/shop/products/2-bromobenzoic-acid-97-thermo-scientific/AC160080250#88-65-3,,,
POOL-00013490,"InChI=1S/C6H3BrF2O/c7-3-1-2-4(10)6(9)5(3)8/h1-2,10H",Oc1ccc(Br)c(F)c1F,235.16988337222983,False,['144292-32-0'],1.7411591646,0,"$70.25
Each/1g",Check Availability,https://www.fishersci.com/shop/products/4-bromo-2-3-difluorophenol-97-thermo-scientific/AAH2636903#144292-32-0,$16.50/1 g,Ships in 10 days - from Aldrich Partner.,https://www.sigmaaldrich.com/US/en/product/synthonixcorporation/sy3h3d677283?context=bbe
