ligand_label,ligand_identifier,ligand_smiles,complexity_BertzCT,is_taught,cas_number,rank_average_pred_std,cluster,sigma-price,sigma-avail,sigma-url,fisher-price,fisher-avail,fisher-url
POOL-00021121,"InChI=1S/C14H15NO3/c16-10-5-3-4-9(8-10)15-13(17)11-6-1-2-7-12(11)14(15)18/h1-2,6-7,9-10,16H,3-5,8H2",O=C1c2ccccc2C(=O)N1C1CCCC(O)C1,476.51549746406505,False,['202479-02-5'],0.4497666156,0,$28.60/50MG,Usually ships in 2 business days. ,https://www.sigmaaldrich.com/US/en/product/aldrich/s896624,,,
POOL-00036081,"InChI=1S/C14H13NO2/c16-14(17)13-9-5-1-3-7-11(9)15-12-8-4-2-6-10(12)13/h1,3,5,7H,2,4,6,8H2,(H,16,17)",O=C(O)c1c2c(nc3ccccc13)CCCC2,604.4388535679916,False,['38186-54-8'],0.4221316596,0,$172.00/nan,Usually ships in 2 business days. ,https://www.sigmaaldrich.com/US/en/product/aldrich/s285641,,,
POOL-00003588,"InChI=1S/C14H15NO2/c16-13(17)11-9-14(5-7-15-8-6-14)12-4-2-1-3-10(11)12/h1-4,9,15H,5-8H2,(H,16,17)",O=C(O)C1=CC2(CCNCC2)c2ccccc21,498.69860324152256,False,['936138-15-7'],0.448596823,0,"$1,022.50/250 mg",Ships in 10 days - from Aldrich Partner.,https://www.sigmaaldrich.com/US/en/product/astatechinc/ateh97a4dcf2?context=bbe,,,
POOL-00010252,"InChI=1S/C13H14FNO2/c14-9-1-2-12-10(7-9)11(16)8-13(17-12)3-5-15-6-4-13/h1-2,7,15H,3-6,8H2",O=C1CC2(CCNCC2)Oc2ccc(F)cc21,466.4873085981661,False,"['721958-61-8', '936648-46-3']",0.4540058509,0,,,,,,
POOL-00028395,"InChI=1S/C15H15NO3/c17-14-10-12-4-2-1-3-11(12)9-13(14)15(18)16-5-7-19-8-6-16/h1-4,9-10,17H,5-8H2",O=C(c1cc2ccccc2cc1O)N1CCOCC1,617.8168382051331,False,['3692-67-9'],0.4787250141,0,,,,,,
POOL-00033489,"InChI=1S/C13H11NO2/c15-13(16)10-7-12(8-5-6-8)14-11-4-2-1-3-9(10)11/h1-4,7-8H,5-6H2,(H,15,16)",O=C(O)c1cc(C2CC2)nc2ccccc12,573.1543443266695,False,['119778-64-2'],0.4096874879,0,$180.00/500 mg,Ships in 10 days - from Aldrich Partner.,https://www.sigmaaldrich.com/US/en/product/matrixscientific/mat047026185?context=bbe,,,
POOL-00037643,"InChI=1S/C15H13NO3/c17-14(10-4-2-1-3-5-10)13-7-6-12-11(15(18)19)8-9-16(12)13/h1-7,11H,8-9H2,(H,18,19)",O=C(c1ccccc1)c1ccc2n1CCC2C(=O)O,642.6652275716834,False,"['74103-06-3', '66635-83-4']",0.4430429072,0,,,,,,
POOL-00028014,"InChI=1S/C13H9NO3/c15-11(16)7-14-10-6-2-4-8-3-1-5-9(12(8)10)13(14)17/h1-6H,7H2,(H,15,16)",O=C(O)CN1C(=O)c2cccc3cccc1c23,642.9046754825049,False,['39273-46-6'],0.4471683222,0,,,,,,
POOL-00041819,"InChI=1S/C15H13NO3/c1-9(15(17)18)10-4-5-13-12(7-10)8-11-3-2-6-16-14(11)19-13/h2-7,9H,8H2,1H3,(H,17,18)",CC(C(=O)O)c1ccc2c(c1)Cc1cccnc1O2,651.588988374735,False,['52549-17-4'],0.4484907558,0,$37.90/50 MG,"Estimated to ship on December 01, 2022",https://www.sigmaaldrich.com/US/en/product/sigma/sml1423,,,
POOL-00027763,"InChI=1S/C13H15NO2/c15-11-9-13(5-7-14-8-6-13)16-12-4-2-1-3-10(11)12/h1-4,14H,5-9H2",O=C1CC2(CCNCC2)Oc2ccccc21,421.695700083578,False,['136081-84-0'],0.4294923248,0,$84.50/1 g,Ships in 7 days - from Aldrich Partner.,https://www.sigmaaldrich.com/US/en/product/combiblocksinc/com448645119?context=bbe,,,
POOL-00002029,"InChI=1S/C14H17NO3/c16-13-11-6-12(13)8-15(7-11)14(17)18-9-10-4-2-1-3-5-10/h1-5,11-13,16H,6-9H2",O=C(OCc1ccccc1)N1CC2CC(C1)C2O,421.9250613883177,False,['1434142-26-3'],0.42939394,0,,,,,,
POOL-00016839,"InChI=1S/C15H19NO3/c17-15(18)12-3-6-16(7-4-12)10-11-1-2-14-13(9-11)5-8-19-14/h1-2,9,12H,3-8,10H2,(H,17,18)",O=C(O)C1CCN(Cc2ccc3c(c2)CCO3)CC1,478.2790727317036,False,['887440-34-8'],0.4605406688,0,$235.20/500 mg,Ships in 14 days - from Aldrich Partner.,https://www.sigmaaldrich.com/US/en/product/keyorganicsbionet/key128004561?context=bbe,,,
POOL-00026947,"InChI=1S/C14H19NO3/c1-14(2)11-9-10(16)3-4-12(11)18-13(14)15-5-7-17-8-6-15/h3-4,9,13,16H,5-8H2,1-2H3",CC1(C)c2cc(O)ccc2OC1N1CCOCC1,452.35236798515183,False,['1623-76-3'],0.4533323133,0,$172.00/nan,Usually ships in 2 business days. ,https://www.sigmaaldrich.com/US/en/product/aldrich/s928402,,,
POOL-00034647,"InChI=1S/C14H15NO3/c16-12-8-4-2-6-10(12)14(18)9-5-1-3-7-11(9)15-13(14)17/h1,3,5,7,10,18H,2,4,6,8H2,(H,15,17)",O=C1CCCCC1C1(O)C(O)=Nc2ccccc21,537.595571055158,False,['76325-79-6'],0.4766119126,0,,,,,,
POOL-00032769,"InChI=1S/C13H11NO2/c14-13(16)11-8-5-1-3-7-4-2-6-9(10(7)8)12(11)15/h2,4,6H,1,3,5H2,(H2,14,16)",N=C(O)C1=C2CCCc3cccc(c32)C1=O,555.0510636058771,False,['4708-92-3'],0.4090604469,0,$28.60/nan,Usually ships in 2 business days. ,https://www.sigmaaldrich.com/US/en/product/aldrich/s651982,,,
POOL-00027274,"InChI=1S/C12H11NO3/c14-11-9-3-1-2-4-10(9)12(15)13(11)16-7-8-5-6-8/h1-4,8H,5-7H2",O=C1c2ccccc2C(=O)N1OCC1CC1,430.0866066240907,False,['113211-15-7'],0.4225901359,0,$134.00/1 MG,Usually ships in 2 business days. ,https://www.sigmaaldrich.com/US/en/product/aldrich/ph000266,,,
