ligand_label,ligand_identifier,ligand_smiles,complexity_BertzCT,is_taught,cas_number,rank_average_pred_std_top2%mu,cluster,sigma-price,sigma-avail,sigma-url,fisher-price,fisher-avail,fisher-url
POOL-00007519,"InChI=1S/C11H22N2O2/c1-11(2,3)15-10(14)13-9-6-4-5-8(12)7-9/h8-9H,4-7,12H2,1-3H3,(H,13,14)",CC(C)(C)OC(O)=NC1CCCC(N)C1,233.2326456135268,False,"['347186-01-0', '849616-22-4']",0.2929952736,0,$57.20/100 mg,Ships in 7 days - from Aldrich Partner.,https://www.sigmaaldrich.com/US/en/product/ambeedinc/ambh58064712?context=bbe,,,
POOL-00006136,"InChI=1S/C10H20N2O2/c1-10(2,3)14-9(13)12-8-5-4-7(11)6-8/h7-8H,4-6,11H2,1-3H3,(H,12,13)",CC(C)(C)OC(O)=NC1CCC(N)C1,220.65211299022144,False,"['1197398-99-4', '947732-58-3', '454709-98-9']",0.2950064948,0,$224.25/250 mg,Ships in 10 days - from Aldrich Partner.,https://www.sigmaaldrich.com/US/en/product/achemblock/adv428293137?context=bbe,,,
POOL-00024218,"InChI=1S/C11H22N2O2/c1-11(2,3)15-10(14)13-9-7-5-4-6-8(9)12/h8-9H,4-7,12H2,1-3H3,(H,13,14)",CC(C)(C)OC(O)=NC1CCCCC1N,233.2326456135268,False,"['317595-54-3', '184954-75-4']",0.2923906277,0,$15.40/250 mg,Ships in 7 days - from Aldrich Partner.,https://www.sigmaaldrich.com/US/en/product/ambeedinc/ambh2d6f303f?context=bbe,,,
POOL-00006115,"InChI=1S/C10H20N2O2/c1-10(2,3)14-9(13)12-8-6-4-5-7(8)11/h7-8H,4-6,11H2,1-3H3,(H,12,13)",CC(C)(C)OC(O)=NC1CCCC1N,220.65211299022144,False,['1193388-07-6'],0.2960502142,0,$574.60/1 g,Ships in 30 days - from Aldrich Partner.,https://www.sigmaaldrich.com/US/en/product/enamine/enah30463d79?context=bbe,,,
POOL-00025507,"InChI=1S/C11H22N2O2/c1-11(2,3)15-10(14)13-9-6-4-8(12)5-7-9/h8-9H,4-7,12H2,1-3H3,(H,13,14)",CC(C)(C)OC(O)=NC1CCC(N)CC1,225.2326456135268,False,"['177906-48-8', '247570-24-7', '195314-59-1']",0.2925293259,0,$16.50/250 mg,Ships in 10 days - from Aldrich Partner.,https://www.sigmaaldrich.com/US/en/product/synthonixcorporation/sy3h5815f4d5?context=bbe,"$131.00
Each/5g",Check Availability,https://www.fishersci.com/shop/products/trans-4-boc-amino-cyclohexylamine-97-thermo-scientific/AAH6273406#177906-48-8
POOL-00003646,"InChI=1S/C11H22N2O2/c1-11(2,3)15-10(14)13-7-8-5-4-6-9(8)12/h8-9H,4-7,12H2,1-3H3,(H,13,14)",CC(C)(C)OC(O)=NCC1CCCC1N,233.2326456135268,False,['1258649-62-5'],0.277942292,0,$262.60/100 mg,Ships in 7 days - from Aldrich Partner.,https://www.sigmaaldrich.com/US/en/product/enamine/ena341294336?context=bbe,,,
POOL-00003994,"InChI=1S/C11H22N2O2/c1-11(2,3)15-10(14)13-9-6-4-5-8(9)7-12/h8-9H,4-7,12H2,1-3H3,(H,13,14)",CC(C)(C)OC(O)=NC1CCCC1CN,233.2326456135268,False,"['1249010-71-6', '860297-27-4']",0.2820694209,0,$581.10/50 mg,Ships in 7 days - from Aldrich Partner.,https://www.sigmaaldrich.com/US/en/product/enamine/ena358812933?context=bbe,,,
POOL-00010273,"InChI=1S/C11H22N2O2/c1-10(2,3)15-9(14)13-11(8-12)6-4-5-7-11/h4-8,12H2,1-3H3,(H,13,14)",CC(C)(C)OC(O)=NC1(CN)CCCC1,237.4627014681274,False,['889949-09-1'],0.2857012421,0,$106.00/250 MG,"Only 2 left in stock 
Details...",https://www.sigmaaldrich.com/US/en/product/aldrich/701688,,,
POOL-00001654,"InChI=1S/C11H22N2O2/c1-11(2,3)15-10(14)13-7-9-4-8(5-9)6-12/h8-9H,4-7,12H2,1-3H3,(H,13,14)",CC(C)(C)OC(O)=NCC1CC(CN)C1,227.2326456135268,False,['1363382-06-2'],0.2743903268,0,$352.00/100 mg,Ships in 10 days - from Aldrich Partner.,https://www.sigmaaldrich.com/US/en/product/synthonixcorporation/sy3390162006?context=bbe,,,
POOL-00026816,"InChI=1S/C12H18N2O2/c1-12(2,3)16-11(15)14-10-6-4-9(8-13)5-7-10/h4-7H,8,13H2,1-3H3,(H,14,15)",CC(C)(C)OC(=O)Nc1ccc(CN)cc1,352.2766641820712,False,['220298-96-4'],0.3287464443,0,$100.00/500 MG,"Only 2 left in stock 
Details...",https://www.sigmaaldrich.com/US/en/product/aldrich/737283,"$162.10
Each/1g",Check Availability,https://www.fishersci.com/shop/products/tert-butyl-n-4-aminomethyl-phenyl-carbamate-97-thermo-scientific/MO01028DA#220298-96-4
POOL-00005909,"InChI=1S/C12H18N2O2/c1-10(7-8-13)14-12(15)16-9-11-5-3-2-4-6-11/h2-6,10H,7-9,13H2,1H3,(H,14,15)",CC(CCN)N=C(O)OCc1ccccc1,325.0504621440199,False,['885277-95-2'],0.2728385435,0,$172.80/50 mg,Ships in 7 days - from Aldrich Partner.,https://www.sigmaaldrich.com/US/en/product/jwpharmlabllc/jwph942f3449?context=bbe,,,
POOL-00025523,"InChI=1S/C12H18N2O2/c1-12(2,3)16-11(15)14-10-6-4-5-9(7-10)8-13/h4-7H,8,13H2,1-3H3,(H,14,15)",CC(C)(C)OC(O)=Nc1cccc(CN)c1,380.8503046556419,False,['205318-52-1'],0.2943251296,0,$18.70/250 mg,Ships in 7 days - from Aldrich Partner.,https://www.sigmaaldrich.com/US/en/product/ambeedinc/ambh2d6f9a1a?context=bbe,,,
POOL-00025776,"InChI=1S/C12H18N2O2/c1-12(2,3)16-11(15)14-10-7-5-4-6-9(10)8-13/h4-7H,8,13H2,1-3H3,(H,14,15)",CC(C)(C)OC(O)=Nc1ccccc1CN,380.8503046556419,False,['849020-94-6'],0.2933793747,0,,,,,,
