ligand_label,ligand_identifier,ligand_smiles,complexity_BertzCT,is_taught,cas_number,rank_average_pred_mu_top2%mu
POOL-00030233,"InChI=1S/C8H18S/c1-4-6-7-9-8(3)5-2/h8H,4-7H2,1-3H3",CCCCSC(C)CC,52.52932501298081,False,['10359-61-2'],1.1459007625
POOL-00030232,"InChI=1S/C8H18S/c1-4-5-6-9-7-8(2)3/h8H,4-7H2,1-3H3",CCCCSCC(C)C,50.52932501298081,False,['1741-85-1'],1.144609859
POOL-00018503,"InChI=1S/C8H18S/c1-5-6-7-9-8(2,3)4/h5-7H2,1-4H3",CCCCSC(C)(C)C,61.45811190640112,False,['926-47-6'],1.14763556
POOL-00042633,"InChI=1S/C8H18S/c1-3-5-7-9-8-6-4-2/h3-8H2,1-2H3",CCCCSCCCC,37.83229392178728,False,['544-40-1'],1.0784858091
POOL-00030179,"InChI=1S/C8H18S/c1-5-7(3)9-8(4)6-2/h7-8H,5-6H2,1-4H3",CCC(C)SC(C)CC,53.587975038942446,False,['626-26-6'],1.1500886752
POOL-00033954,"InChI=1S/C7H16S/c1-3-5-7-8-6-4-2/h3-7H2,1-2H3",CCCCSCCC,29.368065554250645,False,['1613-46-3'],1.0930805877
POOL-00040705,"InChI=1S/C8H19N/c1-4-5-6-7-8-9(2)3/h4-8H2,1-3H3",CCCCCCN(C)C,50.52932501298081,False,['4385-04-0'],1.1320235109
POOL-00039030,"InChI=1S/C8H18S/c1-3-4-5-6-7-8-9-2/h3-8H2,1-2H3",CCCCCCCSC,37.83229392178728,False,"['20291-61-6', '63834-87-7']",1.1388688111
POOL-00043414,"InChI=1S/C9H21N/c1-4-6-8-10(3)9-7-5-2/h4-9H2,1-3H3",CCCCN(C)CCCC,53.748605961854445,False,['3405-45-6'],1.1421531102
POOL-00042529,"InChI=1S/C8H17F/c1-2-3-4-5-6-7-8-9/h2-8H2,1H3",CCCCCCCCF,37.83229392178728,False,['463-11-6'],1.0971746808
POOL-00040712,"InChI=1S/C7H13NS/c1-2-3-4-5-6-8-7-9/h2-6H2,1H3",CCCCCCN=C=S,95.089273230246,False,['4404-45-9'],1.1229887788
POOL-00040631,"InChI=1S/C9H20S/c1-3-4-5-6-7-8-9-10-2/h3-9H2,1-2H3",CCCCCCCCSC,44.68995593589281,False,['3698-95-1'],1.077060335
POOL-00043503,"InChI=1S/C8H19N/c1-4-7-8-9(5-2)6-3/h4-8H2,1-3H3",CCCCN(CC)CC,48.52932501298081,False,['4444-68-2'],1.1333266986
POOL-00042632,"InChI=1S/C10H22S/c1-9(2)5-7-11-8-6-10(3)4/h9-10H,5-8H2,1-4H3",CC(C)CCSCCC(C)C,66.9419624661572,False,['544-02-5'],1.1336265063
POOL-00040718,"InChI=1S/C8H15NS/c1-2-3-4-5-6-7-9-8-10/h2-7H2,1H3",CCCCCCCN=C=S,105.82521876648651,False,['4426-83-9'],1.147821865
POOL-00042456,"InChI=1S/C8H18O/c1-3-5-7-9-8-6-4-2/h3-8H2,1-2H3",CCCCOCCCC,37.83229392178728,False,['142-96-1'],1.1293438746
POOL-00040719,"InChI=1S/C9H17NS/c1-2-3-4-5-6-7-8-10-9-11/h2-8H2,1H3",CCCCCCCCN=C=S,116.73114066028502,False,['4430-45-9'],1.1034395826
POOL-00034130,"InChI=1S/C10H20O/c1-4-11-9-7-5-6-8-10(2)3/h4,10H,1,5-9H2,2-3H3",C=COCCCCCC(C)C,86.8735668734444,False,"['37769-62-3', '10573-35-0']",1.1560420199
POOL-00042631,"InChI=1S/C10H22O/c1-9(2)5-7-11-8-6-10(3)4/h9-10H,5-8H2,1-4H3",CC(C)CCOCCC(C)C,66.9419624661572,False,['544-01-4'],1.1417051583
POOL-00043192,"InChI=1S/C10H23N/c1-4-5-6-7-8-9-10-11(2)3/h4-10H2,1-3H3",CCCCCCCCN(C)C,69.27302875388388,False,['7378-99-6'],1.1149537364
POOL-00042499,"InChI=1S/C10H21F/c1-2-3-4-5-6-7-8-9-10-11/h2-10H2,1H3",CCCCCCCCCCF,53.89311688209828,False,['334-56-5'],1.1394595475
POOL-00037838,"InChI=1S/C8H15NS/c1-2-3-4-5-8-9-6-7-10-8/h2-7H2,1H3",CCCCCC1=NCCS1,120.4259988171292,False,['21226-52-8'],1.0849866497
POOL-00030092,"InChI=1S/C9H20S/c1-4-5-6-7-8-9(2,3)10/h10H,4-8H2,1-3H3",CCCCCCC(C)(C)S,71.28767654158642,False,"['25360-10-5', '55646-15-6']",1.1441543794
POOL-00043234,"InChI=1S/C8H18OS/c1-3-5-7-10(9)8-6-4-2/h3-8H2,1-2H3",CCCCS(=O)CCCC,81.25838096618139,False,['2168-93-6'],1.1583599405
POOL-00040388,"InChI=1S/C7H14OS/c1-3-4-5-6-7(8)9-2/h3-6H2,1-2H3",CCCCCC(=O)SC,80.98533616859814,False,['2432-77-1'],1.1402536346
POOL-00038461,"InChI=1S/C10H19N/c1-4-7-10-11(8-5-2)9-6-3/h5-6,8-10H2,1-3H3",CC#CCN(CCC)CCC,123.54354095215778,False,['6323-71-3'],1.1632998209
POOL-00040727,"InChI=1S/C10H23N/c1-4-7-9-11(6-3)10-8-5-2/h4-10H2,1-3H3",CCCCN(CC)CCCC,63.27302875388389,False,['4458-33-7'],1.1419433973
POOL-00042284,"InChI=1S/C8H18S/c1-2-3-4-5-6-7-8-9/h9H,2-8H2,1H3",CCCCCCCCS,37.83229392178728,False,"['111-88-6', '94805-33-1']",1.081522932
POOL-00038456,"InChI=1S/C10H19N/c1-6-7-8-11(9(2)3)10(4)5/h9-10H,8H2,1-5H3",CC#CCN(C(C)C)C(C)C,139.9910498605025,False,['6323-68-8'],1.1636754986
POOL-00042850,"InChI=1S/C7H15F/c1-2-3-4-5-6-7-8/h2-7H2,1H3",CCCCCCCF,29.368065554250645,False,['661-11-0'],1.1457828438
POOL-00041481,"InChI=1S/C9H17NS/c1-8(2,3)6-9(4,5)10-7-11/h6H2,1-5H3",CC(C)(C)CC(C)(C)N=C=S,170.49197954441047,False,['17701-76-7'],1.1590203937
POOL-00030556,"InChI=1S/C8H14S/c1-7(2)5-9-6-8(3)4/h1,3,5-6H2,2,4H3",C=C(C)CSCC(=C)C,99.73604288123636,False,"['52444-06-1', '53926-81-1', '23973-54-8']",1.1400906058
POOL-00020387,"InChI=1S/C10H21N/c1-3-4-7-11-8-5-10(2)6-9-11/h10H,3-9H2,1-2H3",CCCCN1CCC(C)CC1,90.29101202564158,False,['103199-83-3'],1.1465270025
POOL-00030168,"InChI=1S/C10H16S/c1-3-5-6-10-8-7-9(4-2)11-10/h7-8H,3-6H2,1-2H3",CCCCc1ccc(CC)s1,200.392623445611,False,['54411-06-2'],1.1607622806
POOL-00036638,"InChI=1S/C8H18S/c1-3-5-6-8(4-2)7-9/h8-9H,3-7H2,1-2H3",CCCCC(CC)CS,48.52932501298081,False,['7341-17-5'],1.156664482
POOL-00030648,"InChI=1S/C10H16S/c1-2-3-4-5-6-10-7-8-11-9-10/h7-9H,2-6H2,1H3",CCCCCCc1ccsc1,165.0082745818173,False,['1693-86-3'],1.1572039705
POOL-00041517,"InChI=1S/C10H16S/c1-2-3-4-5-7-10-8-6-9-11-10/h6,8-9H,2-5,7H2,1H3",CCCCCCc1cccs1,165.0082745818173,False,['18794-77-9'],1.153412657
POOL-00020345,"InChI=1S/C9H19N/c1-3-6-10-7-4-9(2)5-8-10/h9H,3-8H2,1-2H3",CCCN1CCC(C)CC1,82.72905595320057,False,['103199-82-2'],1.1481685333
POOL-00035540,InChI=1S/C7H12BrN/c8-6-4-2-1-3-5-7-9/h1-6H2,N#CCCCCCCBr,85.40716557155841,False,['20965-27-9'],1.1591116072
POOL-00036863,"InChI=1S/C9H21N/c1-3-5-7-9-10-8-6-4-2/h10H,3-9H2,1-2H3",CCCCCNCCCC,44.68995593589281,False,['39536-61-3'],1.1076875728
POOL-00043110,"InChI=1S/C7H16S/c1-2-3-4-5-6-7-8/h8H,2-7H2,1H3",CCCCCCCS,29.368065554250645,False,['1639-09-4'],1.0923736852
POOL-00043072,"InChI=1S/C9H20S/c1-2-3-4-5-6-7-8-9-10/h10H,2-9H2,1H3",CCCCCCCCCS,44.68995593589281,False,['1455-21-6'],1.0743897647
POOL-00036744,"InChI=1S/C10H18O/c1-3-4-5-6-7-8-9-10(2)11/h3H,1,4-9H2,2H3",C=CCCCCCCC(C)=O,116.0411847243922,False,['35194-30-0'],1.1620925191
POOL-00040392,"InChI=1S/C9H21N/c1-3-4-5-6-7-8-9-10-2/h10H,3-9H2,1-2H3",CCCCCCCCNC,44.68995593589281,False,['2439-54-5'],1.1045621356
POOL-00035760,"InChI=1S/C8H19N/c1-3-4-5-6-7-8-9-2/h9H,3-8H2,1-2H3",CCCCCCCNC,37.83229392178728,False,['36343-05-2'],1.1017026793
POOL-00040630,"InChI=1S/C10H22S/c1-3-5-6-7-8-9-10-11-4-2/h3-10H2,1-2H3",CCCCCCCCSCC,53.89311688209828,False,['3698-94-0'],1.0739140725
POOL-00021337,"InChI=1S/C8H18S/c1-7(6-9)5-8(2,3)4/h7,9H,5-6H2,1-4H3",CC(CS)CC(C)(C)C,71.12704561867442,False,['110502-19-7'],1.1528036587
POOL-00040772,"InChI=1S/C7H16O/c1-3-4-5-6-7-8-2/h3-7H2,1-2H3",CCCCCCOC,29.368065554250645,False,['4747-07-3'],1.1490744606
POOL-00036399,"InChI=1S/C8H16OS/c1-3-4-8-5-6-9-7(2)10-8/h7-8H,3-6H2,1-2H3",CCCC1CCOC(C)S1,93.2583809661814,False,"['67715-80-4', '59323-76-1']",1.1555344065
POOL-00042630,"InChI=1S/C10H23N/c1-9(2)5-7-11-8-6-10(3)4/h9-11H,5-8H2,1-4H3",CC(C)CCNCCC(C)C,66.9419624661572,False,['544-00-3'],1.1130733709
POOL-00038457,"InChI=1S/C11H21N/c1-6-7-8-9-12(10(2)3)11(4)5/h10-11H,6,9H2,1-5H3",CCC#CCN(C(C)C)C(C)C,151.5782634926477,False,['6323-69-9'],1.1547258333
POOL-00043534,"InChI=1S/C9H14S/c1-2-3-4-6-9-7-5-8-10-9/h5,7-8H,2-4,6H2,1H3",CCCCCc1cccs1,153.24601182276447,False,['4861-58-9'],1.1406661758
POOL-00035366,"InChI=1S/C10H21N/c1-2-3-8-11-9-6-4-5-7-10-11/h2-10H2,1H3",CCCCN1CCCCCC1,82.8735668734444,False,['15753-35-2'],1.1438028691
POOL-00037806,"InChI=1S/C7H13NS/c1-2-3-4-7-8-5-6-9-7/h2-6H2,1H3",CCCCC1=NCCS1,109.48377837619049,False,['28221-34-3'],1.120660435
