ligand_label,ligand_identifier,ligand_smiles,complexity_BertzCT,is_taught,cas_number,rank_average_pred_std
POOL-00003449,"InChI=1S/C10H8F4O2/c11-8-3-1-6(2-4-9(15)16)5-7(8)10(12,13)14/h1,3,5H,2,4H2,(H,15,16)",O=C(O)CCc1ccc(F)c(C(F)(F)F)c1,398.2957698029687,False,['916420-42-3'],0.1440069063
POOL-00030485,"InChI=1S/C11H9F3O2/c1-7-2-4-8(5-3-7)9(15)6-10(16)11(12,13)14/h2-5H,6H2,1H3",Cc1ccc(C(=O)CC(=O)C(F)(F)F)cc1,404.23300610791136,False,['720-94-5'],0.1578879318
POOL-00025206,"InChI=1S/C9H6F6O/c10-8(11,12)6-2-1-5(4-16)7(3-6)9(13,14)15/h1-3,16H,4H2",OCc1ccc(C(F)(F)F)cc1C(F)(F)F,378.5660921404976,False,['143158-15-0'],0.1479631835
POOL-00009574,"InChI=1S/C10H9F3O2/c11-10(12,13)8-4-2-1-3-7(8)5-6-9(14)15/h1-4H,5-6H2,(H,14,15)",O=C(O)CCc1ccccc1C(F)(F)F,357.9302879079978,False,['94022-99-8'],0.1438827002
POOL-00022252,"InChI=1S/C9H5F5O2/c1-16-4(15)2-3-5(10)7(12)9(14)8(13)6(3)11/h2H2,1H3",COC(=O)Cc1c(F)c(F)c(F)c(F)c1F,415.0108647750912,False,['145682-85-5'],0.1533012227
POOL-00025082,"InChI=1S/C10H9F3O2/c1-15-9(14)6-7-3-2-4-8(5-7)10(11,12)13/h2-5H,6H2,1H3",COC(=O)Cc1cccc(C(F)(F)F)c1,357.9302879079978,False,['62451-84-7'],0.1554989107
POOL-00025373,"InChI=1S/C9H6F4O2/c10-8-5(4-7(14)15)2-1-3-6(8)9(11,12)13/h1-3H,4H2,(H,14,15)",O=C(O)Cc1cccc(C(F)(F)F)c1F,384.1890010832792,False,['194943-83-4'],0.1442132982
POOL-00037361,"InChI=1S/C10H9F3O2/c1-2-15-9(14)7-4-3-5-8(6-7)10(11,12)13/h3-6H,2H2,1H3",CCOC(=O)c1cccc(C(F)(F)F)c1,357.9302879079978,False,['76783-59-0'],0.1596623643
POOL-00025377,"InChI=1S/C9H6F4O2/c10-7-2-1-5(4-8(14)15)3-6(7)9(11,12)13/h1-3H,4H2,(H,14,15)",O=C(O)Cc1ccc(F)c(C(F)(F)F)c1,384.1890010832792,False,['220227-47-4'],0.1447532805
POOL-00025375,"InChI=1S/C9H6F4O2/c10-7-3-1-2-6(9(11,12)13)5(7)4-8(14)15/h1-3H,4H2,(H,14,15)",O=C(O)Cc1c(F)cccc1C(F)(F)F,384.1890010832792,False,['179946-32-8'],0.1462295338
