ligand_label,ligand_identifier,ligand_smiles,complexity_BertzCT,is_taught,cas_number,rank_average_pred_std_top2%mu
POOL-00026557,"InChI=1S/C10H8F6O/c1-5(17)6-2-7(9(11,12)13)4-8(3-6)10(14,15)16/h2-5,17H,1H3",CC(O)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,371.9876416319234,False,['368-63-8'],0.2341980392
POOL-00028032,"InChI=1S/C10H7F6NO/c1-5(18)17-8-3-6(9(11,12)13)2-7(4-8)10(14,15)16/h2-4H,1H3,(H,17,18)",CC(O)=Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1,437.986740476674,False,['16143-84-3'],0.2385543927
POOL-00036832,"InChI=1S/C9H6F6O/c10-8(11,12)6-1-5(4-16)2-7(3-6)9(13,14)15/h1-3,16H,4H2",OCc1cc(C(F)(F)F)cc(C(F)(F)F)c1,346.3160921404976,False,['32707-89-4'],0.2166023278
POOL-00025206,"InChI=1S/C9H6F6O/c10-8(11,12)6-2-1-5(4-16)7(3-6)9(13,14)15/h1-3,16H,4H2",OCc1ccc(C(F)(F)F)cc1C(F)(F)F,378.5660921404976,False,['143158-15-0'],0.2161772724
POOL-00036423,"InChI=1S/C9H5F6NO/c10-8(11,12)5-2-1-3-6(4-5)16-7(17)9(13,14)15/h1-4H,(H,16,17)",OC(=Nc1cccc(C(F)(F)F)c1)C(F)(F)F,433.8475985464568,False,['2946-73-8'],0.2426235115
POOL-00018785,"InChI=1S/C11H8F6O2/c12-10(13,14)7-2-3-8(11(15,16)17)6(5-7)1-4-9(18)19/h2-3,5H,1,4H2,(H,18,19)",O=C(O)CCc1cc(C(F)(F)F)ccc1C(F)(F)F,475.05424635000384,False,['302912-03-4'],0.2175378616
POOL-00020163,"InChI=1S/C11H8F7NO/c1-6(20)19-8-4-2-7(3-5-8)9(12,13)10(14,15)11(16,17)18/h2-5H,1H3,(H,19,20)",CC(O)=Nc1ccc(C(F)(F)C(F)(F)C(F)(F)F)cc1,500.49807956100005,False,['199530-73-9'],0.2471248127
POOL-00023859,"InChI=1S/C12H10F7NO/c13-10(14,11(15,16)12(17,18)19)7-20-9(21)6-8-4-2-1-3-5-8/h1-5H,6-7H2,(H,20,21)",OC(Cc1ccccc1)=NCC(F)(F)C(F)(F)C(F)(F)F,496.0774477622068,False,['304458-25-1'],0.2484012908
POOL-00027112,"InChI=1S/C11H8F6O2/c12-10(13,14)7-3-6(1-2-9(18)19)4-8(5-7)11(15,16)17/h3-5H,1-2H2,(H,18,19)",O=C(O)CCc1cc(C(F)(F)F)cc(C(F)(F)F)c1,442.80424635000384,False,['181772-16-7'],0.2188562842
POOL-00025208,"InChI=1S/C10H5BrF6O/c11-4-8(18)5-1-6(9(12,13)14)3-7(2-5)10(15,16)17/h1-3H,4H2",O=C(CBr)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,430.1662006968518,False,['131805-94-2'],0.2138121092
POOL-00036476,"InChI=1S/C13H7F5O/c14-8-7(9(15)11(17)12(18)10(8)16)13(19)6-4-2-1-3-5-6/h1-5,13,19H",OC(c1ccccc1)c1c(F)c(F)c(F)c(F)c1F,583.1709083026869,False,['1944-05-4'],0.2417817208
,,,,,,
POOL-00025375,"InChI=1S/C9H6F4O2/c10-7-3-1-2-6(9(11,12)13)5(7)4-8(14)15/h1-3H,4H2,(H,14,15)",O=C(O)Cc1c(F)cccc1C(F)(F)F,384.1890010832792,False,['179946-32-8'],0.2215633299
POOL-00025373,"InChI=1S/C9H6F4O2/c10-8-5(4-7(14)15)2-1-3-6(8)9(11,12)13/h1-3H,4H2,(H,14,15)",O=C(O)Cc1cccc(C(F)(F)F)c1F,384.1890010832792,False,['194943-83-4'],0.218139102
POOL-00039602,"InChI=1S/C9H7F3O2/c10-9(11,12)7-3-1-2-6(4-7)5-8(13)14/h1-4H,5H2,(H,13,14)",O=C(O)Cc1cccc(C(F)(F)F)c1,344.15545779319825,False,['351-35-9'],0.2180876405
POOL-00025374,"InChI=1S/C9H6F4O2/c10-7-2-1-6(9(11,12)13)3-5(7)4-8(14)15/h1-3H,4H2,(H,14,15)",O=C(O)Cc1cc(C(F)(F)F)ccc1F,384.1890010832792,False,['220227-66-7'],0.2205650255
POOL-00009574,"InChI=1S/C10H9F3O2/c11-10(12,13)8-4-2-1-3-7(8)5-6-9(14)15/h1-4H,5-6H2,(H,14,15)",O=C(O)CCc1ccccc1C(F)(F)F,357.9302879079978,False,['94022-99-8'],0.2201793383
POOL-00026293,"InChI=1S/C9H7F3O2/c1-5-2-3-6(9(10,11)12)4-7(5)8(13)14/h2-4H,1H3,(H,13,14)",Cc1ccc(C(F)(F)F)cc1C(=O)O,368.8100830822238,False,['13055-63-5'],0.2196031416
POOL-00025377,"InChI=1S/C9H6F4O2/c10-7-2-1-5(4-8(14)15)3-6(7)9(11,12)13/h1-3H,4H2,(H,14,15)",O=C(O)Cc1ccc(F)c(C(F)(F)F)c1,384.1890010832792,False,['220227-47-4'],0.22273952
POOL-00036731,"InChI=1S/C9H7F3O2/c10-9(11,12)7-3-1-6(2-4-7)5-8(13)14/h1-4H,5H2,(H,13,14)",O=C(O)Cc1ccc(C(F)(F)F)cc1,326.90545779319825,False,['32857-62-8'],0.2246868193
POOL-00025378,"InChI=1S/C9H6F4O2/c10-6-1-2-7(9(11,12)13)5(3-6)4-8(14)15/h1-3H,4H2,(H,14,15)",O=C(O)Cc1cc(F)ccc1C(F)(F)F,384.1890010832792,False,['239135-52-5'],0.2193364239
POOL-00025656,"InChI=1S/C9H6F4O2/c10-7-2-5(3-8(14)15)1-6(4-7)9(11,12)13/h1-2,4H,3H2,(H,14,15)",O=C(O)Cc1cc(F)cc(C(F)(F)F)c1,384.1890010832792,False,['195447-79-1'],0.2210060804
POOL-00019819,"InChI=1S/C9H6F4O2/c10-7-4-6(9(11,12)13)2-1-5(7)3-8(14)15/h1-2,4H,3H2,(H,14,15)",O=C(O)Cc1ccc(C(F)(F)F)cc1F,384.1890010832792,False,['209991-64-0'],0.22233304
POOL-00026475,"InChI=1S/C10H9F3O2/c11-10(12,13)8-3-1-2-7(6-8)4-5-9(14)15/h1-3,6H,4-5H2,(H,14,15)",O=C(O)CCc1cccc(C(F)(F)F)c1,357.9302879079978,False,['585-50-2'],0.2235598857
POOL-00031095,"InChI=1S/C9H7F3O2/c10-9(11,12)7-4-2-1-3-6(7)5-8(13)14/h1-4H,5H2,(H,13,14)",O=C(O)Cc1ccccc1C(F)(F)F,344.15545779319825,False,['3038-48-0'],0.2169328159
