ligand_label,ligand_identifier,ligand_smiles,complexity_BertzCT,is_taught,cas_number,rank_average_pred_std_top2%mu,cluster,fisher-price,fisher-avail,fisher-url,sigma-price,sigma-avail,sigma-url
POOL-00041799,"InChI=1S/C17H31F3O/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16(21)17(18,19)20/h2-15H2,1H3",CCCCCCCCCCCCCCCC(=O)C(F)(F)F,248.91000041394463,False,['141022-99-3'],0.2337788389,0,"$79.30
Each of 1/nan",Check Availability,,$98.10/5 MG,"Only 1 left in stock 
Details...",https://www.sigmaaldrich.com/US/en/product/sigma/p8727
POOL-00003853,"InChI=1S/C13H23F3O2S/c14-13(15,16)12(17)18-10-8-6-4-2-1-3-5-7-9-11-19/h19H,1-11H2",O=C(OCCCCCCCCCCCS)C(F)(F)F,232.41844394771903,False,['138524-05-7'],0.2394781902,0,,,,$702.00/50 MG,"Only 3 left in stock 
Details...",https://www.sigmaaldrich.com/US/en/product/aldrich/674230
POOL-00031383,"InChI=1S/C16H26F7NO/c1-2-3-4-5-6-7-8-9-10-11-12-24-13(25)14(17,18)15(19,20)16(21,22)23/h2-12H2,1H3,(H,24,25)",CCCCCCCCCCCCN=C(O)C(F)(F)C(F)(F)C(F)(F)F,394.4346943421803,False,['2284-51-7'],0.2315450201,0,,,,$28.60/50MG,Usually ships in 2 business days. ,https://www.sigmaaldrich.com/US/en/product/aldrich/r588199
POOL-00017955,"InChI=1S/C20H31F2NOS/c1-2-3-4-5-6-7-8-9-10-11-14-25-16-20(24)23-19-13-12-17(21)15-18(19)22/h12-13,15H,2-11,14,16H2,1H3,(H,23,24)",CCCCCCCCCCCCSCC(O)=Nc1ccc(F)cc1F,508.4695623970266,False,['331461-63-3'],0.2412006434,0,,,,$28.60/10MG,Usually ships in 2 business days. ,https://www.sigmaaldrich.com/US/en/product/aldrich/r283266
POOL-00041279,"InChI=1S/C14H28O2S/c1-2-3-4-5-6-7-8-9-10-11-12-17-13-14(15)16/h2-13H2,1H3,(H,15,16)",CCCCCCCCCCCCSCC(=O)O,171.6051449033056,False,['13753-71-4'],0.2145528272,0,,,,$28.60/nan,Usually ships in 2 business days. ,https://www.sigmaaldrich.com/US/en/product/aldrich/s233471
POOL-00009438,"InChI=1S/C15H21F3O3S/c1-13(2,3)10-7-11(14(4,5)6)9-12(8-10)21-22(19,20)15(16,17)18/h7-9H,1-6H3",CC(C)(C)c1cc(OS(=O)(=O)C(F)(F)F)cc(C(C)(C)C)c1,615.8309622273882,False,['155064-25-8'],0.2156493646,0,,,,,,
POOL-00037859,"InChI=1S/C19H22F4O3/c1-9(2)6-12-13(19(12,3)4)18(24)26-8-11-16(22)14(20)10(7-25-5)15(21)17(11)23/h6,12-13H,7-8H2,1-5H3",COCc1c(F)c(F)c(COC(=O)C2C(C=C(C)C)C2(C)C)c(F)c1F,722.6365074545065,False,['271241-14-6'],0.2500253076,0,"$128.30
Each of 1/100 mg",Check Availability,,$189.00/100 MG,"Only 2 left in stock 
Details...",https://www.sigmaaldrich.com/US/en/product/sial/32432
POOL-00018022,"InChI=1S/C20H20F2O2S2/c21-17-5-1-15(2-6-17)19(23)9-11-25-13-14-26-12-10-20(24)16-3-7-18(22)8-4-16/h1-8H,9-14H2",O=C(CCSCCSCCC(=O)c1ccc(F)cc1)c1ccc(F)cc1,652.0959696931446,False,['882748-94-9'],0.2389661647,0,,,,,,
POOL-00032213,"InChI=1S/C9H7BrF2O2/c10-5-8(13)6-1-3-7(4-2-6)14-9(11)12/h1-4,9H,5H2",O=C(CBr)c1ccc(OC(F)F)cc1,311.0929223461079,False,['141134-24-9'],0.2485706856,1,,,,$98.75/1 g,Ships in 10 days - from Aldrich Partner.,https://www.sigmaaldrich.com/US/en/product/astatechinc/ate423891474?context=bbe
POOL-00030485,"InChI=1S/C11H9F3O2/c1-7-2-4-8(5-3-7)9(15)6-10(16)11(12,13)14/h2-5H,6H2,1H3",Cc1ccc(C(=O)CC(=O)C(F)(F)F)cc1,404.23300610791136,False,['720-94-5'],0.2466044238,1,"$119.40
Each/25g",Check Availability,,$99.70/1 G,Usually ships in 2 business days. ,https://www.sigmaaldrich.com/US/en/product/aldrich/vbp00104
POOL-00025082,"InChI=1S/C10H9F3O2/c1-15-9(14)6-7-3-2-4-8(5-7)10(11,12)13/h2-5H,6H2,1H3",COC(=O)Cc1cccc(C(F)(F)F)c1,357.9302879079978,False,['62451-84-7'],0.2446525758,1,"$93.30
Each/5g",Check Availability,https://www.fishersci.com/shop/products/methyl-3-trifluoromethyl-phenylacetate-97-thermo-scientific-2/AC365600050#62451-84-7,,,
POOL-00037361,"InChI=1S/C10H9F3O2/c1-2-15-9(14)7-4-3-5-8(6-7)10(11,12)13/h3-6H,2H2,1H3",CCOC(=O)c1cccc(C(F)(F)F)c1,357.9302879079978,False,['76783-59-0'],0.243070698,1,,,,,,
POOL-00030095,"InChI=1S/C9H7F3O2/c1-14-8(13)6-3-2-4-7(5-6)9(10,11)12/h2-5H,1H3",COC(=O)c1cccc(C(F)(F)F)c1,344.15545779319825,False,['2557-13-3'],0.2296763415,1,"$49.30
Each/25g",Check Availability,,$16.50/5 g,Ships in 10 days - from Aldrich Partner.,https://www.sigmaaldrich.com/US/en/product/synthonixcorporation/sy3h7cf2b162?context=bbe
POOL-00026108,"InChI=1S/C10H6F4O2/c11-7-3-1-6(2-4-7)8(15)5-9(16)10(12,13)14/h1-4H,5H2",O=C(CC(=O)C(F)(F)F)c1ccc(F)cc1,405.8223604662115,False,['582-65-0'],0.2458979982,1,"$35.05
Each/1g",Check Availability,https://www.fishersci.com/shop/products/3-4-fluorobenzoyl-1-1-1-trifluoroacetone-97-thermo-scientific/AAH3442903#582-65-0,,,
POOL-00036745,"InChI=1S/C9H6F4O2/c10-8(11)9(12,13)15-7-3-1-6(5-14)2-4-7/h1-5,8H",O=Cc1ccc(OC(F)(F)C(F)F)cc1,334.47051032501,False,['35295-36-4'],0.2457200854,1,,,,,,
POOL-00026541,"InChI=1S/C9H6BrF3O2/c10-5-7(14)6-3-1-2-4-8(6)15-9(11,12)13/h1-4H,5H2",O=C(CBr)c1ccccc1OC(F)(F)F,362.62024384389065,False,['530141-40-3'],0.2398226469,1,,,,$123.20/1 g,Ships in 7 days - from Aldrich Partner.,https://www.sigmaaldrich.com/US/en/product/apolloscientificltd/apo455837961?context=bbe
POOL-00039577,"InChI=1S/C10H7F3O2/c11-10(12,13)9(15)6-8(14)7-4-2-1-3-5-7/h1-5H,6H2",O=C(CC(=O)C(F)(F)F)c1ccccc1,368.00393264954994,False,['326-06-7'],0.2497387568,1,"$50.40
Each/25g",Check Availability,https://www.fishersci.com/shop/products/3-benzoyl-1-1-1-trifluoroacetone-98-thermo-scientific/AAA1711014#326-06-7,$88.10/25 G,"Only 4 left in stock 
Details...",https://www.sigmaaldrich.com/US/en/product/aldrich/217042
POOL-00030110,"InChI=1S/C9H7F3O2/c1-14-8(13)6-2-4-7(5-3-6)9(10,11)12/h2-5H,1H3",COC(=O)c1ccc(C(F)(F)F)cc1,326.90545779319825,False,['2967-66-0'],0.2521867006,1,"$46.65
Each/5g",Check Availability,https://www.fishersci.com/shop/products/methyl-4-trifluoromethyl-benzoate-98-thermo-scientific/AAA1540006#2967-66-0,,,
POOL-00026677,"InChI=1S/C8H4F4O2/c9-6-3-5(4-13)1-2-7(6)14-8(10,11)12/h1-4H",O=Cc1ccc(OC(F)(F)F)c(F)c1,345.68478280617904,False,['473917-15-6'],0.2453080621,1,"$205.50
Each/1g",Check Availability,https://www.fishersci.com/shop/products/3-fluoro-4-trifluoromethoxy-benzaldehyde-97-thermo-scientific/AAH2684703#473917-15-6,$17.60/100 mg,Ships in 7 days - from Aldrich Partner.,https://www.sigmaaldrich.com/US/en/product/ambeedinc/ambh95e08ad3?context=bbe
POOL-00027861,"InChI=1S/C8H5BrF2O2/c9-6-1-2-7(13-8(10)11)5(3-6)4-12/h1-4,8H",O=Cc1cc(Br)ccc1OC(F)F,315.0123782932825,False,['329269-64-9'],0.2488159504,1,,,,$102.50/1 g,Ships in 10 days - from Aldrich Partner.,https://www.sigmaaldrich.com/US/en/product/astatechinc/ate428010305?context=bbe
POOL-00003370,"InChI=1S/C8H5F3O2/c9-6-2-1-3-7(5(6)4-12)13-8(10)11/h1-4,8H",O=Cc1c(F)cccc1OC(F)F,312.2574907911191,False,['1214333-68-2'],0.2421504486,1,,,,$38.50/250 mg,Ships in 7 days - from Aldrich Partner.,https://www.sigmaaldrich.com/US/en/product/ambeedinc/ambh303c5963?context=bbe
POOL-00026109,"InChI=1S/C10H6BrF3O2/c11-7-3-1-6(2-4-7)8(15)5-9(16)10(12,13)14/h1-4H,5H2",O=C(CC(=O)C(F)(F)F)c1ccc(Br)cc1,409.067472964048,False,['18931-61-8'],0.2449244472,1,,,,,,
POOL-00001581,"InChI=1S/C11H11F3O2/c12-11(13,14)6-10(15)8-16-7-9-4-2-1-3-5-9/h1-5H,6-8H2",O=C(COCc1ccccc1)CC(F)(F)F,332.83295359452586,False,['1344733-45-4'],0.2475808293,1,,,,,,
POOL-00026220,"InChI=1S/C10H8F2O2/c11-10(12)9(14)6-8(13)7-4-2-1-3-5-7/h1-5,10H,6H2",O=C(CC(=O)C(F)F)c1ccccc1,333.2350518659593,False,['62679-61-2'],0.2492444057,1,,,,,,
POOL-00022252,"InChI=1S/C9H5F5O2/c1-16-4(15)2-3-5(10)7(12)9(14)8(13)6(3)11/h2H2,1H3",COC(=O)Cc1c(F)c(F)c(F)c(F)c1F,415.0108647750912,False,['145682-85-5'],0.2502028096,1,,,,,,
POOL-00005174,"InChI=1S/C9H8F3NO2/c1-2-15-8(14)7-4-3-6(5-13-7)9(10,11)12/h3-5H,2H2,1H3",CCOC(=O)c1ccc(C(F)(F)F)cn1,345.3702438438907,False,['128072-94-6'],0.2174972373,1,,,,$117.00/500 MG,"Only 3 left in stock 
Details...",https://www.sigmaaldrich.com/US/en/product/aldrich/725854
POOL-00014592,"InChI=1S/C8H6BrFO2/c1-12-8(11)5-2-3-7(10)6(9)4-5/h2-4H,1H3",COC(=O)c1ccc(F)c(Br)c1,311.92621196610224,False,['82702-31-6'],0.2481201712,1,"$31.05
Each/1g",Check Availability,,$16.50/1 g,Ships in 10 days - from Aldrich Partner.,https://www.sigmaaldrich.com/US/en/product/synthonixcorporation/sy3h3d67fe02?context=bbe
POOL-00041870,"InChI=1S/C8H5F3O2S/c9-8(10,11)7(13)4-5(12)6-2-1-3-14-6/h1-3H,4H2",O=C(CC(=O)C(F)(F)F)c1cccs1,339.96840694059443,False,['326-91-0'],0.233663013,1,"$61.80
Each/25g",Check Availability,https://www.fishersci.com/shop/products/thenoyltrifluoroacetone-99-thermo-scientific-3/AC138610250#326-91-0,$71.90/25 G,"Only 5 left in stock 
Details...",https://www.sigmaaldrich.com/US/en/product/aldrich/t27006
POOL-00007496,"InChI=1S/C8H6BrFO2/c1-12-8(11)5-2-6(9)4-7(10)3-5/h2-4H,1H3",COC(=O)c1cc(F)cc(Br)c1,291.6762119661022,False,['334792-52-8'],0.2465721333,1,$93.90 / Each/1g ,Check Availability,https://www.fishersci.com/shop/products/methl-3-brmo-5-flrobnzoate-1g/aah3226203#?keyword=true,$16.50/250 mg,Ships in 10 days - from Aldrich Partner.,https://www.sigmaaldrich.com/US/en/product/synthonixcorporation/sy3h3d67fe03?context=bbe
POOL-00025279,"InChI=1S/C8H6F2O2/c9-8(10)12-7-4-2-1-3-6(7)5-11/h1-5,8H",O=Cc1ccccc1OC(F)F,273.5152997875348,False,"['71653-64-0', '66988-93-0']",0.2420201914,1,"$48.95
Each/1g",Check Availability,,$16.50/1 g,Ships in 10 days - from Aldrich Partner.,https://www.sigmaaldrich.com/US/en/product/synthonixcorporation/sy3h3d67c215?context=bbe
