avgpol,axxpol,ayypol,azzpol,molpol,ASA+,ASA-,ASA_H,ASA_P,asa,maximalprojectionarea,maximalprojectionradius,minimalprojectionarea,minimalprojectionradius,psa,vdwsa,volume,chainatomcount,chainbondcount,fsp3,fusedringcount,rotatablebondcount,acceptorcount,accsitecount,donorcount,donsitecount,mass,hararyindex,balabanindex,hyperwienerindex,wienerindex,wienerpolarity,dipole,nHeavyAtom,nC,nN,nO,nS,nP,fragCpx,nRing,SLogP
25.31,19.97,24.04,31.93,24.02,327.54,224.48,103.06,320.88,6.66,63.2,5.73,35.82,3.75,9.23,328.28,204.79,2.0,2.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,312.045,35.93,1.72,518.0,226.0,20.0,3.61,13,10,0,1,0,0,40.03,2,3.636600000000003
27.49,26.85,19.99,35.62,27.29,491.35,309.25,182.1,479.32,12.03,76.04,7.49,36.02,4.13,9.23,346.73,221.91,9.0,9.0,0.33,0.0,6.0,1.0,2.0,0.0,0.0,334.051,38.16,1.75,1718.0,476.0,15.0,1.14,15,12,0,1,0,0,15.03,1,4.267000000000003
24.26,21.2,21.08,30.49,24.12,378.97,222.99,155.98,351.19,27.78,58.37,5.86,39.41,4.42,18.46,304.64,193.42,3.0,4.0,0.4,0.0,2.0,2.0,4.0,0.0,0.0,321.996,39.6,1.98,718.0,288.0,20.0,2.28,14,10,0,2,0,0,43.04,2,3.0436000000000014
25.07,17.81,20.66,36.76,24.92,447.75,296.23,151.52,435.95,11.8,67.51,7.8,27.22,3.46,0.0,304.45,196.41,7.0,7.0,0.27,0.0,5.0,0.0,0.0,0.0,0.0,257.19,30.93,1.72,1022.0,314.0,12.0,3.52,13,11,0,0,1,0,13.02,1,4.119900000000003
31.19,26.0,23.03,44.54,28.0,560.1,410.68,149.42,537.12,22.98,89.55,9.75,31.5,3.82,18.46,449.53,257.66,10.0,10.0,1.0,0.0,9.0,2.0,4.0,0.0,0.0,293.245,40.81,1.77,2492.0,612.0,15.0,2.8,16,13,0,2,0,0,16.03,1,4.265100000000004
29.95,24.75,22.31,42.8,28.32,549.23,354.11,195.12,506.53,42.7,82.16,9.58,33.63,3.69,9.23,417.48,245.45,10.0,10.0,0.57,0.0,9.0,1.0,2.0,0.0,0.0,285.225,40.81,1.77,2492.0,612.0,15.0,2.93,16,14,0,1,0,0,16.02,1,4.800900000000004
26.93,23.0,20.1,37.69,24.35,494.66,359.86,134.81,471.68,22.98,77.77,8.46,30.26,3.79,18.46,388.26,223.7,8.0,8.0,1.0,0.0,7.0,2.0,4.0,0.0,0.0,265.191,34.16,1.82,1408.0,399.0,13.0,2.78,14,11,0,2,0,0,14.03,1,3.4849000000000023
25.69,21.85,19.16,36.07,24.66,484.69,303.85,180.85,441.95,42.74,71.52,8.31,31.09,3.43,9.23,356.45,211.45,8.0,8.0,0.5,0.0,7.0,1.0,2.0,0.0,0.0,257.171,34.16,1.82,1408.0,399.0,13.0,2.93,14,12,0,1,0,0,14.02,1,4.020700000000003
23.69,20.42,17.02,33.62,22.85,462.95,310.03,152.92,451.32,11.63,66.88,7.79,31.14,3.42,9.23,326.01,194.37,7.0,7.0,0.45,0.0,6.0,1.0,2.0,0.0,0.0,243.144,30.93,1.72,1022.0,314.0,12.0,1.38,13,11,0,1,0,0,13.02,1,3.378300000000002
21.46,18.92,15.95,29.5,21.01,420.82,254.67,166.15,377.56,43.26,60.91,7.01,29.18,3.42,9.23,295.28,177.37,6.0,6.0,0.4,0.0,5.0,1.0,2.0,0.0,0.0,229.117,27.77,1.91,721.0,242.0,11.0,2.93,12,10,0,1,0,0,12.02,1,3.2405000000000017
23.7,19.93,18.04,33.12,23.33,440.84,277.14,163.7,370.51,70.34,63.64,7.28,29.68,3.42,0.0,302.93,186.97,6.0,6.0,0.4,0.0,5.0,0.0,0.0,0.0,0.0,245.18,27.77,1.91,721.0,242.0,11.0,3.82,12,10,0,0,1,0,12.02,1,3.953800000000003
20.61,17.91,15.78,28.15,18.92,400.51,288.86,111.65,377.15,23.37,59.67,6.68,30.39,3.63,18.46,296.57,172.67,5.0,5.0,1.0,0.0,4.0,2.0,4.0,0.0,0.0,223.11,24.67,1.78,492.0,182.0,10.0,3.37,11,8,0,2,0,0,11.03,1,2.3146000000000004
21.56,18.98,16.59,29.1,21.02,433.29,288.33,144.96,421.31,11.98,60.47,7.01,31.46,3.43,9.23,295.44,177.47,6.0,6.0,0.4,0.0,5.0,1.0,2.0,0.0,0.0,229.117,27.77,1.91,721.0,242.0,11.0,2.48,12,10,0,1,0,0,12.02,1,2.9882000000000017
22.97,15.5,19.25,34.14,22.21,413.45,247.06,166.39,400.27,13.18,63.63,7.32,27.22,3.43,9.23,285.17,178.67,6.0,6.0,0.33,0.0,4.0,1.0,2.0,0.0,0.0,293.986,28.33,2.01,666.0,232.0,12.0,3.92,12,9,0,1,0,0,12.03,1,3.6129000000000016
19.4,17.48,13.17,27.55,19.19,390.7,246.69,144.01,345.69,45.01,57.58,6.59,27.78,3.53,9.23,264.67,160.45,5.0,5.0,0.33,0.0,4.0,1.0,2.0,0.0,0.0,215.09,24.67,1.78,492.0,182.0,10.0,3.08,11,9,0,1,0,0,11.02,1,2.8504000000000005
22.52,15.17,22.35,30.03,22.22,403.06,234.83,168.22,371.27,31.79,63.31,6.55,30.94,3.98,9.23,284.18,178.71,6.0,6.0,0.33,0.0,4.0,1.0,2.0,0.0,0.0,293.986,28.68,2.11,601.0,222.0,13.0,3.04,12,9,0,1,0,0,12.03,1,3.6129000000000016
27.89,27.35,23.74,32.57,28.7,468.6,303.87,164.73,459.59,9.01,70.12,6.29,51.32,5.5,9.23,368.14,231.23,5.0,6.0,0.2,0.0,5.0,1.0,2.0,0.0,0.0,291.188,50.79,1.9,1522.0,524.0,22.0,1.49,17,15,0,1,0,0,52.02,2,4.187500000000003
19.49,17.5,27.42,13.56,19.2,402.77,268.34,134.43,389.34,13.43,57.51,6.53,27.64,3.42,9.23,264.96,160.43,5.0,5.0,0.33,0.0,4.0,1.0,2.0,0.0,0.0,215.09,24.67,1.78,492.0,182.0,10.0,1.42,11,9,0,1,0,0,11.02,1,2.5981000000000005
20.78,17.79,15.11,29.44,20.43,379.47,214.18,165.29,364.74,14.73,56.76,6.5,27.42,3.47,9.23,254.45,161.65,5.0,5.0,0.25,0.0,3.0,1.0,2.0,0.0,0.0,279.959,25.19,1.88,452.0,174.0,11.0,4.05,11,8,0,1,0,0,11.03,1,3.222800000000002
26.59,31.31,27.7,20.78,27.63,476.21,308.32,167.88,440.09,36.12,73.81,6.27,44.33,4.95,18.46,357.14,223.05,5.0,6.0,0.14,0.0,5.0,1.0,2.0,0.0,0.0,293.16,49.21,1.68,1960.0,584.0,20.0,2.91,17,14,0,2,0,0,52.03,2,4.252600000000003
19.58,26.57,19.96,12.19,20.85,340.37,206.26,134.12,283.23,57.14,58.19,5.79,27.78,3.89,17.82,251.48,157.5,3.0,3.0,0.22,2.0,2.0,1.0,1.0,0.0,0.0,225.089,31.09,1.77,445.0,191.0,15.0,4.95,12,9,2,0,0,0,37.03,2,2.4312000000000005
24.28,35.85,22.39,14.59,24.7,408.89,195.07,213.82,377.29,31.6,69.32,6.93,27.57,3.56,26.03,279.37,182.8,3.0,4.0,0.1,0.0,2.0,1.0,1.0,0.0,0.0,316.98,38.33,1.79,882.0,316.0,17.0,3.13,14,10,1,1,0,0,43.04,2,3.9990000000000014
24.57,19.46,25.62,28.64,24.7,398.61,294.97,103.64,365.66,32.95,65.85,5.78,41.49,4.61,18.46,342.03,209.35,3.0,4.0,0.5,0.0,3.0,2.0,4.0,0.0,0.0,271.154,42.13,1.68,1070.0,380.0,19.0,2.24,15,12,0,2,0,0,46.03,2,3.1393000000000013
23.73,29.04,25.46,16.69,25.08,389.9,243.79,146.12,336.17,53.74,67.82,5.86,37.31,4.63,9.23,309.55,197.13,3.0,4.0,0.08,0.0,3.0,0.0,0.0,0.0,0.0,263.134,42.13,1.68,1070.0,380.0,19.0,2.16,15,13,0,1,0,0,46.02,2,4.373800000000003
22.98,19.59,21.74,27.61,25.24,403.62,237.12,166.5,297.39,106.23,57.88,5.77,40.13,4.3,0.0,294.35,190.44,2.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,265.09,38.43,1.82,816.0,307.0,18.0,0.42,14,12,0,0,0,1,43.02,2,3.4292000000000016
19.12,16.54,12.25,28.56,20.12,347.28,195.23,152.05,332.95,14.33,56.08,6.06,25.87,3.5,17.82,234.24,150.62,1.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,223.073,30.69,1.66,487.0,199.0,13.0,2.74,12,9,2,0,0,0,37.03,2,2.6348000000000003
20.52,30.14,18.8,12.62,20.41,356.4,246.52,109.87,320.89,35.51,58.55,6.0,24.76,3.55,12.36,254.47,161.4,1.0,2.0,0.3,0.0,1.0,1.0,1.0,0.0,0.0,224.101,30.69,1.66,487.0,199.0,13.0,4.82,12,10,1,0,0,0,37.02,2,3.032000000000001
19.95,29.77,18.26,11.83,19.75,349.04,248.85,100.19,316.32,32.72,58.35,5.93,23.03,3.42,24.39,242.38,155.88,1.0,2.0,0.22,0.0,1.0,2.0,2.0,1.0,1.0,225.089,30.69,1.66,487.0,199.0,13.0,2.87,12,9,2,0,0,0,37.03,2,1.7989
21.47,19.81,31.8,12.79,21.67,371.04,250.61,120.43,319.26,51.78,60.79,6.2,23.6,3.5,12.36,245.43,163.74,1.0,2.0,0.22,0.0,1.0,1.0,1.0,0.0,0.0,242.13,30.69,1.66,487.0,199.0,13.0,3.28,12,9,1,0,1,0,37.03,2,2.9425000000000017
22.1,18.99,16.29,31.03,21.53,347.03,259.29,87.73,316.83,30.2,58.46,6.38,29.59,3.53,24.06,270.78,173.17,1.0,2.0,0.5,0.0,1.0,2.0,2.0,2.0,2.0,247.15,30.74,1.68,474.0,197.0,13.0,1.51,12,8,2,0,1,0,37.04,2,1.7445
21.9,18.98,16.16,30.55,22.44,355.92,222.5,133.42,336.21,19.71,57.84,6.18,29.17,3.61,12.03,262.88,171.12,1.0,2.0,0.33,0.0,1.0,1.0,1.0,1.0,1.0,244.15,30.69,1.66,487.0,199.0,13.0,2.06,12,9,1,0,1,0,37.03,2,2.7841000000000014
24.79,22.09,19.12,33.16,24.85,397.2,248.45,148.75,393.56,3.64,65.84,6.6,36.9,3.81,3.24,336.48,204.03,2.0,3.0,0.5,0.0,2.0,1.0,1.0,0.0,0.0,254.171,37.63,1.68,953.0,329.0,16.0,1.62,14,12,1,0,0,0,43.02,2,3.4350000000000023
24.27,19.24,20.78,32.79,24.55,390.32,272.01,118.31,377.65,12.67,63.0,6.65,35.32,3.83,15.27,326.9,199.5,2.0,3.0,0.45,0.0,2.0,2.0,2.0,1.0,1.0,255.159,37.63,1.68,953.0,329.0,16.0,1.02,14,11,2,0,0,0,43.03,2,1.8543
23.74,20.66,18.34,32.21,23.76,394.66,269.63,125.03,375.46,19.2,62.86,6.68,34.64,3.7,12.47,322.17,196.32,2.0,3.0,0.45,0.0,2.0,2.0,3.0,0.0,0.0,256.143,37.63,1.68,953.0,329.0,16.0,1.17,14,11,1,1,0,0,43.03,2,2.2813
22.85,22.32,32.36,13.86,23.74,391.02,205.02,186.01,378.96,12.06,69.08,6.64,29.2,3.78,12.03,283.09,182.44,2.0,3.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,248.123,37.63,1.68,953.0,329.0,16.0,3.62,14,12,1,0,0,0,43.02,2,4.192700000000002
21.86,21.51,16.19,27.89,23.35,386.52,206.91,179.61,324.02,62.5,62.5,6.08,33.11,3.7,9.23,279.78,179.97,2.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,249.107,37.63,1.68,953.0,329.0,16.0,1.3,14,12,0,1,0,0,43.02,2,4.241400000000002
23.84,24.41,33.84,13.26,25.19,395.6,217.72,177.87,382.46,13.14,70.21,6.46,26.18,4.03,25.78,269.61,180.65,2.0,3.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,313.98,38.8,1.86,783.0,301.0,18.0,1.28,14,10,2,0,0,0,43.04,2,3.6686000000000014
22.64,29.22,25.13,13.57,23.74,388.91,205.83,183.08,376.78,12.13,69.14,5.95,31.0,4.06,12.03,282.95,182.41,2.0,3.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,248.123,37.81,1.72,903.0,322.0,16.0,3.99,14,12,1,0,0,0,43.02,2,4.192700000000002
21.75,22.99,26.88,15.38,23.35,384.5,207.36,177.14,322.17,62.34,64.17,5.73,33.02,4.0,9.23,279.7,179.94,2.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,249.107,37.81,1.72,903.0,322.0,16.0,1.68,14,12,0,1,0,0,43.02,2,4.241400000000002
21.21,22.45,26.31,14.88,22.56,386.56,209.59,176.97,329.45,57.12,61.75,5.7,33.92,4.11,22.12,272.3,175.66,2.0,3.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,250.095,37.81,1.72,903.0,322.0,16.0,4.9,14,11,1,1,0,0,43.03,2,3.636400000000002
21.19,22.12,26.49,14.97,22.5,383.94,199.71,184.23,328.63,55.3,61.04,5.7,32.18,3.91,22.12,272.1,175.68,2.0,3.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,250.095,37.81,1.72,903.0,322.0,16.0,3.55,14,11,1,1,0,0,43.03,2,3.636400000000002
24.28,24.04,18.92,29.89,24.85,381.59,255.23,126.36,377.93,3.66,65.21,5.94,38.32,3.99,3.24,335.42,204.09,2.0,3.0,0.5,0.0,2.0,1.0,1.0,0.0,0.0,254.171,38.07,1.76,860.0,315.0,17.0,1.71,14,12,1,0,0,0,43.02,2,3.4350000000000023
23.88,16.31,29.63,25.7,24.06,388.42,241.7,146.72,375.0,13.42,69.02,6.04,35.62,4.36,12.36,313.76,195.81,2.0,3.0,0.42,0.0,1.0,1.0,1.0,0.0,0.0,252.155,38.07,1.76,860.0,315.0,17.0,2.56,14,12,1,0,0,0,43.02,2,4.485700000000002
22.82,27.14,24.29,17.04,22.98,387.09,255.82,131.27,360.03,27.06,63.73,5.85,38.34,4.71,18.46,310.96,192.36,2.0,3.0,0.45,0.0,2.0,2.0,4.0,0.0,0.0,257.127,38.07,1.76,860.0,315.0,17.0,4.77,14,11,0,2,0,0,43.03,2,3.3545000000000016
19.08,17.16,12.57,27.52,20.13,348.52,205.0,143.51,333.81,14.7,55.55,6.02,25.61,3.4,17.82,234.49,150.63,1.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,223.073,30.74,1.68,474.0,197.0,13.0,1.81,12,9,2,0,0,0,37.03,2,2.6348000000000003
20.13,14.97,17.42,27.99,19.22,347.46,232.61,114.86,324.02,23.44,55.1,6.13,28.83,3.5,27.05,266.15,162.93,1.0,2.0,0.62,0.0,1.0,2.0,3.0,0.0,0.0,231.093,30.74,1.68,474.0,197.0,13.0,4.55,12,8,2,1,0,0,37.04,2,2.3447
22.23,26.5,23.51,16.68,22.21,380.27,221.1,159.16,351.63,28.63,62.77,5.86,37.7,4.22,31.35,303.61,188.12,2.0,3.0,0.5,0.0,2.0,3.0,5.0,0.0,0.0,258.115,38.07,1.76,860.0,315.0,17.0,4.69,14,10,1,2,0,0,43.04,2,2.7495000000000003
22.35,28.93,21.73,16.39,22.61,419.3,272.44,146.87,382.38,36.92,66.3,6.48,34.47,3.86,41.13,315.67,197.02,9.0,9.0,0.25,0.0,2.0,1.0,2.0,2.0,2.0,202.257,40.67,2.1,1215.0,404.0,17.0,5.19,15,12,2,1,0,0,15.03,1,2.2199
24.26,24.32,32.16,16.3,24.05,447.33,250.17,197.16,398.44,48.89,72.62,6.95,34.93,4.17,38.33,328.83,208.26,10.0,10.0,0.25,0.0,3.0,2.0,3.0,1.0,1.0,237.68,45.0,2.3,1492.0,480.0,19.0,4.58,16,12,1,2,0,0,16.04,1,3.300300000000002
22.02,29.53,21.6,14.93,22.16,431.89,272.86,159.03,382.66,49.23,67.81,6.8,31.12,3.6,38.33,312.84,194.45,9.0,9.0,0.25,0.0,3.0,2.0,3.0,1.0,1.0,203.241,40.67,2.1,1215.0,404.0,17.0,2.9,15,12,1,2,0,0,15.03,1,2.6469000000000005
23.05,23.95,30.17,15.03,22.92,453.94,335.14,118.8,337.27,116.67,71.86,6.57,34.4,4.45,69.44,332.08,205.83,11.0,11.0,0.25,0.0,4.0,3.0,7.0,0.0,0.0,233.223,49.74,2.24,1836.0,564.0,23.0,4.68,17,12,1,4,0,0,17.05,1,2.1634
19.38,17.99,16.04,24.11,18.71,362.55,272.8,89.75,339.52,23.03,55.39,5.85,32.25,3.65,18.46,300.22,176.02,6.0,6.0,0.8,0.0,2.0,2.0,4.0,0.0,0.0,168.236,29.61,2.28,506.0,205.0,13.0,2.62,12,10,0,2,0,0,12.02,1,1.9414
24.87,25.22,31.59,17.81,24.75,470.38,353.92,116.47,361.64,108.74,72.42,6.64,40.05,4.46,69.44,362.48,222.98,12.0,12.0,0.31,0.0,5.0,3.0,7.0,0.0,0.0,247.25,54.19,2.42,2197.0,657.0,26.0,4.69,18,13,1,4,0,0,18.05,1,2.5535000000000005
26.99,28.1,30.77,22.09,26.93,408.19,317.32,90.88,386.94,21.25,72.09,6.09,44.21,4.78,20.23,409.45,244.21,10.0,10.0,0.73,0.0,3.0,1.0,2.0,1.0,1.0,220.356,46.78,2.56,1229.0,438.0,23.0,1.81,16,15,0,1,0,0,16.01,1,3.677400000000003
19.3,19.3,22.78,15.82,19.05,362.46,275.99,86.46,299.13,63.32,56.03,5.68,32.78,4.01,40.46,291.33,178.3,12.0,11.0,0.6,0.0,4.0,2.0,4.0,2.0,2.0,168.236,27.57,3.42,654.0,233.0,12.0,1.53,12,10,0,2,0,0,11.02,0,1.0894
21.95,18.36,22.16,25.34,21.2,414.04,320.83,93.21,381.0,33.04,63.66,6.03,34.03,3.91,29.46,358.56,203.97,13.0,12.0,0.82,0.0,5.0,2.0,4.0,1.0,1.0,184.279,31.83,3.68,792.0,280.0,14.0,2.31,13,11,0,2,0,0,12.02,0,1.9659
23.96,24.77,27.3,19.8,23.04,450.98,342.51,108.47,419.82,31.16,69.71,6.33,37.77,4.44,29.46,390.15,221.08,14.0,13.0,0.83,0.0,6.0,2.0,4.0,1.0,1.0,198.306,35.41,3.73,1049.0,349.0,15.0,2.32,14,12,0,2,0,0,13.02,0,2.3560000000000008
29.29,36.07,29.09,22.7,27.91,529.95,399.34,130.61,505.84,24.1,87.46,7.9,42.96,4.84,20.23,459.76,262.87,16.0,15.0,0.87,0.0,8.0,1.0,2.0,1.0,1.0,224.388,41.53,3.47,2063.0,562.0,16.0,1.85,16,15,0,1,0,0,15.01,0,4.003300000000003
39.18,32.3,41.91,43.34,37.14,670.86,511.81,159.05,646.85,24.01,110.64,8.16,55.55,5.86,20.23,610.54,347.94,21.0,20.0,0.9,0.0,12.0,1.0,2.0,1.0,1.0,294.523,60.68,3.54,5987.0,1274.0,22.0,1.85,21,20,0,1,0,0,20.01,0,5.809700000000007
19.51,18.59,15.69,24.27,18.68,406.4,296.39,110.01,381.81,24.6,60.19,6.61,31.55,3.86,20.23,308.53,177.41,11.0,10.0,0.8,0.0,5.0,1.0,2.0,1.0,1.0,154.253,23.81,3.23,519.0,188.0,10.0,1.8,11,10,0,1,0,0,10.01,0,2.341
21.6,20.04,17.18,27.59,20.52,430.02,316.82,113.2,406.23,23.78,65.74,7.27,33.17,3.87,20.23,339.01,194.41,12.0,11.0,0.82,0.0,6.0,1.0,2.0,1.0,1.0,168.28,26.89,3.19,756.0,249.0,11.0,1.81,12,11,0,1,0,0,11.01,0,2.7311000000000014
25.82,23.0,20.17,34.29,24.22,494.38,367.04,127.34,470.99,23.4,77.86,8.54,28.73,3.83,20.23,400.03,228.33,14.0,13.0,0.85,0.0,8.0,1.0,2.0,1.0,1.0,196.334,33.26,3.13,1462.0,408.0,13.0,1.81,14,13,0,1,0,0,13.01,0,3.511300000000002
19.85,18.79,16.8,23.96,19.19,414.93,315.53,99.4,393.27,21.66,59.28,6.26,36.73,4.12,18.46,299.5,179.14,12.0,11.0,0.6,0.0,5.0,2.0,4.0,0.0,0.0,168.236,26.68,3.18,748.0,249.0,11.0,2.69,12,10,0,2,0,0,11.02,0,1.965
