'0415_LS001_wellLabel','0415_LS001_wallTag','0415_LS001_PL_pos','0415_LS001_PL_pos_s','0415_LS001_PL_FWHM','0415_LS001_PL_FWHM_s','0415_LS001_PL_height','0415_LS001_PL_height_s','0415_LS001_PL_area','0415_LS001_PL_area_s','0415_LS001_PL_sum','0415_LS001_PL_OD390','0415_LS001_PL_sum/OD390','0415_LS001_PL_ref','0415_LS001_PL_FOM'
A1,1,509.763,0.129505,21.6355,0.467373,5028.5,292.578,170893,7614.7,60774,1.53821,39509.5,40090.8,0.955737
A2,1,509.776,0.128505,21.6454,0.463824,5099.22,294.314,173376,7663.52,61721,1.47746,41775.1,43470.4,1.01054
A3,1,509.906,0.129297,21.7352,0.467248,5134.09,297.357,175285,7776.25,62248,1.49613,41606,40085.2,1.00645
A4,1,509.892,0.132651,21.7696,0.479559,5155.11,305.984,176282,8015.05,62490,1.51663,41203.1,43467.8,0.996706
A5,1,509.914,0.129362,21.7062,0.467321,5205.56,301.924,177489,7884.73,63176,1.54735,40828.5,39417.3,0.987643
A6,3,509.936,0.131538,21.7507,0.475448,5125.36,301.859,175113,7899.87,62100,1.54898,40090.8,41497.5,0.9698
A7,1,509.975,0.133518,21.8921,0.483447,5191.04,308.98,178510,8140.98,63221,1.55917,40547.9,38987.4,0.980856
A8,1,509.883,0.12618,21.886,0.456801,5413.09,304.515,186094,8020.96,66582,1.56599,42517.4,43697.8,1.0285
A9,1,509.874,0.125071,21.8276,0.452465,5566.83,310.973,190868,8168.28,68425,1.54429,44308.4,,1.07182
A10,1,509.79,0.124281,21.7751,0.449286,6056.28,336.698,207150,8821.78,74441,1.57054,47398.3,,1.14657
A11,1,509.614,0.120491,21.5856,0.434517,6591.95,357.354,223510,9278.11,81538,1.51225,53918.3,,1.30429
A12,3,509.886,0.132119,21.7207,0.477351,5740.31,339.87,195852,8881.82,69470,1.5981,43470.4,,1.05155
B1,1,509.74,0.129739,21.7002,0.46857,4771.51,277.554,162644,7246.12,57819,1.49152,38765.2,,0.937733
B2,1,509.814,0.130889,21.7826,0.473226,4761.41,278.725,162916,7305.48,57806,1.43533,40273.7,,0.974223
B3,1,509.922,0.130575,21.7683,0.472064,5067.6,296.106,173279,7755.83,61423,1.48699,41307,,0.999219
B4,1,509.907,0.130342,21.7603,0.471168,4891.56,285.376,167198,7471.91,59423,1.44613,41091.1,,0.993996
B5,1,509.923,0.12973,21.6638,0.468417,5240.54,305.227,178332,7954.8,63432,1.52763,41523,,1.00444
B6,2,,,,,,,,,,,,,
B7,1,509.897,0.126954,21.8663,0.459504,5529.84,313.189,189936,8241.72,68100,1.52421,44678.7,,1.08078
B8,1,509.906,0.127761,21.8326,0.462239,5636.34,321.588,193296,8449.17,68979,1.53021,45078.1,,1.09044
B9,1,509.81,0.12548,21.7933,0.453728,5751.15,322.641,196878,8460.87,70810,1.59168,44487.5,,1.07616
B10,1,509.556,0.120973,21.6435,0.436535,6552.68,355.972,222775,9267.99,81167,1.51978,53407,,1.29192
B11,1,509.655,0.120308,21.6109,0.434009,6417.47,347.106,217850,9023.09,79182,1.55471,50930.5,,1.23201
B12,2,,,,,,,,,,,,,
C1,1,509.836,0.131588,21.7679,0.47568,5039.33,296.713,172309,7771.5,61123,1.60202,38153.7,,0.922941
C2,1,509.73,0.124655,21.6125,0.449729,5289.82,296.46,179583,7707.15,64161,1.42764,44941.9,,1.08715
C3,1,509.862,0.128554,21.7558,0.46466,5157.49,296.79,176252,7769.07,62766,1.49343,42028,,1.01666
C4,1,509.935,0.130937,21.6972,0.472971,4886.17,286.937,166530,7490.15,59095,1.50161,39354.3,,0.951984
C5,1,510.007,0.128082,21.6068,0.462187,4984.78,287.185,169182,7464.14,60148,1.43707,41854.6,,1.01247
