,Vial Site,Reagent1 (ul),Reagent2 (ul),Reagent3 (ul),Reagent4 (ul),Reagent5 (ul),Reagent6 (ul),Reagent7 (ul),Reagent8 (ul),Reagent9 (ul),Reagent10 (ul),Labware ID:,Reaction Parameters,Parameter Values,Reagents,Reagent Name,Reagent Identity,Reagent Concentration (uM),Liquid Class
0,A1,422.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,Symyx_96_well_0003,Temperature (C):,25.0,Reagent1,m-Xylene,,,mk_HighVolume_EtOH_DispenseJet_Empty
1,C1,410.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,Symyx_96_well_0003,Stir Rate (rpm):,750.0,Reagent2,Tributylamine,14.0,100.0,mk_Tip_50ul_EtOH_DispenseJet_Empty
2,E1,433.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,Symyx_96_well_0003,Mixing time1 (s):,600.0,Reagent3,Tributylamine,14.0,1000.0,mk_Tip_50ul_EtOH_DispenseJet_Empty
3,G1,445.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,Symyx_96_well_0003,Mixing time2 (s):,600.0,Reagent4,Octylphosphonic acid,9.0,100.0,mk_Tip_50ul_EtOH_DispenseJet_Empty
4,B1,337.0,0.0,0.0,0.0,0.0,113.0,0.0,0.0,0.0,50,Symyx_96_well_0003,Reaction time (s):,60.0,Reagent5,Octylphosphonic acid,9.0,1000.0,mk_Tip_50ul_EtOH_DispenseJet_Empty
5,D1,397.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,50,Symyx_96_well_0003,,,Reagent6,Tributylamine,14.0,100.0,mk_StandardVolume_EtOH_DispenseJet_Empty
6,F1,373.0,0.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,50,Symyx_96_well_0003,,,Reagent7,Tributylamine,14.0,1000.0,mk_StandardVolume_EtOH_DispenseJet_Empty
7,H1,386.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,50,Symyx_96_well_0003,,,Reagent8,Octylphosphonic acid,9.0,100.0,mk_StandardVolume_EtOH_DispenseJet_Empty
8,A2,264.0,0.0,0.0,0.0,0.0,186.0,0.0,0.0,0.0,50,Symyx_96_well_0003,,,Reagent9,Octylphosphonic acid,9.0,1000.0,mk_StandardVolume_EtOH_DispenseJet_Empty
9,C2,331.0,0.0,0.0,0.0,0.0,119.0,0.0,0.0,0.0,50,Symyx_96_well_0003,,,Reagent10,CPB20220415001,,,mk_Tip_50ul_EtOH_DispenseJet_Empty
10,E2,251.0,0.0,0.0,0.0,0.0,199.0,0.0,0.0,0.0,50,Symyx_96_well_0003,,,,,,,
11,G2,361.0,0.0,0.0,0.0,0.0,89.0,0.0,0.0,0.0,50,Symyx_96_well_0003,,,,,,,
12,B2,275.0,0.0,0.0,0.0,0.0,175.0,0.0,0.0,0.0,50,Symyx_96_well_0003,,,,,,,
13,D2,300.0,0.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,50,Symyx_96_well_0003,,,,,,,
14,F2,348.0,0.0,0.0,0.0,0.0,102.0,0.0,0.0,0.0,50,Symyx_96_well_0003,,,,,,,
15,H2,324.0,0.0,0.0,0.0,0.0,126.0,0.0,0.0,0.0,50,Symyx_96_well_0003,,,,,,,
16,A3,312.0,0.0,0.0,0.0,0.0,138.0,0.0,0.0,0.0,50,Symyx_96_well_0003,,,,,,,
17,C3,288.0,0.0,0.0,0.0,0.0,162.0,0.0,0.0,0.0,50,Symyx_96_well_0003,,,,,,,
18,E3,355.0,0.0,0.0,0.0,0.0,95.0,0.0,0.0,0.0,50,Symyx_96_well_0003,,,,,,,
19,G3,380.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,50,Symyx_96_well_0003,,,,,,,
20,B3,401.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,50,Symyx_96_well_0003,,,,,,,
21,D3,427.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,50,Symyx_96_well_0003,,,,,,,
22,F3,430.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,50,Symyx_96_well_0003,,,,,,,
23,H3,407.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,50,Symyx_96_well_0003,,,,,,,
24,A4,412.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,50,Symyx_96_well_0003,,,,,,,
25,C4,424.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,50,Symyx_96_well_0003,,,,,,,
26,E4,416.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,50,Symyx_96_well_0003,,,,,,,
27,G4,420.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,50,Symyx_96_well_0003,,,,,,,
28,B4,358.0,0.0,0.0,0.0,0.0,0.0,92.0,0.0,0.0,50,Symyx_96_well_0003,,,,,,,
29,D4,378.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,50,Symyx_96_well_0003,,,,,,,
30,F4,255.0,0.0,0.0,0.0,0.0,0.0,195.0,0.0,0.0,50,Symyx_96_well_0003,,,,,,,
31,H4,394.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,50,Symyx_96_well_0003,,,,,,,
32,A5,316.0,0.0,0.0,0.0,0.0,0.0,134.0,0.0,0.0,50,Symyx_96_well_0003,,,,,,,
33,C5,229.0,0.0,0.0,0.0,0.0,0.0,221.0,0.0,0.0,50,Symyx_96_well_0003,,,,,,,
34,E5,369.0,0.0,0.0,0.0,0.0,0.0,81.0,0.0,0.0,50,Symyx_96_well_0003,,,,,,,
35,G5,387.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,50,Symyx_96_well_0003,,,,,,,
36,B5,332.0,0.0,0.0,0.0,0.0,0.0,118.0,0.0,0.0,50,Symyx_96_well_0003,,,,,,,
37,D5,298.0,0.0,0.0,0.0,0.0,0.0,152.0,0.0,0.0,50,Symyx_96_well_0003,,,,,,,
38,F5,278.0,0.0,0.0,0.0,0.0,0.0,172.0,0.0,0.0,50,Symyx_96_well_0003,,,,,,,
39,H5,346.0,0.0,0.0,0.0,0.0,0.0,104.0,0.0,0.0,50,Symyx_96_well_0003,,,,,,,
40,A6,450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,Symyx_96_well_0003,,,,,,,
41,C6,450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,Symyx_96_well_0003,,,,,,,
