'0421_SL1_wellLabel','0421_SL1_wallTag','0421_SL1_PL_pos','0421_SL1_PL_pos_s','0421_SL1_PL_FWHM','0421_SL1_PL_FWHM_s','0421_SL1_PL_height','0421_SL1_PL_height_s','0421_SL1_PL_area','0421_SL1_PL_area_s','0421_SL1_PL_sum','0421_SL1_PL_OD390','0421_SL1_PL_sum/OD390','0421_SL1_PL_ref','0421_SL1_PL_FOM','0421_SL1_PL_sum/OD390_a','0421_SL1_PL_sum/OD390_b','0421_SL1_PL_FOM_a','0421_SL1_PL_FOM_b','0421_SL1_conc'
A1,1,513.52,0.144056,20.0479,0.511469,1804.61,123.528,56829,2970.88,20127,1.19963,16777.7,16384.7,1.19866,16777.7,,1.19866,,3.4
A2,1,513.664,0.14608,20.1212,0.51917,2199.07,152.27,69504.5,3676.1,24594,1.28907,19078.9,15680.1,1.36307,19078.9,,1.36307,,12.8
A3,1,513.782,0.145986,20.201,0.51938,2211.07,152.592,70160.9,3699.06,24768,1.25962,19663.1,14351.8,1.4048,19663.1,,1.4048,,15.4
A4,1,513.7,0.144407,20.1656,0.513516,3068.01,209.688,97182.4,5073.87,34353,1.16671,29444.3,13281.2,2.10361,29444.3,,2.10361,,52
A5,1,513.552,0.144039,20.1862,0.512288,3917.45,266.843,124216,6463.66,43910,0.865976,50705.8,13414.8,3.62261,50705.8,,3.62261,,304
A6,3,513.556,0.143956,20.061,0.511209,1625.6,111.149,51225.4,2675,18159,1.10829,16384.7,13476,1.17058,16384.7,,1.17058,,0
A7,1,513.588,0.14562,20.1262,0.517541,1757.13,121.258,55550.2,2928.14,19663,1.16075,16939.9,12886.3,1.21025,,16939.9,,1.21025,5.6
A8,1,513.52,0.143659,20.1521,0.510713,1879.36,127.826,59490.8,3090.85,21067,1.19559,17620.6,12501.5,1.25888,,17620.6,,1.25888,17.8
A9,1,513.574,0.145313,20.1004,0.516283,1935.06,133.375,61096.9,3216.43,21637,1.17334,18440.5,,1.31745,,18440.5,,1.31745,20.4
A10,1,513.271,0.144299,20.0687,0.512384,2473.72,169.462,77981.1,4079.97,27630,1.11328,24818.6,,1.77313,,24818.6,,1.77313,52
A11,1,513.095,0.144756,20.1848,0.514679,3517.83,240.748,111537,5831.01,39437,1.17325,33613.5,,2.40147,,33613.5,,2.40147,126
A12,3,513.64,0.145297,20.1419,0.51651,1664.39,114.546,52659.2,2768.29,18665,1.19036,15680.1,,1.12024,,15680.1,,1.12024,0
B1,1,513.675,0.145166,20.136,0.516018,1798.95,123.722,56899.9,2989.17,20122,1.20017,16766,,1.19782,16766,,1.19782,,10.6
B2,1,513.752,0.146663,20.1979,0.52176,2317.56,160.697,73528.7,3894.92,25955,1.23258,21057.4,,1.50442,21057.4,,1.50442,,20.4
B3,1,513.44,0.145271,20.1376,0.516326,3359.67,231.178,106273,5585.71,37607,1.11089,33853,,2.41858,33853,,2.41858,,98
B4,1,513.646,0.144416,20.242,0.51401,3856.7,262.903,122628,6386.53,43310,0.877728,49343.3,,3.52526,49343.3,,3.52526,,442
B5,1,513.586,0.145087,20.2144,0.516206,3971.73,272.251,126113,6604.24,44557,0.977502,45582.5,,3.25658,45582.5,,3.25658,,268
B6,2,,,,,,,,,,,,,,,,,,0
B7,1,513.521,0.14424,20.1805,0.512956,1954.17,133.32,61946.1,3228.42,21908,1.1337,19324.4,,1.3806,,19324.4,,1.3806,32.4
B8,1,513.55,0.143548,20.1526,0.510332,1976.2,134.309,62558,3247.72,22133,1.20067,18433.8,,1.31698,,18433.8,,1.31698,30
B9,1,513.44,0.14677,20.1999,0.522051,2432,168.707,77167.1,4089.4,27271,1.25539,21723.1,,1.55198,,21723.1,,1.55198,40
B10,1,513.145,0.145722,20.2786,0.518724,4087.63,280.709,130205,6831.7,45994,1.2467,36892.5,,2.63574,,36892.5,,2.63574,304
B11,1,513.105,0.147097,20.2837,0.523638,3611.38,250.293,115064,6093.03,40609,1.2531,32406.8,,2.31526,,32406.8,,2.31526,184
B12,2,,,,,,,,,,,,,,,,,,0
C1,1,513.657,0.14581,20.163,0.518472,1785.63,123.234,56554.5,2981.52,19982,1.25003,15985.2,,1.14204,15985.2,,1.14204,,8
C2,1,513.768,0.143669,20.0893,0.510434,2323.73,158.434,73328.1,3818.62,25945,1.16795,22214.2,,1.58706,22214.2,,1.58706,,14
C3,1,513.847,0.143781,20.1051,0.510955,2646.29,180.478,83572.4,4353.48,29582,1.28904,22948.8,,1.63955,22948.8,,1.63955,,25.2
C4,1,513.669,0.144987,20.1529,0.515488,2842.96,195.169,89997.1,4719.45,31838,1.15424,27583.5,,1.97066,27583.5,,1.97066,,68
C5,1,513.759,0.145515,20.2549,0.518041,3559.24,244.383,113242,5940.62,39968,0.896161,44599.1,,3.18632,44599.1,,3.18632,,390
C6,3,513.731,0.147369,20.2425,0.524552,1453.61,101.12,46220.2,2456.52,16322,1.13728,14351.8,,1.02535,14351.8,,1.02535,,0
C7,1,513.81,0.143177,20.0798,0.50864,1702.42,115.717,53696.5,2787.67,19038,1.22968,15482,,1.10609,,15482,,1.10609,3.4
C8,1,513.576,0.145887,20.1583,0.518693,1926.28,133.026,60994.8,3217.63,21576,1.1968,18028,,1.28799,,18028,,1.28799,27.6
C9,1,513.524,0.144638,20.0873,0.513786,2104.39,144.432,66400,3480.74,23524,1.18033,19930,,1.42387,,19930,,1.42387,37.2
C10,1,513.288,0.147592,20.2137,0.525013,2515.15,175.35,79860,4253.39,28229,1.14852,24578.7,,1.75599,,24578.7,,1.75599,68
C11,1,513.152,0.142328,20.1765,0.506012,3878.53,261.066,122923,6320.43,43521,1.19758,36340.9,,2.59632,,36340.9,,2.59632,390
C12,3,513.737,0.143422,20.0374,0.50922,1440.9,98.2484,45351.8,2361.65,16100,1.21224,13281.2,,0.94886,,13281.2,,0.94886,0
D1,1,513.709,0.144488,20.1164,0.513494,2407.26,164.902,76066.4,3980.06,26927,1.21375,22185,,1.58497,22185,,1.58497,,35
D2,1,513.857,0.145171,20.1273,0.516038,2306.3,158.689,72915.6,3832.29,25798,1.18666,21740,,1.55319,21740,,1.55319,,37.2
D3,1,513.948,0.145054,20.2036,0.516136,2624.65,179.983,83295,4363.68,29432,1.21251,24273.6,,1.73419,24273.6,,1.73419,,46
D4,1,513.544,0.144083,20.1243,0.512053,3487.41,238.132,110241,5749.84,39028,0.993594,39279.6,,2.80628,39279.6,,2.80628,,162
D5,1,513.583,0.145679,20.1935,0.518176,3288.09,226.47,104298,5487.8,36891,1.11161,33187.1,,2.37101,33187.1,,2.37101,,144
D6,2,,,,,,,,,,,,,,,,,,0
D7,1,513.886,0.144054,20.1338,0.512118,1652.2,112.784,52252.6,2724.63,18500,1.23753,14949.1,,1.06802,,14949.1,,1.06802,10.6
D8,1,513.779,0.14631,20.1447,0.520174,1609.52,111.541,50930.5,2696.11,18025,1.25089,14409.8,,1.02949,,14409.8,,1.02949,12.8
D9,1,513.379,0.14472,20.1521,0.514438,2980.19,204.176,94337.4,4936.97,33356,1.20877,27595.1,,1.97149,,27595.1,,1.97149,86
D10,1,513.206,0.141342,20.1282,0.502228,3653.04,244.605,115499,5907.19,40930,1.19654,34206.8,,2.44386,,34206.8,,2.44386,144
D11,1,513.2,0.142779,20.1265,0.507323,3365.51,227.656,106399,5497.4,37678,1.2126,31072.2,,2.21991,,31072.2,,2.21991,112
D12,2,,,,,,,,,,,,,,,,,,0
E1,1,513.474,0.146373,20.0691,0.519817,1329.52,92.3998,41912.5,2224.69,14832,1.14293,12977.1,,0.927134,12977.1,,0.927134,,1
E2,1,513.888,0.143237,20.1404,0.509255,2344.63,159.109,74175.7,3845.02,26251,1.22171,21487.2,,1.53512,21487.2,,1.53512,,32.4
E3,1,513.848,0.143913,20.0981,0.511379,2127.96,145.295,67179.5,3503.55,23791,1.20167,19798.3,,1.41446,19798.3,,1.41446,,19
E4,1,513.813,0.145362,20.1783,0.517026,2887.67,198.594,91527.8,4808.62,32360,1.20892,26767.8,,1.91239,26767.8,,1.91239,,60
