'0421_SL4_hp1_wellLabel','0421_SL4_hp1_wallTag','0421_SL4_hp1_PL_pos','0421_SL4_hp1_PL_pos_s','0421_SL4_hp1_PL_FWHM','0421_SL4_hp1_PL_FWHM_s','0421_SL4_hp1_PL_height','0421_SL4_hp1_PL_height_s','0421_SL4_hp1_PL_area','0421_SL4_hp1_PL_area_s','0421_SL4_hp1_PL_sum','0421_SL4_hp1_PL_OD390','0421_SL4_hp1_PL_sum/OD390','0421_SL4_hp1_PL_ref','0421_SL4_hp1_PL_FOM','0421_SL4_conc'
A1,1,513.393,0.143243,20.1128,0.508948,3019.96,205.071,95410,4948.58,33771,1.42126,23761.3,23037.7,1.03763,8
A2,1,513.222,0.147108,20.2101,0.523247,3540.71,246.059,112403,5967.43,39699,1.39208,28517.8,21773.5,1.24534,39.8
A3,1,513.485,0.147859,20.2411,0.526207,3345.65,233.484,106374,5671.57,37552,1.41696,26501.7,23665.9,1.1573,14
A4,1,513.227,0.147608,20.2648,0.525378,3912.03,272.273,124527,6621.75,43955,1.36974,32090.1,23121.2,1.40134,52
A5,1,513.243,0.141967,20.1489,0.50459,4727.78,317.749,149634,7681.84,52959,1.40213,37770.3,,1.64939,162
A6,3,513.583,0.145264,20.1896,0.516678,2922.16,200.721,92672.5,4862.88,32754,1.42176,23037.7,,1.00603,0
A7,0,,,,,,,,,,,,,,1
A8,0,,,,,,,,,,,,,,14
A9,0,,,,,,,,,,,,,,17.8
A10,0,,,,,,,,,,,,,,46
A11,0,,,,,,,,,,,,,,126
A12,0,,,,,,,,,,,,,,0
B1,1,513.319,0.145382,20.1782,0.516939,2872.68,197.524,91051.8,4782.53,32185,1.37329,23436.4,,1.02344,10.6
B2,1,513.239,0.146979,20.268,0.523162,3502.81,242.728,111518,5904.16,39354,1.37446,28632.4,,1.25035,32.4
B3,1,513.217,0.146475,20.2805,0.521441,4263.05,294.266,135806,7162.35,47946,1.38727,34561.3,,1.50925,86
B4,1,513.249,0.145497,20.2808,0.517972,4348.57,298.166,138533,7257.46,48898,1.39501,35052,,1.53068,144
B5,1,513.206,0.145818,20.3312,0.51942,4735.23,324.823,151225,7926.64,53367,1.33885,39860.2,,1.74065,344
B6,2,,,,,,,,,,,,,,0
B7,0,,,,,,,,,,,,,,32.4
B8,0,,,,,,,,,,,,,,22.6
B9,0,,,,,,,,,,,,,,60
B10,0,,,,,,,,,,,,,,390
B11,0,,,,,,,,,,,,,,344
B12,0,,,,,,,,,,,,,,0
C1,1,513.421,0.143366,20.0982,0.509302,2892.71,196.702,91323.4,4743.07,32317,1.42235,22720.8,,0.992192,1
C2,1,513.228,0.145686,20.2112,0.518198,3675.72,252.963,116696,6135.23,41240,1.29819,31767.4,,1.38725,37.2
C3,1,513.518,0.144304,20.2231,0.51345,3404.06,231.997,108135,5630.26,38200,1.39403,27402.6,,1.19664,19
C4,1,513.355,0.145358,20.2385,0.517244,3601.02,247.052,114478,6000.32,40437,1.30107,31079.8,,1.35722,40
C5,1,513.267,0.144389,20.2409,0.513783,4338.77,295.64,137948,7181.24,48752,1.30313,37411.4,,1.63372,184
C6,3,513.768,0.147414,20.3349,0.525319,2718.56,188.579,86836.3,4602.91,30599,1.40533,21773.5,,0.950826,0
C7,0,,,,,,,,,,,,,,8
C8,0,,,,,,,,,,,,,,19
C9,0,,,,,,,,,,,,,,15.4
C10,0,,,,,,,,,,,,,,86
C11,0,,,,,,,,,,,,,,208
C12,0,,,,,,,,,,,,,,0
D1,1,513.319,0.142447,20.096,0.505993,3115.46,210.493,98345.1,5074.99,34834,1.37381,25355.7,,1.10726,17.8
D2,1,513.358,0.144092,20.1596,0.512245,3358.55,229.035,106354,5540.22,37628,1.44719,26000.7,,1.13542,25.2
D3,1,513.251,0.142842,20.1731,0.507853,4478.22,302.579,141905,7324.22,50210,1.36292,36840.1,,1.60877,98
D4,1,513.201,0.144354,20.2258,0.513542,5001.7,340.891,158906,8273.94,56172,1.30794,42946.9,,1.87544,390
D5,1,513.359,0.14509,20.2606,0.516433,4604.52,315.079,146540,7661.18,51749,1.39321,37143.7,,1.62203,126
D6,2,,,,,,,,,,,,,,0
D7,0,,,,,,,,,,,,,,27.6
D8,0,,,,,,,,,,,,,,39.8
D9,0,,,,,,,,,,,,,,76
D10,0,,,,,,,,,,,,,,268
D11,0,,,,,,,,,,,,,,112
D12,0,,,,,,,,,,,,,,0
E1,1,513.43,0.141261,20.1267,0.502002,2956.41,197.888,93466.7,4778.66,33107,1.39455,23740.4,,1.03672,3.4
E2,1,513.457,0.147004,20.2568,0.523255,3266.42,226.509,103935,5506.57,36680,1.42725,25699.8,,1.12228,20.4
E3,1,513.428,0.144569,20.2534,0.514557,3465.42,236.351,110249,5744.84,38948,1.39899,27840.1,,1.21575,35
E4,1,513.44,0.145665,20.2677,0.518552,3819.22,262.329,121590,6380.94,42922,1.36257,31500.7,,1.3756,46
E5,1,513.41,0.145237,20.2923,0.517174,4391.62,300.497,139983,7318.56,49400,1.35982,36328.4,,1.58642,112
E6,3,513.876,0.144511,20.2426,0.514425,2961.96,202.071,94181.4,4909,33270,1.40582,23665.9,,1.03346,0
E7,0,,,,,,,,,,,,,,3.4
E8,0,,,,,,,,,,,,,,37.2
E9,0,,,,,,,,,,,,,,25.2
E10,0,,,,,,,,,,,,,,40
E11,0,,,,,,,,,,,,,,144
E12,0,,,,,,,,,,,,,,0
F1,1,513.328,0.14514,20.2017,0.516229,3001.56,205.876,95247.7,4990.79,33671,1.38303,24345.8,,1.06316,15.4
F2,1,513.31,0.143377,20.1819,0.509828,3453.64,234.163,109486,5670.73,38734,1.38141,28039.6,,1.22446,30
F3,1,513.26,0.144285,20.2411,0.513412,4293.93,292.371,136524,7101.9,48241,1.36497,35342.1,,1.54335,68
F4,1,513.247,0.143934,20.2133,0.511984,4644.63,315.78,147471,7659.59,52161,1.32844,39265,,1.71466,208
F5,1,513.142,0.145613,20.2342,0.518053,4198.41,288.541,133441,7006.34,47145,1.16009,40639.1,,1.77466,304
F6,2,,,,,,,,,,,,,,0
F7,0,,,,,,,,,,,,,,30
F8,0,,,,,,,,,,,,,,23.8
F9,0,,,,,,,,,,,,,,68
F10,0,,,,,,,,,,,,,,184
F11,0,,,,,,,,,,,,,,304
F12,0,,,,,,,,,,,,,,0
G1,1,513.358,0.143058,20.1677,0.50862,2731.91,184.913,86544.9,4474.79,30627,1.3591,22534.8,,0.984069,5.6
G2,1,513.394,0.143283,20.151,0.509329,3036.66,205.989,96119.9,4980.54,34042,1.43271,23760.6,,1.0376,12.8
G3,1,513.399,0.145295,20.2104,0.516858,3330.22,228.605,105722,5544.28,37369,1.37814,27115.5,,1.18411,22.6
G4,1,513.256,0.1474,20.335,0.5251,4090.68,283.628,130665,6922.74,46100,1.35653,33983.7,,1.48403,76
G5,1,513.164,0.143603,20.2458,0.510984,4306.26,291.757,136948,7088.67,48389,1.23234,39266,,1.7147,236
