'0421_SL4_wellLabel','0421_SL4_wallTag','0421_SL4_PL_pos','0421_SL4_PL_pos_s','0421_SL4_PL_FWHM','0421_SL4_PL_FWHM_s','0421_SL4_PL_height','0421_SL4_PL_height_s','0421_SL4_PL_area','0421_SL4_PL_area_s','0421_SL4_PL_sum','0421_SL4_PL_OD390','0421_SL4_PL_sum/OD390','0421_SL4_PL_ref','0421_SL4_PL_FOM','0421_SL4_PL_sum/OD390_a','0421_SL4_PL_sum/OD390_b','0421_SL4_PL_FOM_a','0421_SL4_PL_FOM_b','0421_SL4_conc'
A1,1,513.401,0.145906,20.1894,0.518897,2499.4,172.419,79264.8,4177.12,28002.0,1.34049,20889.3,22143.4,0.934441,20889.3,,0.934441,,8.0
A2,1,513.229,0.145344,20.2247,0.517068,3513.9,241.147,111633.0,5852.7,39438.0,1.34914,29231.9,24210.0,1.30763,29231.9,,1.30763,,39.8
A3,1,513.422,0.147079,20.2346,0.523367,3079.05,213.783,97865.5,5191.26,34566.0,1.36943,25241.2,22577.5,1.12911,25241.2,,1.12911,,14.0
A4,1,513.534,0.144064,20.1773,0.512317,3011.1,205.202,95435.4,4968.29,33767.0,1.483,22769.4,22221.7,1.01854,22769.4,,1.01854,,52.0
A5,1,513.168,0.144308,20.2231,0.51335,4079.14,277.943,129580.0,6745.2,45793.0,1.29472,35369.0,21663.7,1.58216,35369.0,,1.58216,,162.0
A6,3,513.635,0.145468,20.2165,0.517588,2792.89,191.939,88691.0,4656.55,31332.0,1.41496,22143.4,22848.1,0.990539,22143.4,,0.990539,,0.0
A7,1,513.582,0.145006,20.1864,0.515736,2733.8,187.469,86685.2,4541.07,30655.0,1.31843,23251.2,21418.8,1.0401,,23251.2,,1.0401,1.0
A8,1,513.584,0.144886,20.28,0.515905,3023.24,206.48,96307.7,5025.66,33992.0,1.44766,23480.7,21756.0,1.05036,,23480.7,,1.05036,14.0
A9,1,513.622,0.146546,20.2673,0.521747,3075.58,212.56,97913.4,5170.28,34562.0,1.42653,24228.0,,1.08379,,24228.0,,1.08379,17.8
A10,1,513.424,0.142417,20.2274,0.506735,3986.43,268.078,126661.0,6507.31,44809.0,1.39921,32024.5,,1.43255,,32024.5,,1.43255,46.0
