'0421_SL4_wellLabel','0421_SL4_wallTag','0421_SL4_PL_pos','0421_SL4_PL_pos_s','0421_SL4_PL_FWHM','0421_SL4_PL_FWHM_s','0421_SL4_PL_height','0421_SL4_PL_height_s','0421_SL4_PL_area','0421_SL4_PL_area_s','0421_SL4_PL_sum','0421_SL4_PL_OD390','0421_SL4_PL_sum/OD390',0421_SL4_PL_ref_a',0421_SL4_PL_ref_b','0421_SL4_PL_sum/OD390_a','0421_SL4_PL_sum/OD390_b',0421_SL4_PL_FOM','0421_SL4_PL_FOM_a','0421_SL4_PL_FOM_b','0421_SL4_conc'
A1,1,513.393,0.143243,20.1128,0.508948,3019.96,205.071,95410,4948.58,33771,1.42126,23761.3,23037.7,24210,23761.3,,1.037630611,1.037630611,,8
A2,1,513.222,0.147108,20.2101,0.523247,3540.71,246.059,112403,5967.43,39699,1.39208,28517.8,21773.5,22221.7,28517.8,,1.24534189,1.24534189,,39.8
A3,1,513.485,0.147859,20.2411,0.526207,3345.65,233.484,106374,5671.57,37552,1.41696,26501.7,23665.9,22848.1,26501.7,,1.157300954,1.157300954,,14
A4,1,513.227,0.147608,20.2648,0.525378,3912.03,272.273,124527,6621.75,43955,1.36974,32090.1,23121.2,21756,32090.1,,1.401340418,1.401340418,,52
A5,1,513.243,0.141967,20.1489,0.50459,4727.78,317.749,149634,7681.84,52959,1.40213,37770.3,,,37770.3,,1.64938869,1.64938869,,162
A6,3,513.583,0.145264,20.1896,0.516678,2922.16,200.721,92672.5,4862.88,32754,1.42176,23037.7,,,23037.7,,1.006031771,1.006031771,,0
A7,1,513.582,0.145006,20.1864,0.515736,2733.8,187.469,86685.2,4541.07,30655,1.31843,23251.2,,,,23251.2,1.021628854,,1.021628854,1
A8,1,513.584,0.144886,20.28,0.515905,3023.24,206.48,96307.7,5025.66,33992,1.44766,23480.7,,,,23480.7,1.031712799,,1.031712799,14
A9,1,513.622,0.146546,20.2673,0.521747,3075.58,212.56,97913.4,5170.28,34562,1.42653,24228,,,,24228,1.064548233,,1.064548233,17.8
A10,1,513.424,0.142417,20.2274,0.506735,3986.43,268.078,126661,6507.31,44809,1.39921,32024.5,,,,32024.5,1.407116761,,1.407116761,46
A11,1,513.26,0.144613,20.2359,0.514548,4879.49,333.056,155102,8088.04,54869,1.35915,40370,,,,40370,1.773807667,,1.773807667,126
A12,3,513.559,0.142682,20.1036,0.506951,2990.26,202.347,94428.6,4880.59,33464,1.38224,24210,,,,24210,1.063757335,,1.063757335,0
B1,1,513.319,0.145382,20.1782,0.516939,2872.68,197.524,91051.8,4782.53,32185,1.37329,23436.4,,,23436.4,,1.023442575,1.023442575,,10.6
B2,1,513.239,0.146979,20.268,0.523162,3502.81,242.728,111518,5904.16,39354,1.37446,28632.4,,,28632.4,,1.250346349,1.250346349,,32.4
B3,1,513.217,0.146475,20.2805,0.521441,4263.05,294.266,135806,7162.35,47946,1.38727,34561.3,,,34561.3,,1.509255084,1.509255084,,86
B4,1,513.249,0.145497,20.2808,0.517972,4348.57,298.166,138533,7257.46,48898,1.39501,35052,,,35052,,1.53068343,1.53068343,,144
B5,1,513.206,0.145818,20.3312,0.51942,4735.23,324.823,151225,7926.64,53367,1.33885,39860.2,,,39860.2,,1.740652392,1.740652392,,344
B6,2,,,,,,,,,,,,,,,,,,,0
B7,1,513.532,0.144645,20.2228,0.514667,3349.12,228.797,106388,5552.52,37614,1.42028,26483.5,,,,26483.5,1.163652102,,1.163652102,32.4
B8,1,513.641,0.145332,20.2837,0.517535,3282.24,224.84,104577,5473.57,36896,1.41538,26067.9,,,,26067.9,1.145391154,,1.145391154,22.6
B9,1,513.443,0.146076,20.2873,0.520141,4159.2,286.296,132542,6970.88,46797,1.43139,32693.3,,,,32693.3,1.436503002,,1.436503002,60
B10,1,513.229,0.145002,20.3667,0.516747,5938.09,404.573,189970,9890.69,67147,1.32186,50797.4,,,,50797.4,2.231974674,,2.231974674,390
B11,1,513.226,0.148847,20.4781,0.531173,5500.33,383.226,176929,9422.1,62346,1.32064,47209,,,,47209,2.074304834,,2.074304834,344
B12,2,,,,,,,,,,,,,,,,,,,0
C1,1,513.421,0.143366,20.0982,0.509302,2892.71,196.702,91323.4,4743.07,32317,1.42235,22720.8,,,22720.8,,0.992193087,0.992193087,,1
C2,1,513.228,0.145686,20.2112,0.518198,3675.72,252.963,116696,6135.23,41240,1.29819,31767.4,,,31767.4,,1.387248453,1.387248453,,37.2
C3,1,513.518,0.144304,20.2231,0.51345,3404.06,231.997,108135,5630.26,38200,1.39403,27402.6,,,27402.6,,1.196642296,1.196642296,,19
C4,1,513.355,0.145358,20.2385,0.517244,3601.02,247.052,114478,6000.32,40437,1.30107,31079.8,,,31079.8,,1.357221695,1.357221695,,40
C5,1,513.267,0.144389,20.2409,0.513783,4338.77,295.64,137948,7181.24,48752,1.30313,37411.4,,,37411.4,,1.63371591,1.63371591,,184
C6,3,513.768,0.147414,20.3349,0.525319,2718.56,188.579,86836.3,4602.91,30599,1.40533,21773.5,,,21773.5,,0.950825507,0.950825507,,0
C7,1,513.759,0.146979,20.317,0.523653,2793.67,193.336,89156.8,4714.69,31442,1.38426,22713.9,,,,22713.9,0.998020559,,0.998020559,8
C8,1,513.708,0.146267,20.2891,0.520918,2845.93,196.177,90699.7,4777.15,32007,1.39237,22987.4,,,,22987.4,1.010037809,,1.010037809,19
C9,1,513.674,0.14625,20.2836,0.520813,2882.05,198.677,91825.8,4836.65,32393,1.36954,23652.4,,,,23652.4,1.039257083,,1.039257083,15.4
C10,1,513.416,0.143584,20.2589,0.511082,4380.2,296.648,139389,7212.45,49251,1.30612,37708,,,,37708,1.656842693,,1.656842693,86
C11,1,513.289,0.144517,20.2955,0.514591,5733.43,390.291,182782,9506.94,64630,1.32857,48646.3,,,,48646.3,2.137458011,,2.137458011,208
C12,3,513.714,0.146563,20.2628,0.521807,2647.15,183.011,84255.3,4450.53,29757,1.3391,22221.7,,,,22221.7,0.976393902,,0.976393902,0
D1,1,513.319,0.142447,20.096,0.505993,3115.46,210.493,98345.1,5074.99,34834,1.37381,25355.7,,,25355.7,,1.107256357,1.107256357,,17.8
D2,1,513.358,0.144092,20.1596,0.512245,3358.55,229.035,106354,5540.22,37628,1.44719,26000.7,,,26000.7,,1.135422819,1.135422819,,25.2
D3,1,513.251,0.142842,20.1731,0.507853,4478.22,302.579,141905,7324.22,50210,1.36292,36840.1,,,36840.1,,1.608767848,1.608767848,,98
D4,1,513.201,0.144354,20.2258,0.513542,5001.7,340.891,158906,8273.94,56172,1.30794,42946.9,,,42946.9,,1.875445287,1.875445287,,390
D5,1,513.359,0.14509,20.2606,0.516433,4604.52,315.079,146540,7661.18,51749,1.39321,37143.7,,,37143.7,,1.622025736,1.622025736,,126
D6,2,,,,,,,,,,,,,,,,,,,0
D7,1,513.686,0.148141,20.3639,0.528073,3321.8,231.318,106256,5654.44,37433,1.42567,26256.3,,,,26256.3,1.153669216,,1.153669216,27.6
D8,1,513.631,0.144338,20.2359,0.513691,3563.8,242.854,113281,5897.67,40034,1.42171,28159,,,,28159,1.237271491,,1.237271491,39.8
D9,1,513.525,0.145286,20.3117,0.517508,4414.49,301.988,140846,7362.2,49723,1.37911,36054.3,,,,36054.3,1.584181168,,1.584181168,76
D10,1,513.35,0.144849,20.3473,0.516122,5503.75,374.867,175908,9155.5,62154,1.34032,46372.6,,,,46372.6,2.037554457,,2.037554457,268
D11,1,513.354,0.145917,20.3257,0.519789,4645.35,318.969,148315,7781.69,52370,1.38201,37894.2,,,,37894.2,1.665024089,,1.665024089,112
D12,2,,,,,,,,,,,,,,,,,,,0
E1,1,513.43,0.141261,20.1267,0.502002,2956.41,197.888,93466.7,4778.66,33107,1.39455,23740.4,,,23740.4,,1.03671793,1.03671793,,3.4
E2,1,513.457,0.147004,20.2568,0.523255,3266.42,226.509,103935,5506.57,36680,1.42725,25699.8,,,25699.8,,1.122282837,1.122282837,,20.4
E3,1,513.428,0.144569,20.2534,0.514557,3465.42,236.351,110249,5744.84,38948,1.39899,27840.1,,,27840.1,,1.215747454,1.215747454,,35
E4,1,513.44,0.145665,20.2677,0.518552,3819.22,262.329,121590,6380.94,42922,1.36257,31500.7,,,31500.7,,1.375601949,1.375601949,,46
E5,1,513.41,0.145237,20.2923,0.517174,4391.62,300.497,139983,7318.56,49400,1.35982,36328.4,,,36328.4,,1.586422455,1.586422455,,112
E6,3,513.876,0.144511,20.2426,0.514425,2961.96,202.071,94181.4,4909,33270,1.40582,23665.9,,,23665.9,,1.033464595,1.033464595,,0
E7,1,513.827,0.14386,20.2003,0.511828,2705.32,183.994,85841.1,4460.13,30363,1.3792,22015,,,,22015,0.967311761,,0.967311761,3.4
E8,1,513.697,0.145576,20.3211,0.51866,3254.41,223.03,103882,5439.94,36665,1.41348,25939.6,,,,25939.6,1.139753811,,1.139753811,37.2
E9,1,513.655,0.146844,20.3134,0.523113,3241.45,224.128,103429,5464.56,36494,1.40284,26014.5,,,,26014.5,1.143044824,,1.143044824,25.2
E10,1,513.581,0.14335,20.2453,0.510216,3739.6,252.999,118924,6146.97,42029,1.3545,31029.1,,,,31029.1,1.363380121,,1.363380121,40
E11,1,513.318,0.145626,20.3254,0.518738,5019.62,343.974,160261,8391.57,56614,1.33575,42383.8,,,,42383.8,1.862291538,,1.862291538,144
E12,3,513.683,0.144237,20.1997,0.51312,2753.32,187.734,87361.6,4550.62,30910,1.35285,22848.1,,,,22848.1,1.00391714,,1.00391714,0
F1,1,513.328,0.14514,20.2017,0.516229,3001.56,205.876,95247.7,4990.79,33671,1.38303,24345.8,,,24345.8,,1.063155102,1.063155102,,15.4
F2,1,513.31,0.143377,20.1819,0.509828,3453.64,234.163,109486,5670.73,38734,1.38141,28039.6,,,28039.6,,1.224459406,1.224459406,,30
F3,1,513.26,0.144285,20.2411,0.513412,4293.93,292.371,136524,7101.9,48241,1.36497,35342.1,,,35342.1,,1.543351787,1.543351787,,68
F4,1,513.247,0.143934,20.2133,0.511984,4644.63,315.78,147471,7659.59,52161,1.32844,39265,,,39265,,1.714660643,1.714660643,,208
F5,1,513.142,0.145613,20.2342,0.518053,4198.41,288.541,133441,7006.34,47145,1.16009,40639.1,,,40639.1,,1.774666124,1.774666124,,304
F6,2,,,,,,,,,,,,,,,,,,,0
F7,1,513.691,0.145513,20.3051,0.51833,3293.25,225.716,105038,5500.94,37046,1.3998,26465.3,,,,26465.3,1.162852416,,1.162852416,30
F8,1,513.629,0.147883,20.3036,0.526742,3044.69,212.08,97103.4,5168.21,34257,1.37543,24906.4,,,,24906.4,1.094356286,,1.094356286,23.8
F9,1,513.457,0.14714,20.3395,0.524271,4308.56,298.206,137655,7280.3,48545,1.40216,34621.6,,,,34621.6,1.521230109,,1.521230109,68
F10,1,513.406,0.144185,20.3588,0.513845,5178.26,350.956,165598,8576.56,58455,1.36704,42760.3,,,,42760.3,1.878834481,,1.878834481,184
F11,1,513.312,0.144621,20.4009,0.515632,5676.9,385.333,181920,9436.84,64264,1.31242,48966.2,,,,48966.2,2.15151402,,2.15151402,304
F12,2,,,,,,,,,,,,,,,,,,,0
G1,1,513.358,0.143058,20.1677,0.50862,2731.91,184.913,86544.9,4474.79,30627,1.3591,22534.8,,,22534.8,,0.984070665,0.984070665,,5.6
G2,1,513.394,0.143283,20.151,0.509329,3036.66,205.989,96119.9,4980.54,34042,1.43271,23760.6,,,23760.6,,1.037600043,1.037600043,,12.8
G3,1,513.399,0.145295,20.2104,0.516858,3330.22,228.605,105722,5544.28,37369,1.37814,27115.5,,,27115.5,,1.184104945,1.184104945,,22.6
G4,1,513.256,0.1474,20.335,0.5251,4090.68,283.628,130665,6922.74,46100,1.35653,33983.7,,,33983.7,,1.484031909,1.484031909,,76
G5,1,513.164,0.143603,20.2458,0.510984,4306.26,291.757,136948,7088.67,48389,1.23234,39266,,,39266,,1.714704312,1.714704312,,236
G6,3,513.677,0.145856,20.2628,0.519278,2926.71,201.357,93153.6,4896.67,32891,1.42255,23121.2,,,23121.2,,1.009678127,1.009678127,,0
G7,1,513.733,0.144348,20.2864,0.514076,2598.46,176.789,82802,4304.42,29226,1.33465,21897.9,,,,21897.9,0.962166532,,0.962166532,5.6
G8,1,513.651,0.143212,20.2144,0.509554,2950.02,199.611,93670.7,4842.14,33121,1.36645,24238.7,,,,24238.7,1.065018377,,1.065018377,20.4
G9,1,513.609,0.144306,20.1994,0.513338,2830.05,193.05,89795,4679.38,31776,1.31835,24102.8,,,,24102.8,1.0590471,,1.0590471,10.6
G10,1,513.371,0.147595,20.3696,0.526057,4544.7,315.178,145414,7706.44,51291,1.31588,38978.4,,,,38978.4,1.712662491,,1.712662491,98
G11,1,513.368,0.146465,20.4272,0.522396,5071.34,348.322,162724,8541.88,57367,1.31049,43775.3,,,,43775.3,1.92343232,,1.92343232,162
G12,3,513.7,0.145969,20.2784,0.519787,2505.14,172.397,79796.7,4195.77,28205,1.29642,21756,,,,21756,0.955931623,,0.955931623,0
H1,1,513.37,0.149058,20.3342,0.531041,2955.57,207.253,94403.5,5058.42,33286,1.36916,24311.3,,,24311.3,,1.061648524,1.061648524,,23.8
H2,1,513.38,0.14596,20.2809,0.519665,3311.49,227.802,105494,5544.81,37242,1.38482,26892.9,,,26892.9,,1.174384241,1.174384241,,27.6
H3,1,513.322,0.14785,20.3998,0.527141,3791.27,263.099,121487,6442.95,42801,1.37783,31064.2,,,31064.2,,1.35654046,1.35654046,,60
H4,1,513.21,0.146879,20.3313,0.523204,4450.83,307.536,142143,7504.84,50167,1.32956,37732.1,,,37732.1,,1.647720536,1.647720536,,268
H5,1,513.21,0.147472,20.363,0.52552,4693.01,325.227,150111,7949.4,52927,1.30208,40648,,,40648,,1.775054777,1.775054777,,442
H6,2,,,,,,,,,,,,,,,,,,,0
H7,1,513.555,0.14586,20.3127,0.519573,3112.94,213.791,99325.1,5212.32,35076,1.28219,27356.3,,,,27356.3,1.20200185,,1.20200185,35
H8,1,513.579,0.144516,20.2234,0.514226,2857.5,195.041,90773.6,4733.45,32093,1.30595,24574.5,,,,24574.5,1.079773012,,1.079773012,12.8
H9,1,513.477,0.14449,20.3108,0.514654,3870.95,263.355,123499,6420.05,43628,1.33891,32584.8,,,,32584.8,1.431735647,,1.431735647,52
H10,1,513.34,0.144629,20.3969,0.515647,5556.98,377.275,178042,9237.62,62896,1.32213,47571.6,,,,47571.6,2.090237028,,2.090237028,236
H11,1,513.277,0.146835,20.4764,0.523999,5805.55,399.064,186731,9810.63,65901,1.25288,52599.7,,,,52599.7,2.311165498,,2.311165498,442
H12,2,,,,,,,,,,,,,,,,,,,0
