Vial Site,Reagent1 (ul),Reagent2 (ul),Reagent3 (ul),Reagent4 (ul),Reagent5 (ul),Reagent6 (ul),Reagent7 (ul),Reagent8 (ul),Reagent9 (ul),Reagent10 (ul),Labware ID:,Reaction Parameters,Parameter Values,Reagents,Reagent Name,Reagent Identity,Reagent Concentration (uM),Liquid Class
A1,410,40,0,0,0,0,0,0,0,50,Symyx_96_well_0003,Temperature (C):,25.0,Reagent1,m-Xylene,,,mk_HighVolume_EtOH_DispenseJet_Empty
C1,445,5,0,0,0,0,0,0,0,50,Symyx_96_well_0003,Stir Rate (rpm):,750.0,Reagent2,Octadecanoic acid,2.0,100.0,mk_Tip_50ul_EtOH_DispenseJet_Empty
E1,433,17,0,0,0,0,0,0,0,50,Symyx_96_well_0003,Mixing time1 (s):,600.0,Reagent3,Octadecanoic acid,2.0,1000.0,mk_Tip_50ul_EtOH_DispenseJet_Empty
G1,422,28,0,0,0,0,0,0,0,50,Symyx_96_well_0003,Mixing time2 (s):,600.0,Reagent4,Oleic acid,3.0,100.0,mk_Tip_50ul_EtOH_DispenseJet_Empty
B1,397,0,0,0,0,53,0,0,0,50,Symyx_96_well_0003,Reaction time (s):,60.0,Reagent5,Oleic acid,3.0,1000.0,mk_Tip_50ul_EtOH_DispenseJet_Empty
D1,361,0,0,0,0,89,0,0,0,50,Symyx_96_well_0003,,,Reagent6,Octadecanoic acid,2.0,100.0,mk_StandardVolume_EtOH_DispenseJet_Empty
F1,373,0,0,0,0,77,0,0,0,50,Symyx_96_well_0003,,,Reagent7,Octadecanoic acid,2.0,1000.0,mk_StandardVolume_EtOH_DispenseJet_Empty
H1,331,0,0,0,0,119,0,0,0,50,Symyx_96_well_0003,,,Reagent8,Oleic acid,3.0,100.0,mk_StandardVolume_EtOH_DispenseJet_Empty
A2,251,0,0,0,0,199,0,0,0,50,Symyx_96_well_0003,,,Reagent9,Oleic acid,3.0,1000.0,mk_StandardVolume_EtOH_DispenseJet_Empty
C2,264,0,0,0,0,186,0,0,0,50,Symyx_96_well_0003,,,Reagent10,CPB20220421001,,,mk_Tip_50ul_EtOH_DispenseJet_Empty
E2,348,0,0,0,0,102,0,0,0,50,Symyx_96_well_0003,,,,,,,
G2,386,0,0,0,0,64,0,0,0,50,Symyx_96_well_0003,,,,,,,
B2,288,0,0,0,0,162,0,0,0,50,Symyx_96_well_0003,,,,,,,
D2,324,0,0,0,0,126,0,0,0,50,Symyx_96_well_0003,,,,,,,
F2,300,0,0,0,0,150,0,0,0,50,Symyx_96_well_0003,,,,,,,
H2,312,0,0,0,0,138,0,0,0,50,Symyx_96_well_0003,,,,,,,
A3,380,0,0,0,0,70,0,0,0,50,Symyx_96_well_0003,,,,,,,
C3,355,0,0,0,0,95,0,0,0,50,Symyx_96_well_0003,,,,,,,
E3,275,0,0,0,0,175,0,0,0,50,Symyx_96_well_0003,,,,,,,
G3,337,0,0,0,0,113,0,0,0,50,Symyx_96_well_0003,,,,,,,
B3,407,0,43,0,0,0,0,0,0,50,Symyx_96_well_0003,,,,,,,
D3,401,0,49,0,0,0,0,0,0,50,Symyx_96_well_0003,,,,,,,
F3,416,0,34,0,0,0,0,0,0,50,Symyx_96_well_0003,,,,,,,
H3,420,0,30,0,0,0,0,0,0,50,Symyx_96_well_0003,,,,,,,
A4,424,0,26,0,0,0,0,0,0,50,Symyx_96_well_0003,,,,,,,
C4,430,0,20,0,0,0,0,0,0,50,Symyx_96_well_0003,,,,,,,
E4,427,0,23,0,0,0,0,0,0,50,Symyx_96_well_0003,,,,,,,
G4,412,0,38,0,0,0,0,0,0,50,Symyx_96_well_0003,,,,,,,
B4,378,0,0,0,0,0,72,0,0,50,Symyx_96_well_0003,,,,,,,
D4,255,0,0,0,0,0,195,0,0,50,Symyx_96_well_0003,,,,,,,
F4,346,0,0,0,0,0,104,0,0,50,Symyx_96_well_0003,,,,,,,
H4,316,0,0,0,0,0,134,0,0,50,Symyx_96_well_0003,,,,,,,
