PS0520_SL08_wellLabel,PS0520_SL08_wallTag,PS0520_SL08_PL_pos,PS0520_SL08_PL_pos_s,PS0520_SL08_PL_FWHM,PS0520_SL08_PL_FWHM_s,PS0520_SL08_PL_height,PS0520_SL08_PL_height_s,PS0520_SL08_PL_area,PS0520_SL08_PL_area_s,PS0520_SL08_PL_sum,PS0520_SL08_PL_OD390,'PS0520_SL08_PL_sum/OD390',PS0520_SL08_PL_ref_sum,PS0520_SL08_PL_ref_OD390,'PS0520_SL08_PL_ref_sum/OD390',PS0520_SL08_PL_FOM,PS0520_SL08_PL_sum_a,PS0520_SL08_PL_sum_b,PS0520_SL08_PL_OD390_a,PS0520_SL08_PL_OD390_b,'PS0520_SL08_PL_sum/OD390_a','PS0520_SL08_PL_sum/OD390_b',PS0520_SL08_PL_FOM_a,PS0520_SL08_PL_FOM_b,PS0520_SL08_conc
A1,1,509.194,0.144103,20.8446,0.554421,33150.1,2405.72,1.08542e+06,60862.3,368382,1.12669,326958,336562,1.18393,284275,1.09838,368382,,1.12669,,326958,,1.09838,,4
A2,1,509.246,0.148584,20.9682,0.572833,35070.3,2615.21,1.1551e+06,66574,391491,1.07634,363723,352464,1.14437,307999,1.22189,391491,,1.07634,,363723,,1.22189,,32.4
A3,1,509.45,0.148365,20.9558,0.571883,34409.8,2563.11,1.13268e+06,65207.5,383277,1.12508,340666,336236,1.19584,281171,1.14443,383277,,1.12508,,340666,,1.14443,,16.2
A4,1,509.236,0.145598,21.0359,0.56195,35711,2604.61,1.18e+06,66528.7,399766,0.990364,403656,371668,1.13182,328382,1.35604,399766,,0.990364,,403656,,1.35604,,66
A5,1,507.549,0.26499,26.6192,1.12354,208.999,24.5599,8738.94,804.011,3643,0.0317183,,348130,1.22447,284310,,3643,,0.0317183,,,,,,1248
A6,3,509.363,0.146659,21.3115,0.568645,29762.5,2170.28,996329,56197.4,336562,1.18393,284275,334911,1.07959,310221,0.954991,336562,,1.18393,,284275,,0.954991,,0
A7,1,509.284,0.146677,21.3884,0.569439,32590.8,2371.92,1.09495e+06,61651.4,369717,1.19725,308806,308582,1.08136,285364,1.0374,,369717,,1.19725,,308806,,1.0374,3.4
A8,1,509.032,0.141116,21.5574,0.549369,38891.2,2710.87,1.31695e+06,71046.2,446878,1.12759,396313,331825,1.10732,299665,1.33137,,446878,,1.12759,,396313,,1.33137,22.8
A9,1,508.869,0.143882,21.8883,0.563218,44275.8,3119.76,1.52229e+06,83080.9,516797,1.10703,466833,,,,1.56827,,516797,,1.10703,,466833,,1.56827,54.4
A10,1,509.065,0.139817,21.4472,0.543318,35330.6,2447.14,1.19026e+06,63789.8,403465,1.12144,359774,,,,1.20862,,403465,,1.12144,,359774,,1.20862,78
