PS0519_SL01_wellLabel,PS0519_SL01_wallTag,PS0519_SL01_PL_pos,PS0519_SL01_PL_pos_s,PS0519_SL01_PL_FWHM,PS0519_SL01_PL_FWHM_s,PS0519_SL01_PL_height,PS0519_SL01_PL_height_s,PS0519_SL01_PL_area,PS0519_SL01_PL_area_s,PS0519_SL01_PL_sum,PS0519_SL01_PL_OD390,'PS0519_SL01_PL_sum/OD390',PS0519_SL01_PL_ref_sum,PS0519_SL01_PL_ref_OD390,'PS0519_SL01_PL_ref_sum/OD390',PS0519_SL01_PL_FOM,PS0519_SL01_PL_sum_a,PS0519_SL01_PL_sum_b,PS0519_SL01_PL_OD390_a,PS0519_SL01_PL_OD390_b,'PS0519_SL01_PL_sum/OD390_a','PS0519_SL01_PL_sum/OD390_b',PS0519_SL01_PL_FOM_a,PS0519_SL01_PL_FOM_b,PS0519_SL01_conc
A1,1,509.599,0.145905,21.5501,0.567984,33601.4,2422.29,1.13744e+06,63460.8,383498,1.25051,306673,448983,1.34342,334208,0.901019,383498,,1.25051,,306673,,0.901019,,2
A2,1,509.674,0.146259,21.5552,0.569412,38251.3,2763.83,1.29514e+06,72426.6,437001,1.36998,318983,452431,1.35368,334223,0.937187,437001,,1.36998,,318983,,0.937187,,54.4
A3,1,509.735,0.144797,21.6339,0.564461,38950,2780.46,1.32362e+06,73141.8,445869,1.32069,337603,435110,1.3688,317876,0.991893,445869,,1.32069,,337603,,0.991893,,27.2
A4,1,509.709,0.143777,21.5762,0.559946,38893.5,2761.03,1.31817e+06,72427.2,444656,1.34874,329684,467938,1.34273,348497,0.968625,444656,,1.34874,,329684,,0.968625,,132
A5,1,509.96,0.14514,21.5144,0.564676,40352.2,2896.45,1.36369e+06,75751.2,459031,1.41911,323463,412553,1.29749,317963,0.95035,459031,,1.41911,,323463,,0.95035,,1248
A6,3,509.844,0.142537,21.5119,0.554525,39344.9,2773.68,1.32949e+06,72531.3,448983,1.34342,334208,462677,1.282,360904,0.981919,448983,,1.34342,,334208,,0.981919,,0
A7,1,509.893,0.149272,21.7987,0.583507,38730.7,2838.12,1.32619e+06,75256.3,444574,1.38235,321606,402361,1.18737,338868,0.944894,,444574,,1.38235,,321606,,0.944894,3.4
A8,1,509.839,0.14487,21.5929,0.564361,39562.9,2828.67,1.3419e+06,74261.9,452336,1.3548,333876,445652,1.2033,370359,0.980943,,452336,,1.3548,,333876,,0.980943,45.8
A9,1,509.851,0.143143,21.6116,0.557808,39722.9,2804.88,1.34849e+06,73704.6,454457,1.33293,340945,,,,1.00171,,454457,,1.33293,,340945,,1.00171,38.4
A10,1,509.703,0.150519,21.716,0.587569,36983.8,2738.58,1.26157e+06,72327.4,423525,1.27832,331314,,,,0.973417,,423525,,1.27832,,331314,,0.973417,156
A11,1,509.74,0.145959,21.606,0.568725,34357,2474.06,1.16603e+06,64993.9,392486,1.25493,312754,,,,0.918887,,392486,,1.25493,,312754,,0.918887,312
A12,3,509.814,0.146683,21.6625,0.572087,39511.4,2855.15,1.34447e+06,75211,452431,1.35368,334223,,,,0.981963,,452431,,1.35368,,334223,,0.981963,0
B1,1,509.649,0.147163,21.7251,0.574554,31793.8,2301.23,1.08498e+06,60803.4,364377,1.22691,296989,,,,0.872566,364377,,1.22691,,296989,,0.872566,,4
B2,1,509.697,0.14739,21.6828,0.575037,40350.8,2928.31,1.37432e+06,77214,461874,1.34583,343190,,,,1.00831,461874,,1.34583,,343190,,1.00831,,16.2
B3,1,509.729,0.144508,21.5339,0.562397,41275,2948.27,1.39614e+06,77179.5,470970,1.31238,358868,,,,1.05437,470970,,1.31238,,358868,,1.05437,,78
B4,1,509.961,0.146828,21.5258,0.571351,41583.5,3018.64,1.40605e+06,78990.6,473162,1.41327,334799,,,,0.983654,473162,,1.41327,,334799,,0.983654,,1482
B5,1,509.91,0.147304,21.6123,0.574031,39004.7,2834.19,1.32415e+06,74477,445273,1.36481,326253,,,,0.958547,445273,,1.36481,,326253,,0.958547,,624
B6,2,,,,,,,,,,,,,,,,,,,,,,,,0
B7,1,509.944,0.146863,21.66,0.572766,40066.4,2899.01,1.3632e+06,76357,458609,1.35331,338878,,,,0.995641,,458609,,1.35331,,338878,,0.995641,2.8
B8,1,509.902,0.148763,21.728,0.580832,39744.4,2907.77,1.35648e+06,76840.3,455657,1.34439,338931,,,,0.995796,,455657,,1.34439,,338931,,0.995796,13.6
B9,1,509.821,0.149684,21.7672,0.584809,38497,2831.07,1.31628e+06,74955.4,441807,1.35746,325466,,,,0.956233,,441807,,1.35746,,325466,,0.956233,132
B10,1,509.809,0.147065,21.4949,0.571977,36910.3,2685.91,1.24624e+06,70177.7,420055,1.31853,318578,,,,0.935998,,420055,,1.31853,,318578,,0.935998,1482
B11,1,509.74,0.149154,21.5995,0.58111,34690.2,2553.17,1.17698e+06,67050.5,395815,1.26759,312257,,,,0.917426,,395815,,1.26759,,312257,,0.917426,1248
B12,2,,,,,,,,,,,,,,,,,,,,,,,,0
C1,1,509.587,0.146855,21.5595,0.57177,33863.3,2456.46,1.1468e+06,64385.3,386386,1.21868,317052,,,,0.931513,386386,,1.21868,,317052,,0.931513,,2.4
C2,1,509.67,0.146866,21.6342,0.572525,41290.1,2989.58,1.40316e+06,78644,472237,1.33123,354737,,,,1.04223,472237,,1.33123,,354737,,1.04223,,22.8
C3,1,509.753,0.148099,21.6122,0.577123,41010.2,2995.97,1.39223e+06,78728.1,468680,1.32912,352623,,,,1.03602,468680,,1.32912,,352623,,1.03602,,8
C4,1,509.785,0.14648,21.5091,0.569837,36021.3,2609.81,1.21703e+06,68236.8,410468,1.28917,318398,,,,0.935468,410468,,1.28917,,318398,,0.935468,,186
C5,1,509.959,0.146806,21.5831,0.571809,38863.7,2816.54,1.31758e+06,73908,443341,1.35997,325994,,,,0.957785,443341,,1.35997,,325994,,0.957785,,522
C6,3,509.984,0.146009,21.6551,0.569388,38017.8,2735.13,1.29321e+06,72023.5,435110,1.3688,317876,,,,0.933935,435110,,1.3688,,317876,,0.933935,,0
C7,1,510.045,0.144993,21.6511,0.565389,40963.3,2926.85,1.39314e+06,77056.8,468951,1.40379,334060,,,,0.981483,,468951,,1.40379,,334060,,0.981483,2
C8,1,510.041,0.145588,21.6752,0.567937,37181.1,2665.82,1.26592e+06,70267,425726,1.38473,307442,,,,0.90328,,425726,,1.38473,,307442,,0.90328,54.4
C9,1,509.925,0.14328,21.5572,0.557838,37859.5,2679.69,1.282e+06,70228.5,432378,1.40618,307485,,,,0.903405,,432378,,1.40618,,307485,,0.903405,9.6
C10,1,509.782,0.14609,21.6248,0.569414,36168.2,2605.54,1.22857e+06,68510.4,413854,1.29911,318567,,,,0.935965,,413854,,1.29911,,318567,,0.935965,66
C11,1,509.677,0.146745,21.5871,0.571605,36058.6,2611.86,1.22271e+06,68550.5,411858,1.26398,325842,,,,0.957338,,411858,,1.26398,,325842,,0.957338,1050
C12,3,509.797,0.146847,21.7066,0.573148,40794,2947.75,1.39094e+06,77816.4,467938,1.34273,348497,,,,1.0239,,467938,,1.34273,,348497,,1.0239,0
D1,1,509.55,0.143412,21.5653,0.558415,33614.6,2380.87,1.13868e+06,62421.5,384104,1.2538,306352,,,,0.900076,384104,,1.2538,,306352,,0.900076,,6.8
D2,1,509.654,0.147533,21.6775,0.57554,43465.7,3157.84,1.48005e+06,83244.7,497993,1.37451,362305,,,,1.06447,497993,,1.37451,,362305,,1.06447,,19.2
D3,1,509.74,0.146012,21.5368,0.568275,40434.2,2918.03,1.36789e+06,76398.9,461277,1.33481,345574,,,,1.01531,461277,,1.33481,,345574,,1.01531,,90
D4,1,509.845,0.147307,21.6072,0.573991,39815.6,2893.54,1.35136e+06,76017.9,454804,1.35155,336506,,,,0.98867,454804,,1.35155,,336506,,0.98867,,312
D5,1,509.892,0.148318,21.6152,0.578007,39374.6,2880.52,1.33689e+06,75705.4,449744,1.34879,333443,,,,0.97967,449744,,1.34879,,333443,,0.97967,,258
D6,2,,,,,,,,,,,,,,,,,,,,,,,,0
D7,1,510.108,0.146247,21.6316,0.570094,38722.4,2792.07,1.31574e+06,73439.2,443019,1.43269,309222,,,,0.90851,,443019,,1.43269,,309222,,0.90851,5.6
D8,1,510.042,0.147723,21.6872,0.57638,38803.8,2822.09,1.3219e+06,74429.2,444454,1.42542,311806,,,,0.916101,,444454,,1.42542,,311806,,0.916101,8
D9,1,509.992,0.144327,21.5662,0.561996,39116.5,2788.23,1.32511e+06,73105,446671,1.38239,323115,,,,0.949326,,446671,,1.38239,,323115,,0.949326,108
D10,1,509.82,0.148043,21.6271,0.577049,35769.1,2611.1,1.21514e+06,68663.9,408885,1.32921,307615,,,,0.903786,,408885,,1.32921,,307615,,0.903786,624
D11,1,509.743,0.146638,21.5638,0.570968,34575.9,2504.17,1.17116e+06,65649.6,394573,1.30389,302613,,,,0.88909,,394573,,1.30389,,302613,,0.88909,1764
D12,2,,,,,,,,,,,,,,,,,,,,,,,,0
E1,1,509.533,0.149312,21.6026,0.581751,31513.1,2321.58,1.06934e+06,60977.8,359677,1.14722,313520,,,,0.921136,359677,,1.14722,,313520,,0.921136,,2.8
E2,1,509.673,0.149067,21.6394,0.581156,39627.1,2911.77,1.34697e+06,76616.5,453334,1.3149,344768,,,,1.01294,453334,,1.3149,,344768,,1.01294,,9.6
E3,1,509.816,0.14587,21.6668,0.568957,40945.4,2942.06,1.39354e+06,77516.2,468999,1.36556,343449,,,,1.00907,468999,,1.36556,,343449,,1.00907,,38.4
E4,1,509.842,0.149557,21.7437,0.584084,35045.1,2576.6,1.19696e+06,68140.5,402131,1.31744,305236,,,,0.896796,402131,,1.31744,,305236,,0.896796,,66
E5,1,510.036,0.150101,21.6436,0.585235,38539.7,2851.24,1.31026e+06,75039.2,440107,1.41992,309951,,,,0.910651,440107,,1.41992,,309951,,0.910651,,882
E6,3,510.01,0.148088,21.7599,0.578504,35958.9,2616.72,1.22909e+06,69255.9,412553,1.29749,317963,,,,0.934191,412553,,1.29749,,317963,,0.934191,,0
E7,1,510.07,0.146246,21.7136,0.570869,40410.7,2907.59,1.37831e+06,76782,463520,1.36252,340192,,,,0.999501,,463520,,1.36252,,340192,,0.999501,4.8
E8,1,510.094,0.145263,21.6733,0.56665,38283.1,2738.85,1.30332e+06,72185,438559,1.33746,327904,,,,0.963397,,438559,,1.33746,,327904,,0.963397,27.2
E9,1,509.918,0.144561,21.6269,0.563476,36824.7,2624.94,1.25099e+06,69027.5,421492,1.28978,326794,,,,0.960136,,421492,,1.28978,,326794,,0.960136,19.2
E10,1,509.831,0.144985,21.615,0.565018,35490.2,2538.03,1.20499e+06,66703.4,406031,1.25728,322944,,,,0.948823,,406031,,1.25728,,322944,,0.948823,78
E11,1,509.779,0.145658,21.5828,0.567335,33991.3,2444.18,1.15238e+06,64136.1,388002,1.26388,306994,,,,0.901962,,388002,,1.26388,,306994,,0.901962,738
E12,3,509.837,0.148776,21.7646,0.581239,40299.2,2945.84,1.37774e+06,77984.2,462677,1.282,360904,,,,1.06035,,462677,,1.282,,360904,,1.06035,0
F1,1,509.578,0.146503,21.5567,0.570371,32922,2382.62,1.11477e+06,62441.3,375927,1.21108,310405,,,,0.911985,375927,,1.21108,,310405,,0.911985,,4.8
F2,1,509.627,0.147251,21.6003,0.573703,37740.4,2742.15,1.28052e+06,72016.5,431560,1.29384,333550,,,,0.979984,431560,,1.29384,,333550,,0.979984,,45.8
F3,1,509.7,0.144719,21.5227,0.563112,43047.6,3080.26,1.45535e+06,80591.1,491337,1.27754,384596,,,,1.12996,491337,,1.27754,,384596,,1.12996,,108
F4,1,509.764,0.147765,21.5566,0.575291,38770.6,2830.11,1.31281e+06,74168.4,442125,1.27658,346336,,,,1.01755,442125,,1.27658,,346336,,1.01755,,438
F5,1,509.939,0.145993,21.4757,0.567628,41304.9,2985.31,1.39337e+06,77927.4,469643,1.34494,349194,,,,1.02595,469643,,1.34494,,349194,,1.02595,,1050
F6,2,,,,,,,,,,,,,,,,,,,,,,,,0
F7,1,509.935,0.149583,21.7187,0.583944,38081.4,2802.14,1.29917e+06,74015.7,435955,1.28165,340152,,,,0.999384,,435955,,1.28165,,340152,,0.999384,4
F8,1,509.895,0.145043,21.5878,0.564987,35315.5,2528.34,1.19755e+06,66360.8,403455,1.16923,345062,,,,1.01381,,403455,,1.16923,,345062,,1.01381,16.2
F9,1,509.834,0.144309,21.5338,0.561624,35952.3,2564.55,1.21609e+06,67134.2,410038,1.1792,347725,,,,1.02163,,410038,,1.1792,,347725,,1.02163,216
F10,1,509.74,0.146668,21.5721,0.571165,35283.1,2555.36,1.19558e+06,67018.8,402523,1.12916,356481,,,,1.04736,,402523,,1.12916,,356481,,1.04736,366
F11,1,509.694,0.147328,21.6759,0.574728,35078.5,2545.07,1.19436e+06,67086.3,401478,1.17269,342355,,,,1.00585,,401478,,1.17269,,342355,,1.00585,258
F12,2,,,,,,,,,,,,,,,,,,,,,,,,0
G1,1,509.566,0.145594,21.5879,0.567127,30462.6,2189.16,1.03299e+06,57458.6,348238,1.15598,301249,,,,0.885083,348238,,1.15598,,301249,,0.885083,,3.4
G2,1,509.679,0.146558,21.6719,0.571686,38862.8,2805.19,1.32297e+06,73928.5,445435,1.26322,352618,,,,1.03601,445435,,1.26322,,352618,,1.03601,,11.4
G3,1,509.697,0.143759,21.5963,0.560063,39737.8,2819.13,1.34804e+06,74023.5,454855,1.27741,356077,,,,1.04617,454855,,1.27741,,356077,,1.04617,,32.4
G4,1,509.7,0.147842,21.6178,0.576174,36188.2,2638.72,1.22885e+06,69359.2,413767,1.25538,329595,,,,0.968365,413767,,1.25538,,329595,,0.968365,,216
G5,1,509.854,0.144178,21.5215,0.560997,38142.1,2719.15,1.28942e+06,71138.6,434989,1.27332,341618,,,,1.00369,434989,,1.27332,,341618,,1.00369,,366
G6,3,509.839,0.148807,21.6451,0.580204,35175.1,2579.79,1.19595e+06,67899.9,402361,1.18737,338868,,,,0.995609,402361,,1.18737,,338868,,0.995609,,0
G7,1,509.794,0.146257,21.6095,0.569922,38446.7,2773.97,1.30504e+06,72884.8,439603,1.18617,370608,,,,1.08886,,439603,,1.18617,,370608,,1.08886,6.8
G8,1,509.833,0.145472,21.6189,0.56695,35800.3,2568.54,1.21574e+06,67517.9,409392,1.21338,337399,,,,0.991295,,409392,,1.21338,,337399,,0.991295,32.4
G9,1,509.819,0.146289,21.6559,0.570489,34126.3,2459.81,1.16087e+06,64776.3,390703,1.19648,326544,,,,0.959401,,390703,,1.19648,,326544,,0.959401,22.8
G10,1,509.777,0.151009,21.7699,0.59001,33008.6,2448.77,1.12876e+06,64841.9,378452,1.16514,324814,,,,0.954317,,378452,,1.16514,,324814,,0.954317,186
G11,1,509.68,0.147682,21.5886,0.575273,32566.5,2373.89,1.10437e+06,62309.6,371857,1.17424,316679,,,,0.930418,,371857,,1.17424,,316679,,0.930418,882
G12,3,509.792,0.15003,21.7547,0.58604,38856.4,2865.03,1.32781e+06,75808.8,445652,1.2033,370359,,,,1.08813,,445652,,1.2033,,370359,,1.08813,0
H1,1,509.653,0.145285,21.5852,0.565899,32275.1,2314.66,1.09432e+06,60744.7,369290,1.13804,324497,,,,0.953386,369290,,1.13804,,324497,,0.953386,,5.6
H2,1,509.683,0.149597,21.7769,0.584561,39112.7,2873.94,1.33793e+06,76126,449198,1.26219,355886,,,,1.04561,449198,,1.26219,,355886,,1.04561,,13.6
H3,1,509.677,0.147585,21.6078,0.575077,41486,3020.56,1.40809e+06,79357.1,474633,1.25245,378964,,,,1.11341,474633,,1.25245,,378964,,1.11341,,156
H4,1,509.837,0.147654,21.6008,0.575282,38469.8,2802.79,1.3053e+06,73610.9,439189,1.26026,348491,,,,1.02388,439189,,1.26026,,348491,,1.02388,,738
H5,1,509.974,0.146913,21.5558,0.571968,41373.7,3002.79,1.4009e+06,78690.8,471072,1.28697,366032,,,,1.07542,471072,,1.28697,,366032,,1.07542,,1764
H6,2,,,,,,,,,,,,,,,,,,,,,,,,0
H7,1,509.832,0.146873,21.6894,0.573084,35480.5,2565.4,1.2088e+06,67666.4,406704,1.18572,343001,,,,1.00775,,406704,,1.18572,,343001,,1.00775,2.4
H8,1,509.822,0.144871,21.6035,0.564464,38647.5,2762.47,1.31149e+06,72561.3,442110,1.15472,382872,,,,1.1249,,442110,,1.15472,,382872,,1.1249,11.4
H9,1,509.779,0.146745,21.6269,0.571989,37409.9,2706.95,1.27087e+06,71183.8,428148,1.16893,366273,,,,1.07613,,428148,,1.16893,,366273,,1.07613,90
H10,1,509.723,0.149324,21.7111,0.582855,35705.3,2623.24,1.21768e+06,69264.8,408974,1.16078,352326,,,,1.03515,,408974,,1.16078,,352326,,1.03515,522
H11,1,509.663,0.149257,21.6564,0.582064,34671.7,2549.79,1.17945e+06,67147,396391,1.17309,337904,,,,0.992778,,396391,,1.17309,,337904,,0.992778,438
H12,2,,,,,,,,,,,,,,,,,,,,,,,,0
