LigandLabel,Name,Canonical SMILES,IUPAC Name,InChI
0000,Caprylic acid (octanoic acid),CCCCCCCC(=O)O,octanoic acid,"InChI=1S/C8H16O2/c1-2-3-4-5-6-7-8(9)10/h2-7H2,1H3,(H,9,10)"
0001,Lauric acid (dodecanoic acid),CCCCCCCCCCCC(=O)O,dodecanoic acid,"InChI=1S/C12H24O2/c1-2-3-4-5-6-7-8-9-10-11-12(13)14/h2-11H2,1H3,(H,13,14)"
0002,Stearic acid (octadecanoic acid),CCCCCCCCCCCCCCCCCC(=O)O,octadecanoic acid,"InChI=1S/C18H36O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h2-17H2,1H3,(H,19,20)"
0003,oleic acid,CCCCCCCCC=CCCCCCCCC(=O)O,(Z)-octadec-9-enoic acid,"InChI=1S/C18H34O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h9-10H,2-8,11-17H2,1H3,(H,19,20)/b10-9-"
0004,octylamine,CCCCCCCCN,octan-1-amine,"InChI=1S/C8H19N/c1-2-3-4-5-6-7-8-9/h2-9H2,1H3"
0005,dodecylamine,CCCCCCCCCCCCN,dodecan-1-amine,"InChI=1S/C12H27N/c1-2-3-4-5-6-7-8-9-10-11-12-13/h2-13H2,1H3"
0006,Octadecylamine,CCCCCCCCCCCCCCCCCCN,octadecan-1-amine,"InChI=1S/C18H39N/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19/h2-19H2,1H3"
0007,oleylamine,CCCCCCCCC=CCCCCCCCCN,(Z)-octadec-9-en-1-amine,"InChI=1S/C18H37N/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19/h9-10H,2-8,11-19H2,1H3/b10-9-"
0008,Octadecanethiol,CCCCCCCCCCCCCCCCCCS,octadecane-1-thiol,"InChI=1S/C18H38S/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19/h19H,2-18H2,1H3"
0009,Octylphosphonic acid,CCCCCCCCP(=O)(O)O,octylphosphonic acid,"InChI=1S/C8H19O3P/c1-2-3-4-5-6-7-8-12(9,10)11/h2-8H2,1H3,(H2,9,10,11)"
0010,Dodecylphosphonic acid,CCCCCCCCCCCCP(=O)(O)O,dodecylphosphonic acid,"InChI=1S/C12H27O3P/c1-2-3-4-5-6-7-8-9-10-11-12-16(13,14)15/h2-12H2,1H3,(H2,13,14,15)"
0011,Octadecylphosphonic acid,CCCCCCCCCCCCCCCCCCP(=O)(O)O,octadecylphosphonic acid,"InChI=1S/C18H39O3P/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-22(19,20)21/h2-18H2,1H3,(H2,19,20,21)"
0012,Dibutylamine,CCCCNCCCC,N-butylbutan-1-amine,"InChI=1S/C8H19N/c1-3-5-7-9-8-6-4-2/h9H,3-8H2,1-2H3"
0013,Dioctylamine,CCCCCCCCNCCCCCCCC,N-octyloctan-1-amine,"InChI=1S/C16H35N/c1-3-5-7-9-11-13-15-17-16-14-12-10-8-6-4-2/h17H,3-16H2,1-2H3"
0014,Tributylamine,CCCCN(CCCC)CCCC,"N,N-dibutylbutan-1-amine","InChI=1S/C12H27N/c1-4-7-10-13(11-8-5-2)12-9-6-3/h4-12H2,1-3H3"
0015,trioctylamine,CCCCCCCCN(CCCCCCCC)CCCCCCCC,"N,N-dioctyloctan-1-amine","InChI=1S/C24H51N/c1-4-7-10-13-16-19-22-25(23-20-17-14-11-8-5-2)24-21-18-15-12-9-6-3/h4-24H2,1-3H3"
0016,DL-Phenylalanine,C1=CC=C(C=C1)CC(C(=O)O)N,2-amino-3-phenylpropanoic acid,"InChI=1S/C9H11NO2/c10-8(9(11)12)6-7-4-2-1-3-5-7/h1-5,8H,6,10H2,(H,11,12)"
0017,"3,3-Diphenylpropylamine",C1=CC=C(C=C1)C(CCN)C2=CC=CC=C2,"3,3-diphenylpropan-1-amine","InChI=1S/C15H17N/c16-12-11-15(13-7-3-1-4-8-13)14-9-5-2-6-10-14/h1-10,15H,11-12,16H2"
0018,"1,10-Diaminodecane",C(CCCCCN)CCCCN,"decane-1,10-diamine",InChI=1S/C10H24N2/c11-9-7-5-3-1-2-4-6-8-10-12/h1-12H2
0019,"1,10-Decyldiphosphonic acid",C(CCCCCP(=O)(O)O)CCCCP(=O)(O)O,10-phosphonodecylphosphonic acid,"InChI=1S/C10H24O6P2/c11-17(12,13)9-7-5-3-1-2-4-6-8-10-18(14,15)16/h1-10H2,(H2,11,12,13)(H2,14,15,16)"
0020,"1,10-Decanedithiol",C(CCCCCS)CCCCS,"decane-1,10-dithiol","InChI=1S/C10H22S2/c11-9-7-5-3-1-2-4-6-8-10-12/h11-12H,1-10H2"
0021,"2,2′-Bipyridyl",C1=CC=NC(=C1)C2=CC=CC=N2,2-pyridin-2-ylpyridine,InChI=1S/C10H8N2/c1-3-7-11-9(5-1)10-6-2-4-8-12-10/h1-8H
0022,"4,4’-di-tert-butyl-2,2’-dipyridyl",CC(C)(C)C1=CC(=NC=C1)C2=NC=CC(=C2)C(C)(C)C,4-tert-butyl-2-(4-tert-butylpyridin-2-yl)pyridine,"InChI=1S/C18H24N2/c1-17(2,3)13-7-9-19-15(11-13)16-12-14(8-10-20-16)18(4,5)6/h7-12H,1-6H3"
0023,"1,10-Phenanthroline",C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,"1,10-phenanthroline",InChI=1S/C12H8N2/c1-3-9-5-6-10-4-2-8-14-12(10)11(9)13-7-1/h1-8H
