'0415_LS002_wellLabel','0415_LS002_wallTag','0415_LS002_PL_pos','0415_LS002_PL_pos_s','0415_LS002_PL_FWHM','0415_LS002_PL_FWHM_s','0415_LS002_PL_height','0415_LS002_PL_height_s','0415_LS002_PL_area','0415_LS002_PL_area_s','0415_LS002_PL_sum','0415_LS002_PL_OD390','0415_LS002_PL_sum/OD390','0415_LS002_PL_ref','0415_LS002_PL_FOM'
A1,1,509.947,0.132297,21.7534,0.478213,4505,266.835,153937,6984.17,54556,1.53594,35519.5,34857.2,0.957048
A2,1,509.879,0.130101,21.6711,0.469778,4757.84,277.829,161961,7243.25,57584,1.46079,39419.9,36371.1,1.06214
A3,1,509.998,0.130879,21.848,0.47365,4781.26,279.353,164087,7344.97,58162,1.50171,38730.4,35779.2,1.04356
A4,1,509.976,0.129312,21.8456,0.467956,4786.99,276.353,164265,7265.23,58285,1.54946,37616.4,39624.7,1.01355
A5,1,510.079,0.129786,21.7827,0.469364,4934.33,286.497,168834,7509.41,59922,1.56709,38237.7,36903.4,1.03029
A6,3,510.027,0.13432,21.92,0.486541,4566.16,273.2,157221,7207.82,55620,1.59565,34857.2,36700.8,0.939203
A7,1,509.836,0.12781,21.8755,0.462624,4947.17,281.979,169994,7423.59,60565,1.48545,40772.2,38007.7,1.09858
A8,1,509.35,0.127664,21.8208,0.461565,6143.87,350.189,210588,9194.99,75592,1.47729,51169.5,38664.7,1.37873
A9,1,509.376,0.123693,21.7373,0.446773,6496.49,359.719,221822,9407.63,79814,1.47725,54028.7,,1.45576
A10,1,509.304,0.125147,21.7966,0.452312,6299.84,352.247,215694,9238.29,77525,1.48013,52377.3,,1.41127
A11,1,509.165,0.130285,21.5577,0.46947,3225.62,189.149,109229,4904.17,39103,1.23916,31556.2,,0.850258
A12,3,509.988,0.130933,21.7651,0.47337,4916.22,288.097,168078,7544.96,59638,1.63971,36371.1,,0.979994
B1,1,509.905,0.130714,21.7446,0.472423,4351.29,254.706,148624,6663.87,52696,1.50542,35004.1,,0.943161
B2,1,509.947,0.131158,21.81,0.474419,4573.37,268.078,156679,7035.72,55524,1.45709,38106,,1.02674
B3,1,510.015,0.12706,21.7708,0.45941,4745.09,269.804,162270,7067.8,57665,1.50162,38401.9,,1.03471
B4,1,509.996,0.128569,21.7713,0.464859,4926.76,283.449,168487,7425.43,59844,1.5102,39626.4,,1.06771
B5,1,510.077,0.130588,21.8377,0.472574,4701.38,274.187,161269,7205.63,57190,1.52623,37471.5,,1.00964
B6,2,,,,,,,,,,,,,
B7,1,509.511,0.128241,21.8735,0.464022,5735.35,327.904,197060,8631.62,70131,1.4304,49028.9,,1.32105
B8,1,509.376,0.123655,21.7771,0.446849,6306.8,348.674,215739,9136.14,77556,1.42626,54377.2,,1.46515
B9,1,509.34,0.123832,21.9878,0.448603,6489.94,356.953,224151,9447.22,80755,1.50215,53759.8,,1.44852
B10,1,509.275,0.131686,21.5854,0.474728,3213.06,190.295,108943,4940.5,38864,1.27847,30398.8,,0.819074
B11,1,509.065,0.131506,21.6,0.474064,3518.68,207.966,119386,5402.97,42751,1.31161,32594.3,,0.87823
B12,2,,,,,,,,,,,,,
C1,1,509.88,0.131866,21.7946,0.476861,4506.3,265.681,154272,6967.63,54662,1.54076,35477.3,,0.95591
C2,1,509.89,0.12976,21.7804,0.469167,4753.64,275.912,162634,7231.04,57744,1.48878,38786.2,,1.04507
C3,1,509.952,0.130771,21.871,0.473369,4667.85,272.294,160363,7167.17,56835,1.4959,37993.8,,1.02371
C4,1,509.979,0.129035,21.787,0.466626,4923.44,284.141,168494,7449.13,59818,1.49245,40080.3,,1.07994
C5,1,510.058,0.129852,21.7461,0.469382,4696.85,273.151,160438,7147.06,56970,1.47328,38668.8,,1.0419
C6,3,510.138,0.132741,21.8893,0.480696,4549.15,269.271,156416,7093.89,55344,1.54682,35779.2,,0.964046
C7,1,509.707,0.12572,21.8118,0.454653,5413.43,304.066,185474,7980.75,66151,1.43065,46238.3,,1.24586
C8,1,509.506,0.123663,21.8141,0.447132,6300.43,347.992,215887,9134.47,77574,1.45329,53378.3,,1.43824
C9,1,509.375,0.12554,21.8434,0.454022,6240.52,349.546,214121,9187.97,76904,1.42393,54008.2,,1.45521
C10,1,509.393,0.126353,21.9731,0.457683,6543.07,367.392,225836,9716.83,81075,1.4794,54802.6,,1.47662
C11,1,509.187,0.132665,21.5814,0.478194,2876.87,171.655,97525.8,4455.69,34774,1.13405,30663.6,,0.82621
C12,3,510.004,0.133439,21.8547,0.482958,5061.34,301.442,173752,7928.26,61488,1.55176,39624.7,,1.06766
D1,1,509.964,0.131494,21.8184,0.475691,4581.72,269.19,157026,7067.75,55617,1.54626,35968.8,,0.969154
