ligand0,ligand1
"decane-1,10-dithiol",octanoic acid
"N,N-dibutylbutan-1-amine",(Z)-octadec-9-en-1-amine
(Z)-octadec-9-enoic acid,octadecylphosphonic acid
"decane-1,10-dithiol","N,N-dibutylbutan-1-amine"
dodecylphosphonic acid,"N,N-dioctyloctan-1-amine"
octadecanoic acid,(Z)-octadec-9-en-1-amine
"N,N-dibutylbutan-1-amine",2-amino-3-phenylpropanoic acid
"decane-1,10-diamine","3,3-diphenylpropan-1-amine"
dodecylphosphonic acid,octanoic acid
"decane-1,10-diamine",2-pyridin-2-ylpyridine
"N,N-dibutylbutan-1-amine",N-octyloctan-1-amine
dodecylphosphonic acid,2-amino-3-phenylpropanoic acid
N-octyloctan-1-amine,"N,N-dioctyloctan-1-amine"
octadecylphosphonic acid,"N,N-dioctyloctan-1-amine"
octan-1-amine,octylphosphonic acid
dodecanoic acid,octadecane-1-thiol
octadecanoic acid,N-butylbutan-1-amine
2-pyridin-2-ylpyridine,octadecanoic acid
"decane-1,10-diamine",dodecylphosphonic acid
(Z)-octadec-9-enoic acid,2-amino-3-phenylpropanoic acid
"decane-1,10-dithiol",2-pyridin-2-ylpyridine
"decane-1,10-dithiol",dodecanoic acid
octadecan-1-amine,"N,N-dioctyloctan-1-amine"
N-butylbutan-1-amine,2-amino-3-phenylpropanoic acid
dodecylphosphonic acid,octadecan-1-amine
dodecanoic acid,octadecylphosphonic acid
dodecylphosphonic acid,"1,10-phenanthroline"
"decane-1,10-diamine",octan-1-amine
"decane-1,10-dithiol",(Z)-octadec-9-en-1-amine
N-octyloctan-1-amine,octadecan-1-amine
(Z)-octadec-9-enoic acid,(Z)-octadec-9-en-1-amine
(Z)-octadec-9-en-1-amine,"N,N-dioctyloctan-1-amine"
octadecanoic acid,octan-1-amine
"N,N-dioctyloctan-1-amine",octan-1-amine
"3,3-diphenylpropan-1-amine",octanoic acid
N-octyloctan-1-amine,octanoic acid
(Z)-octadec-9-en-1-amine,2-amino-3-phenylpropanoic acid
octanoic acid,2-amino-3-phenylpropanoic acid
dodecan-1-amine,octadecanoic acid
"N,N-dibutylbutan-1-amine",4-tert-butyl-2-(4-tert-butylpyridin-2-yl)pyridine
"3,3-diphenylpropan-1-amine",N-butylbutan-1-amine
2-pyridin-2-ylpyridine,dodecanoic acid
N-octyloctan-1-amine,(Z)-octadec-9-enoic acid
(Z)-octadec-9-enoic acid,octadecane-1-thiol
"decane-1,10-dithiol",N-octyloctan-1-amine
"1,10-phenanthroline",4-tert-butyl-2-(4-tert-butylpyridin-2-yl)pyridine
"3,3-diphenylpropan-1-amine",octadecan-1-amine
octadecane-1-thiol,N-butylbutan-1-amine
dodecanoic acid,dodecan-1-amine
