ligand0,ligand1
octadecylphosphonic acid,octanoic acid
N-octyloctan-1-amine,octan-1-amine
octadecanoic acid,octan-1-amine
N-butylbutan-1-amine,octylphosphonic acid
(Z)-octadec-9-en-1-amine,octylphosphonic acid
dodecanoic acid,octylphosphonic acid
dodecylphosphonic acid,octylphosphonic acid
2-pyridin-2-ylpyridine,N-octyloctan-1-amine
dodecylphosphonic acid,N-butylbutan-1-amine
"1,10-phenanthroline",N-octyloctan-1-amine
dodecan-1-amine,octanoic acid
dodecylphosphonic acid,"3,3-diphenylpropan-1-amine"
"N,N-dibutylbutan-1-amine",octadecane-1-thiol
2-pyridin-2-ylpyridine,N-butylbutan-1-amine
dodecylphosphonic acid,(Z)-octadec-9-en-1-amine
2-pyridin-2-ylpyridine,octadecylphosphonic acid
octadecane-1-thiol,"N,N-dioctyloctan-1-amine"
(Z)-octadec-9-en-1-amine,"N,N-dioctyloctan-1-amine"
"N,N-dibutylbutan-1-amine",octadecanoic acid
"3,3-diphenylpropan-1-amine",octanoic acid
dodecanoic acid,N-butylbutan-1-amine
dodecanoic acid,"3,3-diphenylpropan-1-amine"
(Z)-octadec-9-en-1-amine,octadecylphosphonic acid
octadecanoic acid,octadecane-1-thiol
2-pyridin-2-ylpyridine,"3,3-diphenylpropan-1-amine"
dodecylphosphonic acid,octadecanoic acid
"N,N-dibutylbutan-1-amine",4-tert-butyl-2-(4-tert-butylpyridin-2-yl)pyridine
dodecylphosphonic acid,octadecylphosphonic acid
2-pyridin-2-ylpyridine,dodecanoic acid
"N,N-dibutylbutan-1-amine",(Z)-octadec-9-en-1-amine
"N,N-dibutylbutan-1-amine",dodecylphosphonic acid
octan-1-amine,octylphosphonic acid
octadecanoic acid,"N,N-dioctyloctan-1-amine"
4-tert-butyl-2-(4-tert-butylpyridin-2-yl)pyridine,N-butylbutan-1-amine
4-tert-butyl-2-(4-tert-butylpyridin-2-yl)pyridine,octanoic acid
"N,N-dibutylbutan-1-amine",octanoic acid
2-pyridin-2-ylpyridine,octanoic acid
"3,3-diphenylpropan-1-amine",octadecanoic acid
dodecylphosphonic acid,"1,10-phenanthroline"
octadecanoic acid,octadecylphosphonic acid
"N,N-dioctyloctan-1-amine",octan-1-amine
dodecylphosphonic acid,octan-1-amine
dodecanoic acid,(Z)-octadec-9-enoic acid
dodecanoic acid,octadecylphosphonic acid
N-octyloctan-1-amine,N-butylbutan-1-amine
N-octyloctan-1-amine,octadecane-1-thiol
"1,10-phenanthroline",(Z)-octadec-9-en-1-amine
"N,N-dibutylbutan-1-amine",octan-1-amine
dodecan-1-amine,dodecylphosphonic acid
N-octyloctan-1-amine,octylphosphonic acid
"3,3-diphenylpropan-1-amine",octylphosphonic acid
dodecan-1-amine,N-octyloctan-1-amine
octanoic acid,octylphosphonic acid
octadecylphosphonic acid,N-butylbutan-1-amine
octadecane-1-thiol,N-butylbutan-1-amine
"1,10-phenanthroline",octan-1-amine
(Z)-octadec-9-enoic acid,N-butylbutan-1-amine
4-tert-butyl-2-(4-tert-butylpyridin-2-yl)pyridine,"N,N-dioctyloctan-1-amine"
dodecan-1-amine,octylphosphonic acid
dodecan-1-amine,"1,10-phenanthroline"
"N,N-dibutylbutan-1-amine",N-butylbutan-1-amine
2-pyridin-2-ylpyridine,"N,N-dibutylbutan-1-amine"
(Z)-octadec-9-en-1-amine,octan-1-amine
dodecan-1-amine,N-butylbutan-1-amine
dodecan-1-amine,"3,3-diphenylpropan-1-amine"
dodecylphosphonic acid,(Z)-octadec-9-enoic acid
dodecanoic acid,dodecan-1-amine
N-octyloctan-1-amine,octadecylphosphonic acid
octanoic acid,N-butylbutan-1-amine
4-tert-butyl-2-(4-tert-butylpyridin-2-yl)pyridine,octadecylphosphonic acid
octadecanoic acid,octylphosphonic acid
octadecane-1-thiol,octanoic acid
dodecylphosphonic acid,"N,N-dioctyloctan-1-amine"
dodecanoic acid,"1,10-phenanthroline"
dodecylphosphonic acid,4-tert-butyl-2-(4-tert-butylpyridin-2-yl)pyridine
(Z)-octadec-9-en-1-amine,octadecane-1-thiol
dodecanoic acid,octadecane-1-thiol
"N,N-dioctyloctan-1-amine",octylphosphonic acid
2-pyridin-2-ylpyridine,octan-1-amine
"1,10-phenanthroline",4-tert-butyl-2-(4-tert-butylpyridin-2-yl)pyridine
"3,3-diphenylpropan-1-amine","N,N-dioctyloctan-1-amine"
dodecan-1-amine,octadecylphosphonic acid
N-octyloctan-1-amine,"N,N-dioctyloctan-1-amine"
octadecanoic acid,(Z)-octadec-9-en-1-amine
2-pyridin-2-ylpyridine,(Z)-octadec-9-enoic acid
octadecylphosphonic acid,"N,N-dioctyloctan-1-amine"
(Z)-octadec-9-enoic acid,octylphosphonic acid
(Z)-octadec-9-en-1-amine,octanoic acid
"N,N-dibutylbutan-1-amine",(Z)-octadec-9-enoic acid
(Z)-octadec-9-enoic acid,(Z)-octadec-9-en-1-amine
N-octyloctan-1-amine,4-tert-butyl-2-(4-tert-butylpyridin-2-yl)pyridine
2-pyridin-2-ylpyridine,(Z)-octadec-9-en-1-amine
"3,3-diphenylpropan-1-amine",N-octyloctan-1-amine
4-tert-butyl-2-(4-tert-butylpyridin-2-yl)pyridine,(Z)-octadec-9-en-1-amine
N-octyloctan-1-amine,octanoic acid
dodecylphosphonic acid,N-octyloctan-1-amine
2-pyridin-2-ylpyridine,"1,10-phenanthroline"
"N,N-dibutylbutan-1-amine","3,3-diphenylpropan-1-amine"
"N,N-dioctyloctan-1-amine",octanoic acid
octadecane-1-thiol,octan-1-amine
(Z)-octadec-9-enoic acid,octadecane-1-thiol
octadecane-1-thiol,octylphosphonic acid
"N,N-dibutylbutan-1-amine","1,10-phenanthroline"
dodecanoic acid,octadecanoic acid
dodecanoic acid,octanoic acid
octan-1-amine,N-butylbutan-1-amine
2-pyridin-2-ylpyridine,dodecylphosphonic acid
dodecan-1-amine,(Z)-octadec-9-en-1-amine
"N,N-dibutylbutan-1-amine",octadecylphosphonic acid
octadecanoic acid,octanoic acid
4-tert-butyl-2-(4-tert-butylpyridin-2-yl)pyridine,octadecanoic acid
(Z)-octadec-9-enoic acid,octadecylphosphonic acid
dodecan-1-amine,(Z)-octadec-9-enoic acid
"3,3-diphenylpropan-1-amine",octadecylphosphonic acid
"3,3-diphenylpropan-1-amine",octadecane-1-thiol
4-tert-butyl-2-(4-tert-butylpyridin-2-yl)pyridine,octylphosphonic acid
"1,10-phenanthroline","3,3-diphenylpropan-1-amine"
4-tert-butyl-2-(4-tert-butylpyridin-2-yl)pyridine,octan-1-amine
(Z)-octadec-9-en-1-amine,N-butylbutan-1-amine
"1,10-phenanthroline",N-butylbutan-1-amine
"N,N-dibutylbutan-1-amine","N,N-dioctyloctan-1-amine"
2-pyridin-2-ylpyridine,octadecanoic acid
N-octyloctan-1-amine,octadecanoic acid
dodecanoic acid,"N,N-dibutylbutan-1-amine"
dodecylphosphonic acid,octadecane-1-thiol
"3,3-diphenylpropan-1-amine",N-butylbutan-1-amine
"N,N-dibutylbutan-1-amine",octylphosphonic acid
(Z)-octadec-9-enoic acid,octanoic acid
N-octyloctan-1-amine,(Z)-octadec-9-enoic acid
"1,10-phenanthroline",(Z)-octadec-9-enoic acid
dodecanoic acid,dodecylphosphonic acid
octadecylphosphonic acid,octylphosphonic acid
2-pyridin-2-ylpyridine,4-tert-butyl-2-(4-tert-butylpyridin-2-yl)pyridine
2-pyridin-2-ylpyridine,octadecane-1-thiol
"1,10-phenanthroline",octadecanoic acid
2-pyridin-2-ylpyridine,"N,N-dioctyloctan-1-amine"
dodecanoic acid,octan-1-amine
dodecan-1-amine,octadecanoic acid
dodecanoic acid,(Z)-octadec-9-en-1-amine
octanoic acid,octan-1-amine
"1,10-phenanthroline",octylphosphonic acid
"1,10-phenanthroline",octanoic acid
dodecanoic acid,"N,N-dioctyloctan-1-amine"
dodecanoic acid,4-tert-butyl-2-(4-tert-butylpyridin-2-yl)pyridine
(Z)-octadec-9-enoic acid,octadecanoic acid
"3,3-diphenylpropan-1-amine",(Z)-octadec-9-en-1-amine
"1,10-phenanthroline",octadecylphosphonic acid
"3,3-diphenylpropan-1-amine",4-tert-butyl-2-(4-tert-butylpyridin-2-yl)pyridine
(Z)-octadec-9-enoic acid,"N,N-dioctyloctan-1-amine"
octadecane-1-thiol,octadecylphosphonic acid
2-pyridin-2-ylpyridine,dodecan-1-amine
dodecan-1-amine,4-tert-butyl-2-(4-tert-butylpyridin-2-yl)pyridine
4-tert-butyl-2-(4-tert-butylpyridin-2-yl)pyridine,octadecane-1-thiol
"3,3-diphenylpropan-1-amine",octan-1-amine
"N,N-dibutylbutan-1-amine",N-octyloctan-1-amine
dodecan-1-amine,"N,N-dibutylbutan-1-amine"
4-tert-butyl-2-(4-tert-butylpyridin-2-yl)pyridine,(Z)-octadec-9-enoic acid
"N,N-dioctyloctan-1-amine",N-butylbutan-1-amine
dodecan-1-amine,"N,N-dioctyloctan-1-amine"
(Z)-octadec-9-enoic acid,octan-1-amine
dodecan-1-amine,octan-1-amine
"1,10-phenanthroline","N,N-dioctyloctan-1-amine"
dodecylphosphonic acid,octanoic acid
"1,10-phenanthroline",octadecane-1-thiol
N-octyloctan-1-amine,(Z)-octadec-9-en-1-amine
2-pyridin-2-ylpyridine,octylphosphonic acid
dodecanoic acid,N-octyloctan-1-amine
octadecylphosphonic acid,octan-1-amine
octadecanoic acid,N-butylbutan-1-amine
dodecan-1-amine,octadecane-1-thiol
"3,3-diphenylpropan-1-amine",(Z)-octadec-9-enoic acid
